; Candidate 6753
; ADRP+ADD at VM 0xfffffff00883f120 (fileoff 0x183b120): page=0x1fe9aa000 add_imm=0xe80

0xfffffff00883f0a0: 19020034  cbz	w25, #0xfffffff00883f0e0
0xfffffff00883f0a4: f65f04a9  stp	x22, x23, [sp, #0x40]
0xfffffff00883f0a8: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff00883f0ac: 284fffb0  adrp	x8, #0xfffffff007224000
0xfffffff00883f0b0: 08750791  add	x8, x8, #0x1dd
0xfffffff00883f0b4: e93740f9  ldr	x9, [sp, #0x68]
0xfffffff00883f0b8: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff00883f0bc: 284fff90  adrp	x8, #0xfffffff007223000
0xfffffff00883f0c0: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883f0c4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883f0c8: 680a8052  mov	w8, #0x53
0xfffffff00883f0cc: 804effd0  adrp	x0, #0xfffffff007211000
0xfffffff00883f0d0: 00502591  add	x0, x0, #0x954
0xfffffff00883f0d4: f82300a9  stp	x24, x8, [sp]
0xfffffff00883f0d8: e2e0d597  bl	#0xfffffff007db7460
0xfffffff00883f0dc: 19000014  b	#0xfffffff00883f140
0xfffffff00883f0e0: 33d40194  bl	#0xfffffff0088b41ac
0xfffffff00883f0e4: f80300aa  mov	x24, x0
0xfffffff00883f0e8: e0008052  mov	w0, #7
0xfffffff00883f0ec: d9f10094  bl	#0xfffffff00887b850
0xfffffff00883f0f0: e80317aa  mov	x8, x23
0xfffffff00883f0f4: f62304a9  stp	x22, x8, [sp, #0x40]
0xfffffff00883f0f8: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff00883f0fc: 284fffb0  adrp	x8, #0xfffffff007224000
0xfffffff00883f100: 08750791  add	x8, x8, #0x1dd
0xfffffff00883f104: e93740f9  ldr	x9, [sp, #0x68]
0xfffffff00883f108: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff00883f10c: 284fff90  adrp	x8, #0xfffffff007223000
0xfffffff00883f110: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883f114: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883f118: 680a8052  mov	w8, #0x53
0xfffffff00883f11c: f82300a9  stp	x24, x8, [sp]
0xfffffff00883f120: 404dffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883f124: 00003a91  add	x0, x0, #0xe80
0xfffffff00883f128: 418effb0  adrp	x1, #0xfffffff007a08000
0xfffffff00883f12c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883f130: 8350ff90  adrp	x3, #0xfffffff00724f000
0xfffffff00883f134: 63481f91  add	x3, x3, #0x7d2
0xfffffff00883f138: 02008052  mov	w2, #0
0xfffffff00883f13c: fdcfeb97  bl	#0xfffffff008333130
0xfffffff00883f140: e00317aa  mov	x0, x23
0xfffffff00883f144: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff00883f148: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff00883f14c: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff00883f150: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff00883f154: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff00883f158: fc6f49a9  ldp	x28, x27, [sp, #0x90]
0xfffffff00883f15c: e923486d  ldp	d9, d8, [sp, #0x80]
0xfffffff00883f160: eb2b476d  ldp	d11, d10, [sp, #0x70]
0xfffffff00883f164: ffc30391  add	sp, sp, #0xf0
0xfffffff00883f168: ff0f5fd6  retab	
0xfffffff00883f16c: 7f2303d5  pacibsp	
0xfffffff00883f170: ff4302d1  sub	sp, sp, #0x90
0xfffffff00883f174: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00883f178: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00883f17c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00883f180: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00883f184: fd030291  add	x29, sp, #0x80
0xfffffff00883f188: f40301aa  mov	x20, x1
0xfffffff00883f18c: f30300aa  mov	x19, x0
0xfffffff00883f190: 600a8052  mov	w0, #0x53
0xfffffff00883f194: c1008052  mov	w1, #6
0xfffffff00883f198: 8ef10094  bl	#0xfffffff00887b7d0
0xfffffff00883f19c: 80050034  cbz	w0, #0xfffffff00883f24c
