; Candidate 5516
; ADRP+ADD at VM 0xfffffff0087f5654 (fileoff 0x17f1654): page=0x1fe9f4000 add_imm=0xe80

0xfffffff0087f55d4: 800540fd  ldr	d0, [x12, #8]
0xfffffff0087f55d8: a00100fd  str	d0, [x13]
0xfffffff0087f55dc: ed024039  ldrb	w13, [x23]
0xfffffff0087f55e0: 0d0b0034  cbz	w13, #0xfffffff0087f5740
0xfffffff0087f55e4: 0ddf40b9  ldr	w13, [x24, #0xdc]
0xfffffff0087f55e8: 8aae16f9  str	x10, [x20, #0x2d58]
0xfffffff0087f55ec: bf090071  cmp	w13, #2
0xfffffff0087f55f0: 21090054  b.ne	#0xfffffff0087f5714
0xfffffff0087f55f4: 8b622db9  str	w11, [x20, #0x2d60]
0xfffffff0087f55f8: 89ba16f9  str	x9, [x20, #0x2d70]
0xfffffff0087f55fc: ed0308aa  mov	x13, x8
0xfffffff0087f5600: 4f000014  b	#0xfffffff0087f573c
0xfffffff0087f5604: eafa0294  bl	#0xfffffff0088b41ac
0xfffffff0087f5608: f40300aa  mov	x20, x0
0xfffffff0087f560c: 80008052  mov	w0, #4
0xfffffff0087f5610: 90180294  bl	#0xfffffff00887b850
0xfffffff0087f5614: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f5618: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f561c: e9ff04a9  stp	x9, xzr, [sp, #0x48]
0xfffffff0087f5620: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff0087f5624: e850ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087f5628: 089d2c91  add	x8, x8, #0xb27
0xfffffff0087f562c: a95d8052  mov	w9, #0x2ed
0xfffffff0087f5630: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f5634: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f5638: 08213591  add	x8, x8, #0xd48
0xfffffff0087f563c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f5640: e80e8052  mov	w8, #0x77
0xfffffff0087f5644: 4352fff0  adrp	x3, #0xfffffff007240000
0xfffffff0087f5648: 63b82891  add	x3, x3, #0xa2e
0xfffffff0087f564c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f5650: f40300f9  str	x20, [sp]
0xfffffff0087f5654: a04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f5658: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f565c: 8190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f5660: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f5664: 02008052  mov	w2, #0
0xfffffff0087f5668: b2f6ec97  bl	#0xfffffff008333130
0xfffffff0087f566c: 1a000014  b	#0xfffffff0087f56d4
0xfffffff0087f5670: cffa0294  bl	#0xfffffff0088b41ac
0xfffffff0087f5674: f40300aa  mov	x20, x0
0xfffffff0087f5678: 80008052  mov	w0, #4
0xfffffff0087f567c: 75180294  bl	#0xfffffff00887b850
0xfffffff0087f5680: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f5684: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f5688: f82704a9  stp	x24, x9, [sp, #0x40]
0xfffffff0087f568c: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087f5690: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f5694: 089d3791  add	x8, x8, #0xde7
0xfffffff0087f5698: c95c8052  mov	w9, #0x2e6
0xfffffff0087f569c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f56a0: 0851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f56a4: 08213591  add	x8, x8, #0xd48
0xfffffff0087f56a8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f56ac: e80e8052  mov	w8, #0x77
0xfffffff0087f56b0: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f56b4: a04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f56b8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f56bc: 8190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f56c0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f56c4: 4352fff0  adrp	x3, #0xfffffff007240000
0xfffffff0087f56c8: 63a02791  add	x3, x3, #0x9e8
0xfffffff0087f56cc: 02008052  mov	w2, #0
0xfffffff0087f56d0: 98f6ec97  bl	#0xfffffff008333130
