; Candidate 6857
; ADRP+ADD at VM 0xfffffff0088467e4 (fileoff 0x18427e4): page=0x1fe9de000 add_imm=0xd19

0xfffffff008846764: ac040054  b.gt	#0xfffffff0088467f8
0xfffffff008846768: 480340f9  ldr	x8, [x26]
0xfffffff00884676c: 680400b4  cbz	x8, #0xfffffff0088467f8
0xfffffff008846770: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff008846774: 280400b4  cbz	x8, #0xfffffff0088467f8
0xfffffff008846778: c00d8052  mov	w0, #0x6e
0xfffffff00884677c: 81008052  mov	w1, #4
0xfffffff008846780: 14d40094  bl	#0xfffffff00887b7d0
0xfffffff008846784: c0140034  cbz	w0, #0xfffffff008846a1c
0xfffffff008846788: c00d8052  mov	w0, #0x6e
0xfffffff00884678c: 23d40094  bl	#0xfffffff00887b818
0xfffffff008846790: fb0300aa  mov	x27, x0
0xfffffff008846794: 86b60194  bl	#0xfffffff0088b41ac
0xfffffff008846798: f90300aa  mov	x25, x0
0xfffffff00884679c: 80008052  mov	w0, #4
0xfffffff0088467a0: 2cd40094  bl	#0xfffffff00887b850
0xfffffff0088467a4: 3b100034  cbz	w27, #0xfffffff0088469a8
0xfffffff0088467a8: 480340f9  ldr	x8, [x26]
0xfffffff0088467ac: 480000b4  cbz	x8, #0xfffffff0088467b4
0xfffffff0088467b0: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff0088467b4: e94effd0  adrp	x9, #0xfffffff007224000
0xfffffff0088467b8: 29a93591  add	x9, x9, #0xd6a
0xfffffff0088467bc: f62304a9  stp	x22, x8, [sp, #0x40]
0xfffffff0088467c0: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff0088467c4: 481c8052  mov	w8, #0xe2
0xfffffff0088467c8: e94effd0  adrp	x9, #0xfffffff007224000
0xfffffff0088467cc: 29353091  add	x9, x9, #0xc0d
0xfffffff0088467d0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088467d4: e84efff0  adrp	x8, #0xfffffff007225000
0xfffffff0088467d8: 08b51291  add	x8, x8, #0x4ad
0xfffffff0088467dc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088467e0: c80d8052  mov	w8, #0x6e
0xfffffff0088467e4: e04effd0  adrp	x0, #0xfffffff007224000
0xfffffff0088467e8: 00643491  add	x0, x0, #0xd19
0xfffffff0088467ec: f92300a9  stp	x25, x8, [sp]
0xfffffff0088467f0: 1cc3d597  bl	#0xfffffff007db7460
0xfffffff0088467f4: 8a000014  b	#0xfffffff008846a1c
0xfffffff0088467f8: 683a40b9  ldr	w8, [x19, #0x38]
0xfffffff0088467fc: 694a40b9  ldr	w9, [x19, #0x48]
0xfffffff008846800: 0801090b  add	w8, w8, w9
0xfffffff008846804: 1f01176b  cmp	w8, w23
0xfffffff008846808: aa050054  b.ge	#0xfffffff0088468bc
0xfffffff00884680c: f702084b  sub	w23, w23, w8
0xfffffff008846810: e0028052  mov	w0, #0x17
0xfffffff008846814: e8b10194  bl	#0xfffffff0088b2fb4
0xfffffff008846818: 088effd0  adrp	x8, #0xfffffff007a08000
0xfffffff00884681c: 085142f9  ldr	x8, [x8, #0x4a0]
0xfffffff008846820: 010140f9  ldr	x1, [x8]
0xfffffff008846824: 021040a9  ldp	x2, x4, [x0]
0xfffffff008846828: 66020291  add	x6, x19, #0x80
0xfffffff00884682c: e00315aa  mov	x0, x21
0xfffffff008846830: e30317aa  mov	x3, x23
0xfffffff008846834: e50316aa  mov	x5, x22
0xfffffff008846838: 00420194  bl	#0xfffffff008897038
0xfffffff00884683c: f90300aa  mov	x25, x0
0xfffffff008846840: a0f0ff34  cbz	w0, #0xfffffff008846654
0xfffffff008846844: c00d8052  mov	w0, #0x6e
0xfffffff008846848: 81008052  mov	w1, #4
0xfffffff00884684c: e1d30094  bl	#0xfffffff00887b7d0
0xfffffff008846850: e0ebff34  cbz	w0, #0xfffffff0088465cc
0xfffffff008846854: c00d8052  mov	w0, #0x6e
0xfffffff008846858: f0d30094  bl	#0xfffffff00887b818
0xfffffff00884685c: fb0300aa  mov	x27, x0
0xfffffff008846860: 53b60194  bl	#0xfffffff0088b41ac
