; Candidate 12963
; ADRP+ADD at VM 0xfffffff00919dad8 (fileoff 0x2199ad8): page=0x1179000 add_imm=0xd00

0xfffffff00919da58: e00316aa  mov	x0, x22
0xfffffff00919da5c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00919da60: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00919da64: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00919da68: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff00919da6c: ff0f5fd6  retab	
0xfffffff00919da70: 5f2403d5  bti	c
0xfffffff00919da74: 00000491  add	x0, x0, #0x100
0xfffffff00919da78: c0035fd6  ret	
0xfffffff00919da7c: 5f2403d5  bti	c
0xfffffff00919da80: 1d1bc517  b	#0xfffffff0082e46f4
0xfffffff00919da84: 7f2303d5  pacibsp	
0xfffffff00919da88: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00919da8c: fd030091  mov	x29, sp
0xfffffff00919da90: c08b00b0  adrp	x0, #0xfffffff00a316000
0xfffffff00919da94: 00003491  add	x0, x0, #0xd00
0xfffffff00919da98: c117ffd0  adrp	x1, #0xfffffff007497000
0xfffffff00919da9c: 21600991  add	x1, x1, #0x258
0xfffffff00919daa0: 624effd0  adrp	x2, #0xfffffff007b6b000
0xfffffff00919daa4: 425440f9  ldr	x2, [x2, #0xa8]
0xfffffff00919daa8: 03218052  mov	w3, #0x108
0xfffffff00919daac: 2318c597  bl	#0xfffffff0082e3b38
0xfffffff00919dab0: b04effd0  adrp	x16, #0xfffffff007b73000
0xfffffff00919dab4: 10820191  add	x16, x16, #0x60
0xfffffff00919dab8: 10420091  add	x16, x16, #0x10
0xfffffff00919dabc: f10300aa  mov	x17, x0
0xfffffff00919dac0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00919dac4: 300ac1da  pacda	x16, x17
0xfffffff00919dac8: 100000f9  str	x16, [x0]
0xfffffff00919dacc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00919dad0: ff0f5fd6  retab	
0xfffffff00919dad4: 5f2403d5  bti	c
0xfffffff00919dad8: c08b00b0  adrp	x0, #0xfffffff00a316000
0xfffffff00919dadc: 00003491  add	x0, x0, #0xd00
0xfffffff00919dae0: 051bc517  b	#0xfffffff0082e46f4
0xfffffff00919dae4: 7f2303d5  pacibsp	
0xfffffff00919dae8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00919daec: fd030091  mov	x29, sp
0xfffffff00919daf0: c117ffd0  adrp	x1, #0xfffffff007497000
0xfffffff00919daf4: 21840c91  add	x1, x1, #0x321
0xfffffff00919daf8: 624effd0  adrp	x2, #0xfffffff007b6b000
0xfffffff00919dafc: 42b440f9  ldr	x2, [x2, #0x168]
0xfffffff00919db00: 03188052  mov	w3, #0xc0
0xfffffff00919db04: 0d18c597  bl	#0xfffffff0082e3b38
0xfffffff00919db08: b04effd0  adrp	x16, #0xfffffff007b73000
0xfffffff00919db0c: 10821b91  add	x16, x16, #0x6e0
0xfffffff00919db10: 10420091  add	x16, x16, #0x10
0xfffffff00919db14: f10300aa  mov	x17, x0
0xfffffff00919db18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00919db1c: 300ac1da  pacda	x16, x17
0xfffffff00919db20: 100000f9  str	x16, [x0]
0xfffffff00919db24: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00919db28: ff0f5fd6  retab	
0xfffffff00919db2c: 5f2403d5  bti	c
0xfffffff00919db30: f11ac517  b	#0xfffffff0082e46f4
0xfffffff00919db34: 7f2303d5  pacibsp	
0xfffffff00919db38: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00919db3c: fd030091  mov	x29, sp
0xfffffff00919db40: ea98c797  bl	#0xfffffff008383ee8
0xfffffff00919db44: b04effd0  adrp	x16, #0xfffffff007b73000
0xfffffff00919db48: 10220691  add	x16, x16, #0x188
0xfffffff00919db4c: 10420091  add	x16, x16, #0x10
0xfffffff00919db50: f10300aa  mov	x17, x0
0xfffffff00919db54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
