; Candidate 8854
; ADRP+ADD at VM 0xfffffff0088df484 (fileoff 0x18db484): page=0x1fe98c000 add_imm=0xdcb

0xfffffff0088df404: 00300791  add	x0, x0, #0x1cc
0xfffffff0088df408: 06dfe997  bl	#0xfffffff008357020
0xfffffff0088df40c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0088df410: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0088df414: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0088df418: ffc30191  add	sp, sp, #0x70
0xfffffff0088df41c: ff0f5fd6  retab	
0xfffffff0088df420: 7f2303d5  pacibsp	
0xfffffff0088df424: ff0301d1  sub	sp, sp, #0x40
0xfffffff0088df428: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0088df42c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0088df430: fdc30091  add	x29, sp, #0x30
0xfffffff0088df434: f40301aa  mov	x20, x1
0xfffffff0088df438: f30300aa  mov	x19, x0
0xfffffff0088df43c: a1f31e38  sturb	w1, [x29, #-0x11]
0xfffffff0088df440: 100040f9  ldr	x16, [x0]
0xfffffff0088df444: f10300aa  mov	x17, x0
0xfffffff0088df448: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088df44c: 301ac1da  autda	x16, x17
0xfffffff0088df450: 113d80d2  mov	x17, #0x1e8
0xfffffff0088df454: 1002118b  add	x16, x16, x17
0xfffffff0088df458: 080240f9  ldr	x8, [x16]
0xfffffff0088df45c: e90310aa  mov	x9, x16
0xfffffff0088df460: 010080d2  mov	x1, #0
0xfffffff0088df464: f10309aa  mov	x17, x9
0xfffffff0088df468: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088df46c: 11093fd7  blraa	x8, x17
0xfffffff0088df470: e803142a  mov	w8, w20
0xfffffff0088df474: 694cff90  adrp	x9, #0xfffffff00726b000
0xfffffff0088df478: 29e93091  add	x9, x9, #0xc3a
0xfffffff0088df47c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0088df480: e00300f9  str	x0, [sp]
0xfffffff0088df484: 604cff90  adrp	x0, #0xfffffff00726b000
0xfffffff0088df488: 002c3791  add	x0, x0, #0xdcb
0xfffffff0088df48c: e5dee997  bl	#0xfffffff008357020
0xfffffff0088df490: 700240f9  ldr	x16, [x19]
0xfffffff0088df494: f10313aa  mov	x17, x19
0xfffffff0088df498: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088df49c: 301ac1da  autda	x16, x17
0xfffffff0088df4a0: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0088df4a4: e90310aa  mov	x9, x16
0xfffffff0088df4a8: 614cff90  adrp	x1, #0xfffffff00726b000
0xfffffff0088df4ac: 21a03791  add	x1, x1, #0xde8
0xfffffff0088df4b0: e00313aa  mov	x0, x19
0xfffffff0088df4b4: e20314aa  mov	x2, x20
0xfffffff0088df4b8: f10309aa  mov	x17, x9
0xfffffff0088df4bc: d145e2f2  movk	x17, #0x122e, lsl #48
0xfffffff0088df4c0: 11093fd7  blraa	x8, x17
0xfffffff0088df4c4: 700240f9  ldr	x16, [x19]
0xfffffff0088df4c8: f10313aa  mov	x17, x19
0xfffffff0088df4cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088df4d0: 301ac1da  autda	x16, x17
0xfffffff0088df4d4: f10310aa  mov	x17, x16
0xfffffff0088df4d8: f147c1da  xpacd	x17
0xfffffff0088df4dc: 1f0211eb  cmp	x16, x17
0xfffffff0088df4e0: 40000054  b.eq	#0xfffffff0088df4e8
0xfffffff0088df4e4: 408e38d4  brk	#0xc472
0xfffffff0088df4e8: 08c21091  add	x8, x16, #0x430
0xfffffff0088df4ec: 091a42f9  ldr	x9, [x16, #0x430]
0xfffffff0088df4f0: a24700d1  sub	x2, x29, #0x11
0xfffffff0088df4f4: e00313aa  mov	x0, x19
0xfffffff0088df4f8: 81009052  mov	w1, #0x8004
0xfffffff0088df4fc: e17fbc72  movk	w1, #0xe3ff, lsl #16
0xfffffff0088df500: 23008052  mov	w3, #1
