; Candidate 5485
; ADRP+ADD at VM 0xfffffff0087f3e58 (fileoff 0x17efe58): page=0x1fe9f6000 add_imm=0xe80

0xfffffff0087f3dd8: 49268052  mov	w9, #0x132
0xfffffff0087f3ddc: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f3de0: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3de4: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f3de8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f3dec: e80e8052  mov	w8, #0x77
0xfffffff0087f3df0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f3df4: f70300f9  str	x23, [sp]
0xfffffff0087f3df8: a04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f3dfc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f3e00: a190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f3e04: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f3e08: 6352ffb0  adrp	x3, #0xfffffff007240000
0xfffffff0087f3e0c: 63d00d91  add	x3, x3, #0x374
0xfffffff0087f3e10: 02008052  mov	w2, #0
0xfffffff0087f3e14: c7fcec97  bl	#0xfffffff008333130
0xfffffff0087f3e18: 4a000014  b	#0xfffffff0087f3f40
0xfffffff0087f3e1c: e4000394  bl	#0xfffffff0088b41ac
0xfffffff0087f3e20: f70300aa  mov	x23, x0
0xfffffff0087f3e24: 80008052  mov	w0, #4
0xfffffff0087f3e28: 8a1e0294  bl	#0xfffffff00887b850
0xfffffff0087f3e2c: 480340b9  ldr	w8, [x26]
0xfffffff0087f3e30: e87303a9  stp	x8, x28, [sp, #0x30]
0xfffffff0087f3e34: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3e38: 08212591  add	x8, x8, #0x948
0xfffffff0087f3e3c: 29288052  mov	w9, #0x141
0xfffffff0087f3e40: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f3e44: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3e48: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f3e4c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f3e50: e80e8052  mov	w8, #0x77
0xfffffff0087f3e54: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f3e58: a04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f3e5c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f3e60: a190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f3e64: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f3e68: 6352ffb0  adrp	x3, #0xfffffff007240000
0xfffffff0087f3e6c: 63b40e91  add	x3, x3, #0x3ad
0xfffffff0087f3e70: 02008052  mov	w2, #0
0xfffffff0087f3e74: affcec97  bl	#0xfffffff008333130
0xfffffff0087f3e78: 32000014  b	#0xfffffff0087f3f40
0xfffffff0087f3e7c: cc000394  bl	#0xfffffff0088b41ac
0xfffffff0087f3e80: f80300aa  mov	x24, x0
0xfffffff0087f3e84: 80008052  mov	w0, #4
0xfffffff0087f3e88: 721e0294  bl	#0xfffffff00887b850
0xfffffff0087f3e8c: 4a0340b9  ldr	w10, [x26]
0xfffffff0087f3e90: fcd703a9  stp	x28, x21, [sp, #0x38]
0xfffffff0087f3e94: e850ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087f3e98: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087f3e9c: 292c8052  mov	w9, #0x161
0xfffffff0087f3ea0: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f3ea4: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3ea8: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f3eac: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f3eb0: e80e8052  mov	w8, #0x77
0xfffffff0087f3eb4: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f3eb8: f80300f9  str	x24, [sp]
0xfffffff0087f3ebc: a04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f3ec0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f3ec4: a190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f3ec8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f3ecc: 6352ffb0  adrp	x3, #0xfffffff007240000
0xfffffff0087f3ed0: 63941091  add	x3, x3, #0x425
0xfffffff0087f3ed4: 02008052  mov	w2, #0
