; Candidate 3141
; ADRP+ADD at VM 0xfffffff00871665c (fileoff 0x171265c): page=0x1fea1b000 add_imm=0xd90

0xfffffff0087165dc: 17630139  strb	w23, [x24, #0x58]
0xfffffff0087165e0: ff0e00f1  cmp	x23, #3
0xfffffff0087165e4: a1010054  b.ne	#0xfffffff008716618
0xfffffff0087165e8: e851fff0  adrp	x8, #0xfffffff007155000
0xfffffff0087165ec: 08b91791  add	x8, x8, #0x5ee
0xfffffff0087165f0: e80300f9  str	x8, [sp]
0xfffffff0087165f4: c050fff0  adrp	x0, #0xfffffff007131000
0xfffffff0087165f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087165fc: 2197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008716600: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008716604: 0351ffd0  adrp	x3, #0xfffffff007138000
0xfffffff008716608: 630c1791  add	x3, x3, #0x5c3
0xfffffff00871660c: 02008052  mov	w2, #0
0xfffffff008716610: c872f097  bl	#0xfffffff008333130
0xfffffff008716614: 41010014  b	#0xfffffff008716b18
0xfffffff008716618: e00313aa  mov	x0, x19
0xfffffff00871661c: 13faff97  bl	#0xfffffff008714e68
0xfffffff008716620: 884b8052  mov	w8, #0x25c
0xfffffff008716624: b752089b  madd	x23, x21, x8, x20
0xfffffff008716628: e0660139  strb	w0, [x23, #0x59]
0xfffffff00871662c: e00313aa  mov	x0, x19
0xfffffff008716630: 0efaff97  bl	#0xfffffff008714e68
0xfffffff008716634: e06a0139  strb	w0, [x23, #0x5a]
0xfffffff008716638: 0820a312  mov	w8, #-0x19000001
0xfffffff00871663c: 0861000b  add	w8, w8, w0, lsl #24
0xfffffff008716640: c9ff9f52  mov	w9, #0xfffe
0xfffffff008716644: e99fb972  movk	w9, #0xccff, lsl #16
0xfffffff008716648: 1f01096b  cmp	w8, w9
0xfffffff00871664c: e8060054  b.hi	#0xfffffff008716728
0xfffffff008716650: e851fff0  adrp	x8, #0xfffffff007155000
0xfffffff008716654: 081d1891  add	x8, x8, #0x607
0xfffffff008716658: e80300f9  str	x8, [sp]
0xfffffff00871665c: c050fff0  adrp	x0, #0xfffffff007131000
0xfffffff008716660: 00403691  add	x0, x0, #0xd90
0xfffffff008716664: 2197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008716668: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871666c: 0351ffd0  adrp	x3, #0xfffffff007138000
0xfffffff008716670: 63641791  add	x3, x3, #0x5d9
0xfffffff008716674: 02008052  mov	w2, #0
0xfffffff008716678: ae72f097  bl	#0xfffffff008333130
0xfffffff00871667c: 27010014  b	#0xfffffff008716b18
0xfffffff008716680: e00313aa  mov	x0, x19
0xfffffff008716684: 21008052  mov	w1, #1
0xfffffff008716688: 02008052  mov	w2, #0
0xfffffff00871668c: 96f8ff97  bl	#0xfffffff0087148e4
0xfffffff008716690: 884b8052  mov	w8, #0x25c
0xfffffff008716694: a852089b  madd	x8, x21, x8, x20
0xfffffff008716698: 1f190039  strb	wzr, [x8, #6]
0xfffffff00871669c: 9f2403d5  bti	j
0xfffffff0087166a0: 884b8052  mov	w8, #0x25c
0xfffffff0087166a4: ba52089b  madd	x26, x21, x8, x20
0xfffffff0087166a8: 5b008052  mov	w27, #2
0xfffffff0087166ac: 1c008012  mov	w28, #-1
0xfffffff0087166b0: 680e40b9  ldr	w8, [x19, #0xc]
0xfffffff0087166b4: 1711c05a  clz	w23, w8
0xfffffff0087166b8: 17020034  cbz	w23, #0xfffffff0087166f8
0xfffffff0087166bc: e1060011  add	w1, w23, #1
0xfffffff0087166c0: e00313aa  mov	x0, x19
0xfffffff0087166c4: 02008052  mov	w2, #0
0xfffffff0087166c8: 87f8ff97  bl	#0xfffffff0087148e4
0xfffffff0087166cc: 680e40b9  ldr	w8, [x19, #0xc]
0xfffffff0087166d0: e903174b  neg	w9, w23
0xfffffff0087166d4: 1825c91a  lsr	w24, w8, w9
0xfffffff0087166d8: e00313aa  mov	x0, x19
