; Candidate 14238
; ADRP+ADD at VM 0xfffffff00975825c (fileoff 0x275425c): page=0xc33000 add_imm=0xe80

0xfffffff0097581dc: e90310aa  mov	x9, x16
0xfffffff0097581e0: e00315aa  mov	x0, x21
0xfffffff0097581e4: 010080d2  mov	x1, #0
0xfffffff0097581e8: f10309aa  mov	x17, x9
0xfffffff0097581ec: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097581f0: 11093fd7  blraa	x8, x17
0xfffffff0097581f4: a8324439  ldrb	w8, [x21, #0x10c]
0xfffffff0097581f8: 89c24039  ldrb	w9, [x20, #0x30]
0xfffffff0097581fc: 8a1640f9  ldr	x10, [x20, #0x28]
0xfffffff009758200: ea4f02a9  stp	x10, x19, [sp, #0x20]
0xfffffff009758204: 0af2fe90  adrp	x10, #0xfffffff007598000
0xfffffff009758208: 4a452991  add	x10, x10, #0xa51
0xfffffff00975820c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009758210: e02b00a9  stp	x0, x10, [sp]
0xfffffff009758214: 00f2fe90  adrp	x0, #0xfffffff007598000
0xfffffff009758218: 00441b91  add	x0, x0, #0x6d1
0xfffffff00975821c: 81fbaf97  bl	#0xfffffff008357020
0xfffffff009758220: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff009758224: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009758228: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00975822c: ff830191  add	sp, sp, #0x60
0xfffffff009758230: ff0f5fd6  retab	
0xfffffff009758234: 5f2403d5  bti	c
0xfffffff009758238: 2f31ae17  b	#0xfffffff0082e46f4
0xfffffff00975823c: 7f2303d5  pacibsp	
0xfffffff009758240: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009758244: fd030091  mov	x29, sp
0xfffffff009758248: c0f1feb0  adrp	x0, #0xfffffff007591000
0xfffffff00975824c: 00902091  add	x0, x0, #0x824
0xfffffff009758250: 5044af97  bl	#0xfffffff008329390
0xfffffff009758254: 886100f0  adrp	x8, #0xfffffff00a38b000
0xfffffff009758258: 003d07f9  str	x0, [x8, #0xe78]
0xfffffff00975825c: 806100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff009758260: 00003a91  add	x0, x0, #0xe80
0xfffffff009758264: 01f2fe90  adrp	x1, #0xfffffff007598000
0xfffffff009758268: 21c80f91  add	x1, x1, #0x3f2
0xfffffff00975826c: e225ffd0  adrp	x2, #0xfffffff007c16000
0xfffffff009758270: 423442f9  ldr	x2, [x2, #0x468]
0xfffffff009758274: 03238052  mov	w3, #0x118
0xfffffff009758278: 302eae97  bl	#0xfffffff0082e3b38
0xfffffff00975827c: f026fff0  adrp	x16, #0xfffffff007c37000
0xfffffff009758280: 10220d91  add	x16, x16, #0x348
0xfffffff009758284: 10420091  add	x16, x16, #0x10
0xfffffff009758288: f10300aa  mov	x17, x0
0xfffffff00975828c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009758290: 300ac1da  pacda	x16, x17
0xfffffff009758294: 100000f9  str	x16, [x0]
0xfffffff009758298: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00975829c: ff0f5fd6  retab	
0xfffffff0097582a0: 5f2403d5  bti	c
0xfffffff0097582a4: 806100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff0097582a8: 00003a91  add	x0, x0, #0xe80
0xfffffff0097582ac: 1231ae17  b	#0xfffffff0082e46f4
0xfffffff0097582b0: 7f2303d5  pacibsp	
0xfffffff0097582b4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0097582b8: fd030091  mov	x29, sp
0xfffffff0097582bc: a1f1feb0  adrp	x1, #0xfffffff00758d000
0xfffffff0097582c0: 21943491  add	x1, x1, #0xd25
0xfffffff0097582c4: 826100f0  adrp	x2, #0xfffffff00a38b000
0xfffffff0097582c8: 42400591  add	x2, x2, #0x150
0xfffffff0097582cc: 03358052  mov	w3, #0x1a8
0xfffffff0097582d0: 1a2eae97  bl	#0xfffffff0082e3b38
0xfffffff0097582d4: f026fff0  adrp	x16, #0xfffffff007c37000
0xfffffff0097582d8: 10a22a91  add	x16, x16, #0xaa8
