; Candidate 3444
; ADRP+ADD at VM 0xfffffff00873ee94 (fileoff 0x173ae94): page=0x1fe9f3000 add_imm=0xd90

0xfffffff00873ee14: a80200b4  cbz	x8, #0xfffffff00873ee68
0xfffffff00873ee18: fb0300f9  str	x27, [sp]
0xfffffff00873ee1c: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873ee20: 00403691  add	x0, x0, #0xd90
0xfffffff00873ee24: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873ee28: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873ee2c: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873ee30: 63782591  add	x3, x3, #0x95e
0xfffffff00873ee34: 02008052  mov	w2, #0
0xfffffff00873ee38: bed0ef97  bl	#0xfffffff008333130
0xfffffff00873ee3c: 60f258f9  ldr	x0, [x19, #0x31e0]
0xfffffff00873ee40: 68af0094  bl	#0xfffffff00876abe0
0xfffffff00873ee44: 76f258f9  ldr	x22, [x19, #0x31e0]
0xfffffff00873ee48: f60000b4  cbz	x22, #0xfffffff00873ee64
0xfffffff00873ee4c: e00316aa  mov	x0, x22
0xfffffff00873ee50: 03ae0094  bl	#0xfffffff00876a65c
0xfffffff00873ee54: 2096ffd0  adrp	x0, #0xfffffff007a04000
0xfffffff00873ee58: 00a01c91  add	x0, x0, #0x728
0xfffffff00873ee5c: e10316aa  mov	x1, x22
0xfffffff00873ee60: 2b5ef097  bl	#0xfffffff00835670c
0xfffffff00873ee64: 7ff218f9  str	xzr, [x19, #0x31e0]
0xfffffff00873ee68: 2096ffd0  adrp	x0, #0xfffffff007a04000
0xfffffff00873ee6c: 00a01d91  add	x0, x0, #0x768
0xfffffff00873ee70: a15df097  bl	#0xfffffff0083564f4
0xfffffff00873ee74: dfad0094  bl	#0xfffffff00876a5f0
0xfffffff00873ee78: 60f218f9  str	x0, [x19, #0x31e0]
0xfffffff00873ee7c: e00400b4  cbz	x0, #0xfffffff00873ef18
0xfffffff00873ee80: 61b241b9  ldr	w1, [x19, #0x1b0]
0xfffffff00873ee84: e2da49b9  ldr	w2, [x23, #0x9d8]
0xfffffff00873ee88: ebae0094  bl	#0xfffffff00876aa34
0xfffffff00873ee8c: 40090034  cbz	w0, #0xfffffff00873efb4
0xfffffff00873ee90: fb0300a9  stp	x27, x0, [sp]
0xfffffff00873ee94: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873ee98: 00403691  add	x0, x0, #0xd90
0xfffffff00873ee9c: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873eea0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873eea4: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873eea8: 63ec2791  add	x3, x3, #0x9fb
0xfffffff00873eeac: 02008052  mov	w2, #0
0xfffffff00873eeb0: a0d0ef97  bl	#0xfffffff008333130
0xfffffff00873eeb4: 22000014  b	#0xfffffff00873ef3c
0xfffffff00873eeb8: 68b241b9  ldr	w8, [x19, #0x1b0]
0xfffffff00873eebc: 1f0d0571  cmp	w8, #0x143
0xfffffff00873eec0: 6c060054  b.gt	#0xfffffff00873ef8c
0xfffffff00873eec4: 1fb10471  cmp	w8, #0x12c
0xfffffff00873eec8: 4c0f0054  b.gt	#0xfffffff00873f0b0
0xfffffff00873eecc: 10310051  sub	w16, w8, #0xc
0xfffffff00873eed0: 1f420071  cmp	w16, #0x10
0xfffffff00873eed4: 482c0054  b.hi	#0xfffffff00873f45c
0xfffffff00873eed8: 1f4200f1  cmp	x16, #0x10
0xfffffff00873eedc: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff00873eee0: 110000b0  adrp	x17, #0xfffffff00873f000
0xfffffff00873eee4: 31f21791  add	x17, x17, #0x5fc
0xfffffff00873eee8: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff00873eeec: 11000010  adr	x17, #0xfffffff00873eeec
0xfffffff00873eef0: 3002108b  add	x16, x17, x16
0xfffffff00873eef4: 00021fd6  br	x16
0xfffffff00873eef8: 9f2403d5  bti	j
0xfffffff00873eefc: 2096ffd0  adrp	x0, #0xfffffff007a04000
0xfffffff00873ef00: 00a01291  add	x0, x0, #0x4a8
0xfffffff00873ef04: 7c5df097  bl	#0xfffffff0083564f4
0xfffffff00873ef08: 625a40f9  ldr	x2, [x19, #0xb0]
0xfffffff00873ef0c: e10313aa  mov	x1, x19
0xfffffff00873ef10: ca710194  bl	#0xfffffff00879b638
