; Candidate 3872
; ADRP+ADD at VM 0xfffffff00876baf8 (fileoff 0x1767af8): page=0x1fe9c6000 add_imm=0xd90

0xfffffff00876ba78: d756089b  madd	x23, x22, x8, x21
0xfffffff00876ba7c: e80e4178  ldrh	w8, [x23, #0x10]!
0xfffffff00876ba80: 88000034  cbz	w8, #0xfffffff00876ba90
0xfffffff00876ba84: 08050051  sub	w8, w8, #1
0xfffffff00876ba88: e8020079  strh	w8, [x23]
0xfffffff00876ba8c: 0d000014  b	#0xfffffff00876bac0
0xfffffff00876ba90: 684ffff0  adrp	x8, #0xfffffff00715a000
0xfffffff00876ba94: 084d0191  add	x8, x8, #0x53
0xfffffff00876ba98: e87f00a9  stp	x8, xzr, [sp]
0xfffffff00876ba9c: 204effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876baa0: 00403691  add	x0, x0, #0xd90
0xfffffff00876baa4: 8194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876baa8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876baac: c34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876bab0: 63b41191  add	x3, x3, #0x46d
0xfffffff00876bab4: 02008052  mov	w2, #0
0xfffffff00876bab8: 9e1def97  bl	#0xfffffff008333130
0xfffffff00876babc: e8024079  ldrh	w8, [x23]
0xfffffff00876bac0: 1f3d0072  tst	w8, #0xffff
0xfffffff00876bac4: c1020054  b.ne	#0xfffffff00876bb1c
0xfffffff00876bac8: 08038052  mov	w8, #0x18
0xfffffff00876bacc: 7756a89b  umaddl	x23, w19, w8, x21
0xfffffff00876bad0: e80240f9  ldr	x8, [x23]
0xfffffff00876bad4: 09038052  mov	w9, #0x18
0xfffffff00876bad8: c956099b  madd	x9, x22, x9, x21
0xfffffff00876badc: 290540f9  ldr	x9, [x9, #8]
0xfffffff00876bae0: 0a0109aa  orr	x10, x8, x9
0xfffffff00876bae4: ca0100b4  cbz	x10, #0xfffffff00876bb1c
0xfffffff00876bae8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00876baec: 694ffff0  adrp	x9, #0xfffffff00715a000
0xfffffff00876baf0: 294d0191  add	x9, x9, #0x53
0xfffffff00876baf4: e90300f9  str	x9, [sp]
0xfffffff00876baf8: 204effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876bafc: 00403691  add	x0, x0, #0xd90
0xfffffff00876bb00: 8194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876bb04: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876bb08: c34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876bb0c: 63c81291  add	x3, x3, #0x4b2
0xfffffff00876bb10: 02008052  mov	w2, #0
0xfffffff00876bb14: 871def97  bl	#0xfffffff008333130
0xfffffff00876bb18: ff7e00a9  stp	xzr, xzr, [x23]
0xfffffff00876bb1c: 800240f9  ldr	x0, [x20]
0xfffffff00876bb20: 08038052  mov	w8, #0x18
0xfffffff00876bb24: c856089b  madd	x8, x22, x8, x21
0xfffffff00876bb28: 02214079  ldrh	w2, [x8, #0x10]
0xfffffff00876bb2c: e10313aa  mov	x1, x19
0xfffffff00876bb30: 96b7ff97  bl	#0xfffffff008759988
0xfffffff00876bb34: 00008052  mov	w0, #0
0xfffffff00876bb38: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00876bb3c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00876bb40: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00876bb44: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00876bb48: ff830191  add	sp, sp, #0x60
0xfffffff00876bb4c: ff0f5fd6  retab	
0xfffffff00876bb50: 5f2403d5  bti	c
0xfffffff00876bb54: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff00876bb58: 2908c81a  udiv	w9, w1, w8
0xfffffff00876bb5c: 2085081b  msub	w0, w9, w8, w1
0xfffffff00876bb60: c0035fd6  ret	
0xfffffff00876bb64: 7f2303d5  pacibsp	
0xfffffff00876bb68: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00876bb6c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00876bb70: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00876bb74: fd830091  add	x29, sp, #0x20
