; Candidate 2236
; ADRP+ADD at VM 0xfffffff0085bc97c (fileoff 0x15b897c): page=0x1ff402000 add_imm=0xe98

0xfffffff0085bc8fc: 3f604d14  b	#0xfffffff0099149f8
0xfffffff0085bc900: 5f2403d5  bti	c
0xfffffff0085bc904: 200020d4  brk	#1
0xfffffff0085bc908: 5f2403d5  bti	c
0xfffffff0085bc90c: 200020d4  brk	#1
0xfffffff0085bc910: 5f2403d5  bti	c
0xfffffff0085bc914: c0e800f0  adrp	x0, #0xfffffff00a2d7000
0xfffffff0085bc918: 00402191  add	x0, x0, #0x850
0xfffffff0085bc91c: c0035fd6  ret	
0xfffffff0085bc920: 7f2303d5  pacibsp	
0xfffffff0085bc924: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0085bc928: fd030091  mov	x29, sp
0xfffffff0085bc92c: e159ff90  adrp	x1, #0xfffffff0070f8000
0xfffffff0085bc930: 21ac2591  add	x1, x1, #0x96b
0xfffffff0085bc934: e29fffb0  adrp	x2, #0xfffffff0079b9000
0xfffffff0085bc938: 425c41f9  ldr	x2, [x2, #0x2b8]
0xfffffff0085bc93c: 03388052  mov	w3, #0x1c0
0xfffffff0085bc940: 7e9cf497  bl	#0xfffffff0082e3b38
0xfffffff0085bc944: f09ffff0  adrp	x16, #0xfffffff0079bb000
0xfffffff0085bc948: 10423091  add	x16, x16, #0xc10
0xfffffff0085bc94c: 10420091  add	x16, x16, #0x10
0xfffffff0085bc950: f10300aa  mov	x17, x0
0xfffffff0085bc954: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085bc958: 300ac1da  pacda	x16, x17
0xfffffff0085bc95c: 100000f9  str	x16, [x0]
0xfffffff0085bc960: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085bc964: ff0f5fd6  retab	
0xfffffff0085bc968: 5f2403d5  bti	c
0xfffffff0085bc96c: 000080d2  mov	x0, #0
0xfffffff0085bc970: c0035fd6  ret	
0xfffffff0085bc974: 5f2403d5  bti	c
0xfffffff0085bc978: e10300aa  mov	x1, x0
0xfffffff0085bc97c: 00a0ffd0  adrp	x0, #0xfffffff0079be000
0xfffffff0085bc980: 00603a91  add	x0, x0, #0xe98
0xfffffff0085bc984: 2dabf417  b	#0xfffffff0082e7638
0xfffffff0085bc988: 5f2403d5  bti	c
0xfffffff0085bc98c: e20301aa  mov	x2, x1
0xfffffff0085bc990: e10300aa  mov	x1, x0
0xfffffff0085bc994: 00a0ffd0  adrp	x0, #0xfffffff0079be000
0xfffffff0085bc998: 00603a91  add	x0, x0, #0xe98
0xfffffff0085bc99c: 40abf417  b	#0xfffffff0082e769c
0xfffffff0085bc9a0: 7f2303d5  pacibsp	
0xfffffff0085bc9a4: ff0301d1  sub	sp, sp, #0x40
0xfffffff0085bc9a8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0085bc9ac: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0085bc9b0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0085bc9b4: fdc30091  add	x29, sp, #0x30
0xfffffff0085bc9b8: f40301aa  mov	x20, x1
0xfffffff0085bc9bc: f30300aa  mov	x19, x0
0xfffffff0085bc9c0: e059ff90  adrp	x0, #0xfffffff0070f8000
0xfffffff0085bc9c4: 00442791  add	x0, x0, #0x9d1
0xfffffff0085bc9c8: 9669f697  bl	#0xfffffff008357020
0xfffffff0085bc9cc: e89fffb0  adrp	x8, #0xfffffff0079b9000
0xfffffff0085bc9d0: 087141f9  ldr	x8, [x8, #0x2e0]
0xfffffff0085bc9d4: 09411591  add	x9, x8, #0x550
0xfffffff0085bc9d8: 08a942f9  ldr	x8, [x8, #0x550]
0xfffffff0085bc9dc: e00313aa  mov	x0, x19
0xfffffff0085bc9e0: e10314aa  mov	x1, x20
0xfffffff0085bc9e4: f10309aa  mov	x17, x9
0xfffffff0085bc9e8: 71d8f2f2  movk	x17, #0x96c3, lsl #48
0xfffffff0085bc9ec: 11093fd7  blraa	x8, x17
0xfffffff0085bc9f0: c0130034  cbz	w0, #0xfffffff0085bcc68
0xfffffff0085bc9f4: 747a00f9  str	x20, [x19, #0xf0]
0xfffffff0085bc9f8: 7fca00b9  str	wzr, [x19, #0xc8]
