; Candidate 8605
; ADRP+ADD at VM 0xfffffff0088b6ed0 (fileoff 0x18b2ed0): page=0x1fe933000 add_imm=0xe80

0xfffffff0088b6e50: 02028052  mov	w2, #0x10
0xfffffff0088b6e54: 08000014  b	#0xfffffff0088b6e74
0xfffffff0088b6e58: 081b0051  sub	w8, w24, #6
0xfffffff0088b6e5c: 691e088b  add	x9, x19, x8, lsl #7
0xfffffff0088b6e60: 21e10991  add	x1, x9, #0x278
0xfffffff0088b6e64: 6802088b  add	x8, x19, x8
0xfffffff0088b6e68: 03c94639  ldrb	w3, [x8, #0x1b2]
0xfffffff0088b6e6c: e00314aa  mov	x0, x20
0xfffffff0088b6e70: 02088052  mov	w2, #0x40
0xfffffff0088b6e74: 9ffeff97  bl	#0xfffffff0088b68f0
0xfffffff0088b6e78: 400c0035  cbnz	w0, #0xfffffff0088b7000
0xfffffff0088b6e7c: 18070091  add	x24, x24, #1
0xfffffff0088b6e80: 39830091  add	x25, x25, #0x20
0xfffffff0088b6e84: ddffff17  b	#0xfffffff0088b6df8
0xfffffff0088b6e88: c9f4ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b6e8c: f40300aa  mov	x20, x0
0xfffffff0088b6e90: 80008052  mov	w0, #4
0xfffffff0088b6e94: 6f12ff97  bl	#0xfffffff00887b850
0xfffffff0088b6e98: 681640b9  ldr	w8, [x19, #0x14]
0xfffffff0088b6e9c: e8cf03a9  stp	x8, x19, [sp, #0x38]
0xfffffff0088b6ea0: e94bfff0  adrp	x9, #0xfffffff007235000
0xfffffff0088b6ea4: 2aed1591  add	x10, x9, #0x57b
0xfffffff0088b6ea8: c83c8052  mov	w8, #0x1e6
0xfffffff0088b6eac: e94bfff0  adrp	x9, #0xfffffff007235000
0xfffffff0088b6eb0: 29911591  add	x9, x9, #0x564
0xfffffff0088b6eb4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088b6eb8: e84bfff0  adrp	x8, #0xfffffff007235000
0xfffffff0088b6ebc: 08ed3c91  add	x8, x8, #0xf3b
0xfffffff0088b6ec0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088b6ec4: 88088052  mov	w8, #0x44
0xfffffff0088b6ec8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088b6ecc: f40300f9  str	x20, [sp]
0xfffffff0088b6ed0: 8049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b6ed4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b6ed8: 818affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b6edc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b6ee0: 634dfff0  adrp	x3, #0xfffffff007265000
0xfffffff0088b6ee4: 637c0791  add	x3, x3, #0x1df
0xfffffff0088b6ee8: 02008052  mov	w2, #0
0xfffffff0088b6eec: 91f0e997  bl	#0xfffffff008333130
0xfffffff0088b6ef0: 167d8012  mov	w22, #-0x3e9
0xfffffff0088b6ef4: 80088052  mov	w0, #0x44
0xfffffff0088b6ef8: 81008052  mov	w1, #4
0xfffffff0088b6efc: 3512ff97  bl	#0xfffffff00887b7d0
0xfffffff0088b6f00: c0050034  cbz	w0, #0xfffffff0088b6fb8
0xfffffff0088b6f04: 80088052  mov	w0, #0x44
0xfffffff0088b6f08: 4412ff97  bl	#0xfffffff00887b818
0xfffffff0088b6f0c: f40300aa  mov	x20, x0
0xfffffff0088b6f10: a7f4ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b6f14: f30300aa  mov	x19, x0
0xfffffff0088b6f18: 80008052  mov	w0, #4
0xfffffff0088b6f1c: 4d12ff97  bl	#0xfffffff00887b850
0xfffffff0088b6f20: f4010034  cbz	w20, #0xfffffff0088b6f5c
0xfffffff0088b6f24: a8448052  mov	w8, #0x225
0xfffffff0088b6f28: e94bfff0  adrp	x9, #0xfffffff007235000
0xfffffff0088b6f2c: 29911591  add	x9, x9, #0x564
0xfffffff0088b6f30: e8db02a9  stp	x8, x22, [sp, #0x28]
0xfffffff0088b6f34: e84bfff0  adrp	x8, #0xfffffff007235000
0xfffffff0088b6f38: 08ed3c91  add	x8, x8, #0xf3b
0xfffffff0088b6f3c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088b6f40: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088b6f44: 88088052  mov	w8, #0x44
0xfffffff0088b6f48: e04bfff0  adrp	x0, #0xfffffff007235000
0xfffffff0088b6f4c: 00301391  add	x0, x0, #0x4cc
