; Candidate 12645
; ADRP+ADD at VM 0xfffffff0090e1e30 (fileoff 0x20dde30): page=0x1fe38d000 add_imm=0xdd9

0xfffffff0090e1db0: 80040035  cbnz	w0, #0xfffffff0090e1e40
0xfffffff0090e1db4: a8035cf8  ldur	x8, [x29, #-0x40]
0xfffffff0090e1db8: 1f0113eb  cmp	x8, x19
0xfffffff0090e1dbc: 22040054  b.hs	#0xfffffff0090e1e40
0xfffffff0090e1dc0: 959100f0  adrp	x21, #0xfffffff00a314000
0xfffffff0090e1dc4: b5e21691  add	x21, x21, #0x5b8
0xfffffff0090e1dc8: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e1dcc: 08212c91  add	x8, x8, #0xb08
0xfffffff0090e1dd0: 561cfff0  adrp	x22, #0xfffffff00746c000
0xfffffff0090e1dd4: d6522c91  add	x22, x22, #0xb14
0xfffffff0090e1dd8: a90240f9  ldr	x9, [x21]
0xfffffff0090e1ddc: 3f0100f1  cmp	x9, #0
0xfffffff0090e1de0: d702889a  csel	x23, x22, x8, eq
0xfffffff0090e1de4: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e1de8: 08552c91  add	x8, x8, #0xb15
0xfffffff0090e1dec: d802889a  csel	x24, x22, x8, eq
0xfffffff0090e1df0: 6e330094  bl	#0xfffffff0090eeba8
0xfffffff0090e1df4: a80240f9  ldr	x8, [x21]
0xfffffff0090e1df8: 491cfff0  adrp	x9, #0xfffffff00746c000
0xfffffff0090e1dfc: 29852c91  add	x9, x9, #0xb21
0xfffffff0090e1e00: 1f0100f1  cmp	x8, #0
0xfffffff0090e1e04: c802899a  csel	x8, x22, x9, eq
0xfffffff0090e1e08: a9035cf8  ldur	x9, [x29, #-0x40]
0xfffffff0090e1e0c: e9a305a9  stp	x9, x8, [sp, #0x58]
0xfffffff0090e1e10: e8cf04a9  stp	x8, x19, [sp, #0x48]
0xfffffff0090e1e14: f88303a9  stp	x24, x0, [sp, #0x38]
0xfffffff0090e1e18: 08068352  mov	w8, #0x1830
0xfffffff0090e1e1c: f6a302a9  stp	x22, x8, [sp, #0x28]
0xfffffff0090e1e20: f6db01a9  stp	x22, x22, [sp, #0x18]
0xfffffff0090e1e24: 481cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e1e28: 08dd2b91  add	x8, x8, #0xaf7
0xfffffff0090e1e2c: f7db00a9  stp	x23, x22, [sp, #8]
0xfffffff0090e1e30: 601cffb0  adrp	x0, #0xfffffff00746e000
0xfffffff0090e1e34: 00643791  add	x0, x0, #0xdd9
0xfffffff0090e1e38: e80300f9  str	x8, [sp]
0xfffffff0090e1e3c: 79d4c997  bl	#0xfffffff008357020
0xfffffff0090e1e40: 804a40f9  ldr	x0, [x20, #0x90]
0xfffffff0090e1e44: a2835cf8  ldur	x2, [x29, #-0x38]
0xfffffff0090e1e48: 61898852  mov	w1, #0x444b
0xfffffff0090e1e4c: a169ba72  movk	w1, #0xd34d, lsl #16
0xfffffff0090e1e50: e30313aa  mov	x3, x19
0xfffffff0090e1e54: 04008052  mov	w4, #0
0xfffffff0090e1e58: cc86e497  bl	#0xfffffff008a03988
0xfffffff0090e1e5c: 00060034  cbz	w0, #0xfffffff0090e1f1c
0xfffffff0090e1e60: 6e970094  bl	#0xfffffff009107c18
0xfffffff0090e1e64: 04008052  mov	w4, #0
0xfffffff0090e1e68: 90fffff0  adrp	x16, #0xfffffff0090d4000
0xfffffff0090e1e6c: 10220791  add	x16, x16, #0x1c8
0xfffffff0090e1e70: d12587d2  mov	x17, #0x392e
0xfffffff0090e1e74: 3002c1da  pacia	x16, x17
0xfffffff0090e1e78: e00310aa  mov	x0, x16
0xfffffff0090e1e7c: 010080d2  mov	x1, #0
0xfffffff0090e1e80: 22008052  mov	w2, #1
0xfffffff0090e1e84: e30315aa  mov	x3, x21
0xfffffff0090e1e88: 914c0094  bl	#0xfffffff0090f50cc
0xfffffff0090e1e8c: 8a340094  bl	#0xfffffff0090ef0b4
0xfffffff0090e1e90: 60040034  cbz	w0, #0xfffffff0090e1f1c
0xfffffff0090e1e94: f50300aa  mov	x21, x0
0xfffffff0090e1e98: e00314aa  mov	x0, x20
0xfffffff0090e1e9c: a7c5ff97  bl	#0xfffffff0090d3538
0xfffffff0090e1ea0: e0030037  tbnz	w0, #0, #0xfffffff0090e1f1c
0xfffffff0090e1ea4: 949100f0  adrp	x20, #0xfffffff00a314000
0xfffffff0090e1ea8: 94e21691  add	x20, x20, #0x5b8
0xfffffff0090e1eac: 481cfff0  adrp	x8, #0xfffffff00746c000
