; Candidate 4323
; ADRP+ADD at VM 0xfffffff00879f0ec (fileoff 0x179b0ec): page=0x1fe992000 add_imm=0xd90

0xfffffff00879f06c: 0b0f8052  mov	w11, #0x78
0xfffffff00879f070: 48210b9b  madd	x8, x10, x11, x8
0xfffffff00879f074: 082d40b9  ldr	w8, [x8, #0x2c]
0xfffffff00879f078: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00879f07c: ef0300f9  str	x15, [sp]
0xfffffff00879f080: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f084: 00403691  add	x0, x0, #0xd90
0xfffffff00879f088: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f08c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f090: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f094: 63940591  add	x3, x3, #0x165
0xfffffff00879f098: 02008052  mov	w2, #0
0xfffffff00879f09c: 2550ee97  bl	#0xfffffff008333130
0xfffffff00879f0a0: 08008052  mov	w8, #0
0xfffffff00879f0a4: 3fffff17  b	#0xfffffff00879eda0
0xfffffff00879f0a8: e80300f9  str	x8, [sp]
0xfffffff00879f0ac: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f0b0: 00403691  add	x0, x0, #0xd90
0xfffffff00879f0b4: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f0b8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f0bc: 434dffd0  adrp	x3, #0xfffffff007149000
0xfffffff00879f0c0: 63003a91  add	x3, x3, #0xe80
0xfffffff00879f0c4: 02008052  mov	w2, #0
0xfffffff00879f0c8: 1a50ee97  bl	#0xfffffff008333130
0xfffffff00879f0cc: 08008052  mov	w8, #0
0xfffffff00879f0d0: 34ffff17  b	#0xfffffff00879eda0
0xfffffff00879f0d4: 08008052  mov	w8, #0
0xfffffff00879f0d8: 15ffff17  b	#0xfffffff00879ed2c
0xfffffff00879f0dc: f40300aa  mov	x20, x0
0xfffffff00879f0e0: 884dffd0  adrp	x8, #0xfffffff007151000
0xfffffff00879f0e4: 08491591  add	x8, x8, #0x552
0xfffffff00879f0e8: e85300a9  stp	x8, x20, [sp]
0xfffffff00879f0ec: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f0f0: 00403691  add	x0, x0, #0xd90
0xfffffff00879f0f4: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f0f8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f0fc: 434dfff0  adrp	x3, #0xfffffff00714a000
0xfffffff00879f100: 63bc0f91  add	x3, x3, #0x3ef
0xfffffff00879f104: 02008052  mov	w2, #0
0xfffffff00879f108: 0a50ee97  bl	#0xfffffff008333130
0xfffffff00879f10c: 9f6a0671  cmp	w20, #0x19a
0xfffffff00879f110: 28268052  mov	w8, #0x131
0xfffffff00879f114: 9402881a  csel	w20, w20, w8, eq
0xfffffff00879f118: 40000014  b	#0xfffffff00879f218
0xfffffff00879f11c: e86740f9  ldr	x8, [sp, #0xc8]
0xfffffff00879f120: e80700f9  str	x8, [sp, #8]
0xfffffff00879f124: 884dffd0  adrp	x8, #0xfffffff007151000
0xfffffff00879f128: 08491591  add	x8, x8, #0x552
0xfffffff00879f12c: e80300f9  str	x8, [sp]
0xfffffff00879f130: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f134: 00403691  add	x0, x0, #0xd90
0xfffffff00879f138: e192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879f13c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879f140: 434dffd0  adrp	x3, #0xfffffff007149000
0xfffffff00879f144: 63cc3f91  add	x3, x3, #0xff3
0xfffffff00879f148: 02008052  mov	w2, #0
0xfffffff00879f14c: f94fee97  bl	#0xfffffff008333130
0xfffffff00879f150: 08008052  mov	w8, #0
0xfffffff00879f154: f6feff17  b	#0xfffffff00879ed2c
0xfffffff00879f158: 884dffd0  adrp	x8, #0xfffffff007151000
0xfffffff00879f15c: 08491591  add	x8, x8, #0x552
0xfffffff00879f160: e80300f9  str	x8, [sp]
0xfffffff00879f164: 804cffd0  adrp	x0, #0xfffffff007131000
0xfffffff00879f168: 00403691  add	x0, x0, #0xd90
