; Candidate 12436
; ADRP+ADD at VM 0xfffffff00909f394 (fileoff 0x209b394): page=0x1fe3ba000 add_imm=0xe24

0xfffffff00909f314: ea1740f9  ldr	x10, [sp, #0x28]
0xfffffff00909f318: 5f0108eb  cmp	x10, x8
0xfffffff00909f31c: c8faff54  b.hi	#0xfffffff00909f274
0xfffffff00909f320: 959300d0  adrp	x21, #0xfffffff00a311000
0xfffffff00909f324: 14008052  mov	w20, #0
0xfffffff00909f328: 28008052  mov	w8, #1
0xfffffff00909f32c: a8621039  strb	w8, [x21, #0x418]
0xfffffff00909f330: 57018052  mov	w23, #0xa
0xfffffff00909f334: f30100b4  cbz	x19, #0xfffffff00909f370
0xfffffff00909f338: f51740f9  ldr	x21, [sp, #0x28]
0xfffffff00909f33c: e01dfff0  adrp	x0, #0xfffffff00745e000
0xfffffff00909f340: 00fc2391  add	x0, x0, #0x8ff
0xfffffff00909f344: 031effd0  adrp	x3, #0xfffffff007461000
0xfffffff00909f348: 63b42c91  add	x3, x3, #0xb2d
0xfffffff00909f34c: 051efff0  adrp	x5, #0xfffffff007462000
0xfffffff00909f350: a5341191  add	x5, x5, #0x44d
0xfffffff00909f354: e10313aa  mov	x1, x19
0xfffffff00909f358: e20315aa  mov	x2, x21
0xfffffff00909f35c: e4648052  mov	w4, #0x327
0xfffffff00909f360: abf4ff97  bl	#0xfffffff00909c60c
0xfffffff00909f364: e00313aa  mov	x0, x19
0xfffffff00909f368: e10315aa  mov	x1, x21
0xfffffff00909f36c: 51f4ff97  bl	#0xfffffff00909c4b0
0xfffffff00909f370: 68034039  ldrb	w8, [x27]
0xfffffff00909f374: ff02086b  cmp	w23, w8
0xfffffff00909f378: 43010054  b.lo	#0xfffffff00909f3a0
0xfffffff00909f37c: e80314aa  mov	x8, x20
0xfffffff00909f380: 087d4093  sxtw	x8, w8
0xfffffff00909f384: 091efff0  adrp	x9, #0xfffffff007462000
0xfffffff00909f388: 29351191  add	x9, x9, #0x44d
0xfffffff00909f38c: fc2700a9  stp	x28, x9, [sp]
0xfffffff00909f390: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00909f394: c01dffd0  adrp	x0, #0xfffffff007459000
0xfffffff00909f398: 00903891  add	x0, x0, #0xe24
0xfffffff00909f39c: 21dfca97  bl	#0xfffffff008357020
0xfffffff00909f3a0: e00314aa  mov	x0, x20
0xfffffff00909f3a4: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00909f3a8: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00909f3ac: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00909f3b0: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00909f3b4: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff00909f3b8: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff00909f3bc: ff430291  add	sp, sp, #0x90
0xfffffff00909f3c0: ff0f5fd6  retab	
0xfffffff00909f3c4: 08608052  mov	w8, #0x300
0xfffffff00909f3c8: e81300f9  str	x8, [sp, #0x20]
0xfffffff00909f3cc: c81dffd0  adrp	x8, #0xfffffff007459000
0xfffffff00909f3d0: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909f3d4: 091efff0  adrp	x9, #0xfffffff007462000
0xfffffff00909f3d8: 29191291  add	x9, x9, #0x486
0xfffffff00909f3dc: 0e000014  b	#0xfffffff00909f414
0xfffffff00909f3e0: 48618052  mov	w8, #0x30a
0xfffffff00909f3e4: e81300f9  str	x8, [sp, #0x20]
0xfffffff00909f3e8: c81dffd0  adrp	x8, #0xfffffff007459000
0xfffffff00909f3ec: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909f3f0: 091eff90  adrp	x9, #0xfffffff00745f000
0xfffffff00909f3f4: 29952691  add	x9, x9, #0x9a5
0xfffffff00909f3f8: 07000014  b	#0xfffffff00909f414
0xfffffff00909f3fc: e8618052  mov	w8, #0x30f
0xfffffff00909f400: e81300f9  str	x8, [sp, #0x20]
0xfffffff00909f404: c81dffd0  adrp	x8, #0xfffffff007459000
0xfffffff00909f408: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00909f40c: 091efff0  adrp	x9, #0xfffffff007462000
0xfffffff00909f410: 29151391  add	x9, x9, #0x4c5
