; Candidate 12107
; ADRP+ADD at VM 0xfffffff0090006ec (fileoff 0x1ffc6ec): page=0x1fe43c000 add_imm=0xdac

0xfffffff00900066c: 40000054  b.eq	#0xfffffff009000674
0xfffffff009000670: 408e38d4  brk	#0xc472
0xfffffff009000674: 08c20591  add	x8, x16, #0x170
0xfffffff009000678: 09ba40f9  ldr	x9, [x16, #0x170]
0xfffffff00900067c: f10308aa  mov	x17, x8
0xfffffff009000680: 3127f6f2  movk	x17, #0xb139, lsl #48
0xfffffff009000684: 31093fd7  blraa	x9, x17
0xfffffff009000688: 0008281e  fmul	s0, s0, s8
0xfffffff00900068c: 0800381e  fcvtzs	w8, s0
0xfffffff009000690: c9aa4029  ldp	w9, w10, [x22, #4]
0xfffffff009000694: ab8355f8  ldur	x11, [x29, #-0xa8]
0xfffffff009000698: 0b6b6bb8  ldr	w11, [x24, x11]
0xfffffff00900069c: 8c364029  ldp	w12, w13, [x20]
0xfffffff0090006a0: 8e0a40b9  ldr	w14, [x20, #8]
0xfffffff0090006a4: e9ab09a9  stp	x9, x10, [sp, #0x98]
0xfffffff0090006a8: eeaf08a9  stp	x14, x11, [sp, #0x88]
0xfffffff0090006ac: ecb707a9  stp	x12, x13, [sp, #0x78]
0xfffffff0090006b0: faa306a9  stp	x26, x8, [sp, #0x68]
0xfffffff0090006b4: f9d705a9  stp	x25, x21, [sp, #0x58]
0xfffffff0090006b8: fcdf04a9  stp	x28, x23, [sp, #0x48]
0xfffffff0090006bc: e85b40f9  ldr	x8, [sp, #0xb0]
0xfffffff0090006c0: e8ef03a9  stp	x8, x27, [sp, #0x38]
0xfffffff0090006c4: e85f40f9  ldr	x8, [sp, #0xb8]
0xfffffff0090006c8: e81b00f9  str	x8, [sp, #0x30]
0xfffffff0090006cc: a80355f8  ldur	x8, [x29, #-0xb0]
0xfffffff0090006d0: e81700f9  str	x8, [sp, #0x28]
0xfffffff0090006d4: a88356f8  ldur	x8, [x29, #-0x98]
0xfffffff0090006d8: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090006dc: a88357f8  ldur	x8, [x29, #-0x88]
0xfffffff0090006e0: e80f00f9  str	x8, [sp, #0x18]
0xfffffff0090006e4: a80356f8  ldur	x8, [x29, #-0xa0]
0xfffffff0090006e8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090006ec: e021ff90  adrp	x0, #0xfffffff00743c000
0xfffffff0090006f0: 00b03691  add	x0, x0, #0xdac
0xfffffff0090006f4: a80358f8  ldur	x8, [x29, #-0x80]
0xfffffff0090006f8: e80700f9  str	x8, [sp, #8]
0xfffffff0090006fc: a80357f8  ldur	x8, [x29, #-0x90]
0xfffffff009000700: e80300f9  str	x8, [sp]
0xfffffff009000704: 475acd97  bl	#0xfffffff008357020
0xfffffff009000708: 685640f9  ldr	x8, [x19, #0xa8]
0xfffffff00900070c: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff009000710: a81100b4  cbz	x8, #0xfffffff009000944
0xfffffff009000714: bf0319f8  stur	xzr, [x29, #-0x70]
0xfffffff009000718: bfc318b8  stur	wzr, [x29, #-0x74]
0xfffffff00900071c: a0c301d1  sub	x0, x29, #0x70
0xfffffff009000720: a1d301d1  sub	x1, x29, #0x74
0xfffffff009000724: 7d32b697  bl	#0xfffffff007d8d118
0xfffffff009000728: a80359f8  ldur	x8, [x29, #-0x70]
0xfffffff00900072c: 09409952  mov	w9, #0xca00
0xfffffff009000730: 4973a772  movk	w9, #0x3b9a, lsl #16
0xfffffff009000734: aac358b8  ldur	w10, [x29, #-0x74]
0xfffffff009000738: 1529099b  madd	x21, x8, x9, x10
0xfffffff00900073c: e059ff90  adrp	x0, #0xfffffff007b3c000
0xfffffff009000740: 00002291  add	x0, x0, #0x880
0xfffffff009000744: 6c57cd97  bl	#0xfffffff0083564f4
0xfffffff009000748: f40300aa  mov	x20, x0
0xfffffff00900074c: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff009000750: 100040f9  ldr	x16, [x0]
0xfffffff009000754: f10300aa  mov	x17, x0
0xfffffff009000758: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00900075c: 301ac1da  autda	x16, x17
0xfffffff009000760: f10310aa  mov	x17, x16
0xfffffff009000764: f147c1da  xpacd	x17
0xfffffff009000768: 1f0211eb  cmp	x16, x17
