; Candidate 5712
; ADRP+ADD at VM 0xfffffff008801760 (fileoff 0x17fd760): page=0x1fe9e8000 add_imm=0xe80

0xfffffff0088016e0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088016e4: e80313aa  mov	x8, x19
0xfffffff0088016e8: a050fff0  adrp	x0, #0xfffffff007218000
0xfffffff0088016ec: 00c80491  add	x0, x0, #0x132
0xfffffff0088016f0: f72300a9  stp	x23, x8, [sp]
0xfffffff0088016f4: 0c000014  b	#0xfffffff008801724
0xfffffff0088016f8: 60040034  cbz	w0, #0xfffffff008801784
0xfffffff0088016fc: e803154b  neg	w8, w21
0xfffffff008801700: 28042837  tbnz	w8, #5, #0xfffffff008801784
0xfffffff008801704: 28274b39  ldrb	w8, [x25, #0x2c9]
0xfffffff008801708: 292b4b39  ldrb	w9, [x25, #0x2ca]
0xfffffff00880170c: 2abb42b9  ldr	w10, [x25, #0x2b8]
0xfffffff008801710: 2bbf42b9  ldr	w11, [x25, #0x2bc]
0xfffffff008801714: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008801718: ea2f00a9  stp	x10, x11, [sp]
0xfffffff00880171c: a050fff0  adrp	x0, #0xfffffff007218000
0xfffffff008801720: 008c0391  add	x0, x0, #0xe3
0xfffffff008801724: 4fd7d697  bl	#0xfffffff007db7460
0xfffffff008801728: 25000014  b	#0xfffffff0088017bc
0xfffffff00880172c: a0ca0294  bl	#0xfffffff0088b41ac
0xfffffff008801730: f70300aa  mov	x23, x0
0xfffffff008801734: e00314aa  mov	x0, x20
0xfffffff008801738: 46e80194  bl	#0xfffffff00887b850
0xfffffff00880173c: 28274b39  ldrb	w8, [x25, #0x2c9]
0xfffffff008801740: 292b4b39  ldrb	w9, [x25, #0x2ca]
0xfffffff008801744: 2abb42b9  ldr	w10, [x25, #0x2b8]
0xfffffff008801748: 2bbf42b9  ldr	w11, [x25, #0x2bc]
0xfffffff00880174c: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff008801750: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008801754: e80313aa  mov	x8, x19
0xfffffff008801758: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880175c: f70300f9  str	x23, [sp]
0xfffffff008801760: 404fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008801764: 00003a91  add	x0, x0, #0xe80
0xfffffff008801768: 2190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880176c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008801770: 0352ffd0  adrp	x3, #0xfffffff007243000
0xfffffff008801774: 63843391  add	x3, x3, #0xce1
0xfffffff008801778: 02008052  mov	w2, #0
0xfffffff00880177c: 6dc6ec97  bl	#0xfffffff008333130
0xfffffff008801780: 0f000014  b	#0xfffffff0088017bc
0xfffffff008801784: 28274b39  ldrb	w8, [x25, #0x2c9]
0xfffffff008801788: 292b4b39  ldrb	w9, [x25, #0x2ca]
0xfffffff00880178c: 2abb42b9  ldr	w10, [x25, #0x2b8]
0xfffffff008801790: 2bbf42b9  ldr	w11, [x25, #0x2bc]
0xfffffff008801794: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008801798: ea2f00a9  stp	x10, x11, [sp]
0xfffffff00880179c: 404fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088017a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088017a4: 2190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088017a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088017ac: 0352ffd0  adrp	x3, #0xfffffff007243000
0xfffffff0088017b0: 634c3291  add	x3, x3, #0xc93
0xfffffff0088017b4: 02008052  mov	w2, #0
0xfffffff0088017b8: 5ec6ec97  bl	#0xfffffff008333130
0xfffffff0088017bc: e00313aa  mov	x0, x19
0xfffffff0088017c0: e10314aa  mov	x1, x20
0xfffffff0088017c4: 03e80194  bl	#0xfffffff00887b7d0
0xfffffff0088017c8: 60080034  cbz	w0, #0xfffffff0088018d4
0xfffffff0088017cc: e00313aa  mov	x0, x19
0xfffffff0088017d0: 12e80194  bl	#0xfffffff00887b818
0xfffffff0088017d4: 7502f837  tbnz	w21, #0x1f, #0xfffffff008801820
0xfffffff0088017d8: b8021b12  and	w24, w21, #0x20
0xfffffff0088017dc: 1b000052  eor	w27, w0, #1
