; Candidate 6197
; ADRP+ADD at VM 0xfffffff008819a4c (fileoff 0x1815a4c): page=0x1fea06000 add_imm=0xe65

0xfffffff0088199cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088199d0: 880e8052  mov	w8, #0x74
0xfffffff0088199d4: f72300a9  stp	x23, x8, [sp]
0xfffffff0088199d8: 804eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088199dc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088199e0: 618ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088199e4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088199e8: 8351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff0088199ec: 63a40991  add	x3, x3, #0x269
0xfffffff0088199f0: 02008052  mov	w2, #0
0xfffffff0088199f4: cf65ec97  bl	#0xfffffff008333130
0xfffffff0088199f8: 177d8012  mov	w23, #-0x3e9
0xfffffff0088199fc: 800e8052  mov	w0, #0x74
0xfffffff008819a00: e1008052  mov	w1, #7
0xfffffff008819a04: 73870194  bl	#0xfffffff00887b7d0
0xfffffff008819a08: 60050034  cbz	w0, #0xfffffff008819ab4
0xfffffff008819a0c: 800e8052  mov	w0, #0x74
0xfffffff008819a10: 82870194  bl	#0xfffffff00887b818
0xfffffff008819a14: f90300aa  mov	x25, x0
0xfffffff008819a18: e5690294  bl	#0xfffffff0088b41ac
0xfffffff008819a1c: f80300aa  mov	x24, x0
0xfffffff008819a20: e0008052  mov	w0, #7
0xfffffff008819a24: 8b870194  bl	#0xfffffff00887b850
0xfffffff008819a28: d9010034  cbz	w25, #0xfffffff008819a60
0xfffffff008819a2c: e80317aa  mov	x8, x23
0xfffffff008819a30: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff008819a34: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff008819a38: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff008819a3c: 08c13691  add	x8, x8, #0xdb0
0xfffffff008819a40: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008819a44: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008819a48: 880e8052  mov	w8, #0x74
0xfffffff008819a4c: 2050ffd0  adrp	x0, #0xfffffff00721f000
0xfffffff008819a50: 00943991  add	x0, x0, #0xe65
0xfffffff008819a54: f82300a9  stp	x24, x8, [sp]
0xfffffff008819a58: 8276d697  bl	#0xfffffff007db7460
0xfffffff008819a5c: 16000014  b	#0xfffffff008819ab4
0xfffffff008819a60: d3690294  bl	#0xfffffff0088b41ac
0xfffffff008819a64: f80300aa  mov	x24, x0
0xfffffff008819a68: e0008052  mov	w0, #7
0xfffffff008819a6c: 79870194  bl	#0xfffffff00887b850
0xfffffff008819a70: e80317aa  mov	x8, x23
0xfffffff008819a74: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff008819a78: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff008819a7c: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff008819a80: 08c13691  add	x8, x8, #0xdb0
0xfffffff008819a84: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008819a88: 880e8052  mov	w8, #0x74
0xfffffff008819a8c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008819a90: f80300f9  str	x24, [sp]
0xfffffff008819a94: 804eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008819a98: 00003a91  add	x0, x0, #0xe80
0xfffffff008819a9c: 618ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008819aa0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008819aa4: 8351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff008819aa8: 63240c91  add	x3, x3, #0x309
0xfffffff008819aac: 02008052  mov	w2, #0
0xfffffff008819ab0: a065ec97  bl	#0xfffffff008333130
0xfffffff008819ab4: e00317aa  mov	x0, x23
0xfffffff008819ab8: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff008819abc: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff008819ac0: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff008819ac4: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008819ac8: fa6746a9  ldp	x26, x25, [sp, #0x60]
