; Candidate 968
; ADRP+ADD at VM 0xfffffff00813b2e0 (fileoff 0x11372e0): page=0x2083000 add_imm=0xe18

0xfffffff00813b260: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00813b264: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff00813b268: ffc30191  add	sp, sp, #0x70
0xfffffff00813b26c: ff0f5fd6  retab	
0xfffffff00813b270: e00315aa  mov	x0, x21
0xfffffff00813b274: e10314aa  mov	x1, x20
0xfffffff00813b278: 02008052  mov	w2, #0
0xfffffff00813b27c: 1fc2f197  bl	#0xfffffff007dabaf8
0xfffffff00813b280: 687ec179  ldrsh	w8, [x19, #0xbe]
0xfffffff00813b284: 88f2ff36  tbz	w8, #0x1f, #0xfffffff00813b0d4
0xfffffff00813b288: 96ffff17  b	#0xfffffff00813b0e0
0xfffffff00813b28c: 207aff90  adrp	x0, #0xfffffff00707f000
0xfffffff00813b290: 00700f91  add	x0, x0, #0x3dc
0xfffffff00813b294: 017affd0  adrp	x1, #0xfffffff00707d000
0xfffffff00813b298: 21002f91  add	x1, x1, #0xbc0
0xfffffff00813b29c: 023e8052  mov	w2, #0x1f0
0xfffffff00813b2a0: 5d910d94  bl	#0xfffffff00849f814
0xfffffff00813b2a4: e00315aa  mov	x0, x21
0xfffffff00813b2a8: e10314aa  mov	x1, x20
0xfffffff00813b2ac: 2ec5f197  bl	#0xfffffff007dac764
0xfffffff00813b2b0: 76c643f9  ldr	x22, [x19, #0x788]
0xfffffff00813b2b4: 96f7ffb5  cbnz	x22, #0xfffffff00813b1a4
0xfffffff00813b2b8: ddffff17  b	#0xfffffff00813b22c
0xfffffff00813b2bc: e00315aa  mov	x0, x21
0xfffffff00813b2c0: e10314aa  mov	x1, x20
0xfffffff00813b2c4: 02008052  mov	w2, #0
0xfffffff00813b2c8: 0cc2f197  bl	#0xfffffff007dabaf8
0xfffffff00813b2cc: bfffff17  b	#0xfffffff00813b1c8
0xfffffff00813b2d0: e00315aa  mov	x0, x21
0xfffffff00813b2d4: e10314aa  mov	x1, x20
0xfffffff00813b2d8: 23c5f197  bl	#0xfffffff007dac764
0xfffffff00813b2dc: cfffff17  b	#0xfffffff00813b218
0xfffffff00813b2e0: 000401f0  adrp	x0, #0xfffffff00a1be000
0xfffffff00813b2e4: 00603891  add	x0, x0, #0xe18
0xfffffff00813b2e8: c9930d94  bl	#0xfffffff0084a020c
0xfffffff00813b2ec: 007affd0  adrp	x0, #0xfffffff00707d000
0xfffffff00813b2f0: 00fc3191  add	x0, x0, #0xc7f
0xfffffff00813b2f4: 017affd0  adrp	x1, #0xfffffff00707d000
0xfffffff00813b2f8: 21002f91  add	x1, x1, #0xbc0
0xfffffff00813b2fc: e23f8052  mov	w2, #0x1ff
0xfffffff00813b300: 45910d94  bl	#0xfffffff00849f814
0xfffffff00813b304: 007affd0  adrp	x0, #0xfffffff00707d000
0xfffffff00813b308: 00fc3191  add	x0, x0, #0xc7f
0xfffffff00813b30c: 017affd0  adrp	x1, #0xfffffff00707d000
0xfffffff00813b310: 21002f91  add	x1, x1, #0xbc0
0xfffffff00813b314: e23d8052  mov	w2, #0x1ef
0xfffffff00813b318: 3f910d94  bl	#0xfffffff00849f814
0xfffffff00813b31c: 7f2303d5  pacibsp	
0xfffffff00813b320: ff4301d1  sub	sp, sp, #0x50
0xfffffff00813b324: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff00813b328: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00813b32c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00813b330: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00813b334: fd030191  add	x29, sp, #0x40
0xfffffff00813b338: 000600b4  cbz	x0, #0xfffffff00813b3f8
0xfffffff00813b33c: f50300aa  mov	x21, x0
0xfffffff00813b340: 16c443f9  ldr	x22, [x0, #0x788]
0xfffffff00813b344: b60500b4  cbz	x22, #0xfffffff00813b3f8
0xfffffff00813b348: c82a42b9  ldr	w8, [x22, #0x228]
0xfffffff00813b34c: 68050034  cbz	w8, #0xfffffff00813b3f8
0xfffffff00813b350: 080080d2  mov	x8, #0
0xfffffff00813b354: d3620891  add	x19, x22, #0x218
0xfffffff00813b358: 94d038d5  mrs	x20, tpidr_el1
0xfffffff00813b35c: 891a44b9  ldr	w9, [x20, #0x418]
