; Candidate 16286
; ADRP+ADD at VM 0xfffffff009e43e14 (fileoff 0x2e3fe14): page=0x1fd9e4000 add_imm=0xe0a

0xfffffff009e43d94: 48800091  add	x8, x2, #0x20
0xfffffff009e43d98: 800400b4  cbz	x0, #0xfffffff009e43e28
0xfffffff009e43d9c: f40300aa  mov	x20, x0
0xfffffff009e43da0: 892c00b0  adrp	x9, #0xfffffff00a3d4000
0xfffffff009e43da4: 29212a91  add	x9, x9, #0xa88
0xfffffff009e43da8: 280128f8  ldadd	x8, x8, [x9]
0xfffffff009e43dac: 0800fe92  mov	x8, #0xfffffffffffffff
0xfffffff009e43db0: 080400f9  str	x8, [x0, #8]
0xfffffff009e43db4: 68018052  mov	w8, #0xb
0xfffffff009e43db8: 08000079  strh	w8, [x0]
0xfffffff009e43dbc: 48800011  add	w8, w2, #0x20
0xfffffff009e43dc0: 08040079  strh	w8, [x0, #2]
0xfffffff009e43dc4: 02300079  strh	w2, [x0, #0x18]
0xfffffff009e43dc8: 00680091  add	x0, x0, #0x1a
0xfffffff009e43dcc: 613e40f9  ldr	x1, [x19, #0x78]
0xfffffff009e43dd0: f0227c97  bl	#0xfffffff007d4c990
0xfffffff009e43dd4: c47e40f9  ldr	x4, [x22, #0xf8]
0xfffffff009e43dd8: e5830091  add	x5, sp, #0x20
0xfffffff009e43ddc: e00316aa  mov	x0, x22
0xfffffff009e43de0: 61008052  mov	w1, #3
0xfffffff009e43de4: 020080d2  mov	x2, #0
0xfffffff009e43de8: e30314aa  mov	x3, x20
0xfffffff009e43dec: e87b0294  bl	#0xfffffff009ee2d8c
0xfffffff009e43df0: c0020034  cbz	w0, #0xfffffff009e43e48
0xfffffff009e43df4: f50300aa  mov	x21, x0
0xfffffff009e43df8: 083e8452  mov	w8, #0x21f0
0xfffffff009e43dfc: c802088b  add	x8, x22, x8
0xfffffff009e43e00: c94a8052  mov	w9, #0x256
0xfffffff009e43e04: 2acffe90  adrp	x10, #0xfffffff007827000
0xfffffff009e43e08: 4ae93891  add	x10, x10, #0xe3a
0xfffffff009e43e0c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e43e10: e86301a9  stp	x8, x24, [sp, #0x10]
0xfffffff009e43e14: 20cffe90  adrp	x0, #0xfffffff007827000
0xfffffff009e43e18: 00283891  add	x0, x0, #0xe0a
0xfffffff009e43e1c: aaee0094  bl	#0xfffffff009e7f8c4
0xfffffff009e43e20: f81340f9  ldr	x24, [sp, #0x20]
0xfffffff009e43e24: 2c000014  b	#0xfffffff009e43ed4
0xfffffff009e43e28: 892c00b0  adrp	x9, #0xfffffff00a3d4000
0xfffffff009e43e2c: 29e12791  add	x9, x9, #0x9f8
0xfffffff009e43e30: 2a008052  mov	w10, #1
0xfffffff009e43e34: 29012ab8  ldadd	w10, w9, [x9]
0xfffffff009e43e38: 892c00b0  adrp	x9, #0xfffffff00a3d4000
0xfffffff009e43e3c: 280105f9  str	x8, [x9, #0xa00]
0xfffffff009e43e40: 95018052  mov	w21, #0xc
0xfffffff009e43e44: 2a000014  b	#0xfffffff009e43eec
0xfffffff009e43e48: f81340f9  ldr	x24, [sp, #0x20]
0xfffffff009e43e4c: e00316aa  mov	x0, x22
0xfffffff009e43e50: 61008052  mov	w1, #3
0xfffffff009e43e54: e20318aa  mov	x2, x24
0xfffffff009e43e58: e30317aa  mov	x3, x23
0xfffffff009e43e5c: 78960294  bl	#0xfffffff009ee983c
0xfffffff009e43e60: 80010034  cbz	w0, #0xfffffff009e43e90
0xfffffff009e43e64: f50300aa  mov	x21, x0
0xfffffff009e43e68: 083e8452  mov	w8, #0x21f0
0xfffffff009e43e6c: c802088b  add	x8, x22, x8
0xfffffff009e43e70: a94b8052  mov	w9, #0x25d
0xfffffff009e43e74: 2acffe90  adrp	x10, #0xfffffff007827000
0xfffffff009e43e78: 4ae93891  add	x10, x10, #0xe3a
0xfffffff009e43e7c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e43e80: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e43e84: 20cffe90  adrp	x0, #0xfffffff007827000
0xfffffff009e43e88: 00583991  add	x0, x0, #0xe56
0xfffffff009e43e8c: 11000014  b	#0xfffffff009e43ed0
0xfffffff009e43e90: e00316aa  mov	x0, x22
