; Candidate 8188
; ADRP+ADD at VM 0xfffffff00889b1f4 (fileoff 0x18971f4): page=0x1fe94e000 add_imm=0xe80

0xfffffff00889b174: 00981391  add	x0, x0, #0x4e6
0xfffffff00889b178: e80700f9  str	x8, [sp, #8]
0xfffffff00889b17c: a88358f8  ldur	x8, [x29, #-0x78]
0xfffffff00889b180: e80300f9  str	x8, [sp]
0xfffffff00889b184: b770d497  bl	#0xfffffff007db7460
0xfffffff00889b188: 21000014  b	#0xfffffff00889b20c
0xfffffff00889b18c: 08640094  bl	#0xfffffff0088b41ac
0xfffffff00889b190: f70300aa  mov	x23, x0
0xfffffff00889b194: c0008052  mov	w0, #6
0xfffffff00889b198: ae81ff97  bl	#0xfffffff00887b850
0xfffffff00889b19c: e8031baa  mov	x8, x27
0xfffffff00889b1a0: f52307a9  stp	x21, x8, [sp, #0x70]
0xfffffff00889b1a4: f83700f9  str	x24, [sp, #0x68]
0xfffffff00889b1a8: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00889b1ac: faa305a9  stp	x26, x8, [sp, #0x58]
0xfffffff00889b1b0: e8031caa  mov	x8, x28
0xfffffff00889b1b4: e90314aa  mov	x9, x20
0xfffffff00889b1b8: e8e704a9  stp	x8, x25, [sp, #0x48]
0xfffffff00889b1bc: e92300f9  str	x9, [sp, #0x40]
0xfffffff00889b1c0: e80316aa  mov	x8, x22
0xfffffff00889b1c4: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff00889b1c8: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff00889b1cc: a84bffd0  adrp	x8, #0xfffffff007211000
0xfffffff00889b1d0: 08892c91  add	x8, x8, #0xb22
0xfffffff00889b1d4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00889b1d8: a84cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889b1dc: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889b1e0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889b1e4: a80f8052  mov	w8, #0x7d
0xfffffff00889b1e8: 234effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889b1ec: 63cc1191  add	x3, x3, #0x473
0xfffffff00889b1f0: f72300a9  stp	x23, x8, [sp]
0xfffffff00889b1f4: 604affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889b1f8: 00003a91  add	x0, x0, #0xe80
0xfffffff00889b1fc: 618bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889b200: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889b204: 02008052  mov	w2, #0
0xfffffff00889b208: ca5fea97  bl	#0xfffffff008333130
0xfffffff00889b20c: e0031baa  mov	x0, x27
0xfffffff00889b210: fd7b52a9  ldp	x29, x30, [sp, #0x120]
0xfffffff00889b214: f44f51a9  ldp	x20, x19, [sp, #0x110]
0xfffffff00889b218: f65750a9  ldp	x22, x21, [sp, #0x100]
0xfffffff00889b21c: f85f4fa9  ldp	x24, x23, [sp, #0xf0]
0xfffffff00889b220: fa674ea9  ldp	x26, x25, [sp, #0xe0]
0xfffffff00889b224: fc6f4da9  ldp	x28, x27, [sp, #0xd0]
0xfffffff00889b228: ffc30491  add	sp, sp, #0x130
0xfffffff00889b22c: ff0f5fd6  retab	
0xfffffff00889b230: df630094  bl	#0xfffffff0088b41ac
0xfffffff00889b234: fc0300aa  mov	x28, x0
0xfffffff00889b238: 80008052  mov	w0, #4
0xfffffff00889b23c: 8581ff97  bl	#0xfffffff00887b850
0xfffffff00889b240: e82640a9  ldp	x8, x9, [x23]
0xfffffff00889b244: fba705a9  stp	x27, x9, [sp, #0x58]
0xfffffff00889b248: fba304a9  stp	x27, x8, [sp, #0x48]
0xfffffff00889b24c: e80318aa  mov	x8, x24
0xfffffff00889b250: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00889b254: a84cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889b258: 0a5d1191  add	x10, x8, #0x457
0xfffffff00889b25c: 48108052  mov	w8, #0x82
0xfffffff00889b260: a94bffd0  adrp	x9, #0xfffffff007211000
0xfffffff00889b264: 29892c91  add	x9, x9, #0xb22
0xfffffff00889b268: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00889b26c: a84cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889b270: 08e93191  add	x8, x8, #0xc7a
