; Candidate 9046
; ADRP+ADD at VM 0xfffffff0089a2c3c (fileoff 0x199ec3c): page=0x1fe8e4000 add_imm=0xd7f

0xfffffff0089a2bbc: e00313aa  mov	x0, x19
0xfffffff0089a2bc0: 3d04e597  bl	#0xfffffff0082e3cb4
0xfffffff0089a2bc4: a00100b4  cbz	x0, #0xfffffff0089a2bf8
0xfffffff0089a2bc8: f00300aa  mov	x16, x0
0xfffffff0089a2bcc: f14489d2  mov	x17, #0x4a27
0xfffffff0089a2bd0: 3012c1da  autia	x16, x17
0xfffffff0089a2bd4: f10310aa  mov	x17, x16
0xfffffff0089a2bd8: f143c1da  xpaci	x17
0xfffffff0089a2bdc: 1f0211eb  cmp	x16, x17
0xfffffff0089a2be0: 40000054  b.eq	#0xfffffff0089a2be8
0xfffffff0089a2be4: 008e38d4  brk	#0xc470
0xfffffff0089a2be8: 519a80d2  mov	x17, #0x4d2
0xfffffff0089a2bec: 3002c1da  pacia	x16, x17
0xfffffff0089a2bf0: e20310aa  mov	x2, x16
0xfffffff0089a2bf4: 02000014  b	#0xfffffff0089a2bfc
0xfffffff0089a2bf8: 020080d2  mov	x2, #0
0xfffffff0089a2bfc: 900240f9  ldr	x16, [x20]
0xfffffff0089a2c00: f10314aa  mov	x17, x20
0xfffffff0089a2c04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089a2c08: 301ac1da  autda	x16, x17
0xfffffff0089a2c0c: 118780d2  mov	x17, #0x438
0xfffffff0089a2c10: 1002118b  add	x16, x16, x17
0xfffffff0089a2c14: 080240f9  ldr	x8, [x16]
0xfffffff0089a2c18: e90310aa  mov	x9, x16
0xfffffff0089a2c1c: e00314aa  mov	x0, x20
0xfffffff0089a2c20: e10315aa  mov	x1, x21
0xfffffff0089a2c24: e30313aa  mov	x3, x19
0xfffffff0089a2c28: 040080d2  mov	x4, #0
0xfffffff0089a2c2c: f10309aa  mov	x17, x9
0xfffffff0089a2c30: f101f0f2  movk	x17, #0x800f, lsl #48
0xfffffff0089a2c34: 11093fd7  blraa	x8, x17
0xfffffff0089a2c38: 607a00f9  str	x0, [x19, #0xf0]
0xfffffff0089a2c3c: 2047ff90  adrp	x0, #0xfffffff007286000
0xfffffff0089a2c40: 00fc3591  add	x0, x0, #0xd7f
0xfffffff0089a2c44: d319e697  bl	#0xfffffff008329390
0xfffffff0089a2c48: f50300aa  mov	x21, x0
0xfffffff0089a2c4c: 2047ff90  adrp	x0, #0xfffffff007286000
0xfffffff0089a2c50: 00343691  add	x0, x0, #0xd8d
0xfffffff0089a2c54: cf19e697  bl	#0xfffffff008329390
0xfffffff0089a2c58: f40300aa  mov	x20, x0
0xfffffff0089a2c5c: b50300b4  cbz	x21, #0xfffffff0089a2cd0
0xfffffff0089a2c60: 940300b4  cbz	x20, #0xfffffff0089a2cd0
0xfffffff0089a2c64: f5d303a9  stp	x21, x20, [sp, #0x38]
0xfffffff0089a2c68: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff0089a2c6c: e8a302a9  stp	x8, x8, [sp, #0x28]
0xfffffff0089a2c70: 8984ffd0  adrp	x9, #0xfffffff007a34000
0xfffffff0089a2c74: 29c140f9  ldr	x9, [x9, #0x180]
0xfffffff0089a2c78: 290140f9  ldr	x9, [x9]
0xfffffff0089a2c7c: 290140f9  ldr	x9, [x9]
0xfffffff0089a2c80: e9cf02a9  stp	x9, x19, [sp, #0x28]
0xfffffff0089a2c84: e8a301a9  stp	x8, x8, [sp, #0x18]
0xfffffff0089a2c88: 8884ffd0  adrp	x8, #0xfffffff007a34000
0xfffffff0089a2c8c: 08bd40f9  ldr	x8, [x8, #0x178]
0xfffffff0089a2c90: 080140f9  ldr	x8, [x8]
0xfffffff0089a2c94: 080140f9  ldr	x8, [x8]
0xfffffff0089a2c98: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0089a2c9c: e0a30091  add	x0, sp, #0x28
0xfffffff0089a2ca0: e1e30091  add	x1, sp, #0x38
0xfffffff0089a2ca4: 42008052  mov	w2, #2
0xfffffff0089a2ca8: 03008052  mov	w3, #0
0xfffffff0089a2cac: 4e39e597  bl	#0xfffffff0082f11e4
0xfffffff0089a2cb0: 607e00f9  str	x0, [x19, #0xf8]
0xfffffff0089a2cb4: e0630091  add	x0, sp, #0x18
0xfffffff0089a2cb8: e1e30091  add	x1, sp, #0x38
