; Candidate 11355
; ADRP+ADD at VM 0xfffffff008ef56d8 (fileoff 0x1ef16d8): page=0x1fe515000 add_imm=0xdc0

0xfffffff008ef5658: 0061ff90  adrp	x0, #0xfffffff007b15000
0xfffffff008ef565c: 00002691  add	x0, x0, #0x980
0xfffffff008ef5660: a583d197  bl	#0xfffffff0083564f4
0xfffffff008ef5664: 28008052  mov	w8, #1
0xfffffff008ef5668: 1f7c01a9  stp	xzr, xzr, [x0, #0x10]
0xfffffff008ef566c: f060fff0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef5670: 10a22991  add	x16, x16, #0xa68
0xfffffff008ef5674: 10420091  add	x16, x16, #0x10
0xfffffff008ef5678: f10300aa  mov	x17, x0
0xfffffff008ef567c: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef5680: 300ac1da  pacda	x16, x17
0xfffffff008ef5684: 102000a9  stp	x16, x8, [x0]
0xfffffff008ef5688: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff008ef568c: 081000f9  str	x8, [x0, #0x20]
0xfffffff008ef5690: a8035db8  ldur	w8, [x29, #-0x30]
0xfffffff008ef5694: 082800b9  str	w8, [x0, #0x28]
0xfffffff008ef5698: 7f7e00a9  stp	xzr, xzr, [x19]
0xfffffff008ef569c: 7f0201a9  stp	xzr, x0, [x19, #0x10]
0xfffffff008ef56a0: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff008ef56a4: e960ff90  adrp	x9, #0xfffffff007b11000
0xfffffff008ef56a8: 294143f9  ldr	x9, [x9, #0x680]
0xfffffff008ef56ac: 290140f9  ldr	x9, [x9]
0xfffffff008ef56b0: 3f0108eb  cmp	x9, x8
0xfffffff008ef56b4: e1010054  b.ne	#0xfffffff008ef56f0
0xfffffff008ef56b8: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff008ef56bc: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff008ef56c0: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff008ef56c4: ff030391  add	sp, sp, #0xc0
0xfffffff008ef56c8: ff0f5fd6  retab	
0xfffffff008ef56cc: a028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef56d0: 00c03d91  add	x0, x0, #0xf70
0xfffffff008ef56d4: 10f0ff97  bl	#0xfffffff008ef1714
0xfffffff008ef56d8: a028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef56dc: 00003791  add	x0, x0, #0xdc0
0xfffffff008ef56e0: 0df0ff97  bl	#0xfffffff008ef1714
0xfffffff008ef56e4: 6028fff0  adrp	x0, #0xfffffff007404000
0xfffffff008ef56e8: 00000891  add	x0, x0, #0x200
0xfffffff008ef56ec: 0af0ff97  bl	#0xfffffff008ef1714
0xfffffff008ef56f0: d7a1b997  bl	#0xfffffff007d5de4c
0xfffffff008ef56f4: a028ffb0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef56f8: 006c2f91  add	x0, x0, #0xbdb
0xfffffff008ef56fc: 06f0ff97  bl	#0xfffffff008ef1714
0xfffffff008ef5700: 5f2403d5  bti	c
0xfffffff008ef5704: 00008052  mov	w0, #0
0xfffffff008ef5708: c0035fd6  ret	
0xfffffff008ef570c: 7f2303d5  pacibsp	
0xfffffff008ef5710: ff0302d1  sub	sp, sp, #0x80
0xfffffff008ef5714: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff008ef5718: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff008ef571c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008ef5720: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008ef5724: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008ef5728: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008ef572c: fdc30191  add	x29, sp, #0x70
0xfffffff008ef5730: f40301aa  mov	x20, x1
0xfffffff008ef5734: f30308aa  mov	x19, x8
0xfffffff008ef5738: 151040f9  ldr	x21, [x0, #0x20]
0xfffffff008ef573c: 350200b4  cbz	x21, #0xfffffff008ef5780
0xfffffff008ef5740: 082840b9  ldr	w8, [x0, #0x28]
0xfffffff008ef5744: a90e088b  add	x9, x21, x8, lsl #3
0xfffffff008ef5748: 280115eb  subs	x8, x9, x21
0xfffffff008ef574c: 030c0054  b.lo	#0xfffffff008ef58cc
0xfffffff008ef5750: 0afd60d3  lsr	x10, x8, #0x20
0xfffffff008ef5754: ca0b00b5  cbnz	x10, #0xfffffff008ef58cc
