; Candidate 5568
; ADRP+ADD at VM 0xfffffff0087f8f00 (fileoff 0x17f4f00): page=0x1fe9f1000 add_imm=0xe80

0xfffffff0087f8e80: 00050034  cbz	w0, #0xfffffff0087f8f20
0xfffffff0087f8e84: 000f8052  mov	w0, #0x78
0xfffffff0087f8e88: 640a0294  bl	#0xfffffff00887b818
0xfffffff0087f8e8c: f70300aa  mov	x23, x0
0xfffffff0087f8e90: c7ec0294  bl	#0xfffffff0088b41ac
0xfffffff0087f8e94: f60300aa  mov	x22, x0
0xfffffff0087f8e98: 00018052  mov	w0, #8
0xfffffff0087f8e9c: 6d0a0294  bl	#0xfffffff00887b850
0xfffffff0087f8ea0: 97010034  cbz	w23, #0xfffffff0087f8ed0
0xfffffff0087f8ea4: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0087f8ea8: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f8eac: 086d3d91  add	x8, x8, #0xf5b
0xfffffff0087f8eb0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f8eb4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f8eb8: 080f8052  mov	w8, #0x78
0xfffffff0087f8ebc: e050ffd0  adrp	x0, #0xfffffff007216000
0xfffffff0087f8ec0: 00e03c91  add	x0, x0, #0xf38
0xfffffff0087f8ec4: f62300a9  stp	x22, x8, [sp]
0xfffffff0087f8ec8: 66f9d697  bl	#0xfffffff007db7460
0xfffffff0087f8ecc: 15000014  b	#0xfffffff0087f8f20
0xfffffff0087f8ed0: b7ec0294  bl	#0xfffffff0088b41ac
0xfffffff0087f8ed4: f60300aa  mov	x22, x0
0xfffffff0087f8ed8: 00018052  mov	w0, #8
0xfffffff0087f8edc: 5d0a0294  bl	#0xfffffff00887b850
0xfffffff0087f8ee0: e80315aa  mov	x8, x21
0xfffffff0087f8ee4: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0087f8ee8: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f8eec: 086d3d91  add	x8, x8, #0xf5b
0xfffffff0087f8ef0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f8ef4: 080f8052  mov	w8, #0x78
0xfffffff0087f8ef8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f8efc: f60300f9  str	x22, [sp]
0xfffffff0087f8f00: 804fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f8f04: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f8f08: 8190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f8f0c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f8f10: 4352ffb0  adrp	x3, #0xfffffff007241000
0xfffffff0087f8f14: 63cc1f91  add	x3, x3, #0x7f3
0xfffffff0087f8f18: 02008052  mov	w2, #0
0xfffffff0087f8f1c: 85e8ec97  bl	#0xfffffff008333130
0xfffffff0087f8f20: 780a40f9  ldr	x24, [x19, #0x10]
0xfffffff0087f8f24: 994a40f9  ldr	x25, [x20, #0x90]
0xfffffff0087f8f28: e00314aa  mov	x0, x20
0xfffffff0087f8f2c: 81da0094  bl	#0xfffffff00882f930
0xfffffff0087f8f30: 6852358b  add	x8, x19, w21, uxtw #4
0xfffffff0087f8f34: 00a10091  add	x0, x8, #0x28
0xfffffff0087f8f38: e10314aa  mov	x1, x20
0xfffffff0087f8f3c: 3edb0094  bl	#0xfffffff00882fc34
0xfffffff0087f8f40: 162740f9  ldr	x22, [x24, #0x48]
0xfffffff0087f8f44: 771a40b9  ldr	w23, [x19, #0x18]
0xfffffff0087f8f48: e00315aa  mov	x0, x21
0xfffffff0087f8f4c: f64a0194  bl	#0xfffffff00884bb24
0xfffffff0087f8f50: e20300aa  mov	x2, x0
0xfffffff0087f8f54: 831240b9  ldr	w3, [x20, #0x10]
0xfffffff0087f8f58: 1a008012  mov	w26, #-1
0xfffffff0087f8f5c: 849641a9  ldp	x4, x5, [x20, #0x18]
0xfffffff0087f8f60: 790000b4  cbz	x25, #0xfffffff0087f8f6c
0xfffffff0087f8f64: 28c740b9  ldr	w8, [x25, #0xc4]
0xfffffff0087f8f68: 02000014  b	#0xfffffff0087f8f70
0xfffffff0087f8f6c: 08008012  mov	w8, #-1
0xfffffff0087f8f70: 894240b9  ldr	w9, [x20, #0x40]
0xfffffff0087f8f74: 0a2b4491  add	x10, x24, #0x10a, lsl #12
0xfffffff0087f8f78: 5bf10191  add	x27, x10, #0x7c
0xfffffff0087f8f7c: 6a0340b9  ldr	w10, [x27]
