; Candidate 16586
; ADRP+ADD at VM 0xfffffff009ef47f8 (fileoff 0x2ef07f8): page=0x1fde43000 add_imm=0xe98

0xfffffff009ef4778: e0031aaa  mov	x0, x26
0xfffffff009ef477c: 58960194  bl	#0xfffffff009f5a0dc
0xfffffff009ef4780: b6035af8  ldur	x22, [x29, #-0x60]
0xfffffff009ef4784: 16e9ffb5  cbnz	x22, #0xfffffff009ef44a4
0xfffffff009ef4788: bf031af8  stur	xzr, [x29, #-0x60]
0xfffffff009ef478c: a58301d1  sub	x5, x29, #0x60
0xfffffff009ef4790: e00313aa  mov	x0, x19
0xfffffff009ef4794: 41008052  mov	w1, #2
0xfffffff009ef4798: 22008052  mov	w2, #1
0xfffffff009ef479c: 030080d2  mov	x3, #0
0xfffffff009ef47a0: 04008052  mov	w4, #0
0xfffffff009ef47a4: 90f6ff97  bl	#0xfffffff009ef21e4
0xfffffff009ef47a8: b6035af8  ldur	x22, [x29, #-0x60]
0xfffffff009ef47ac: 560400b4  cbz	x22, #0xfffffff009ef4834
0xfffffff009ef47b0: 68008052  mov	w8, #3
0xfffffff009ef47b4: a8060039  strb	w8, [x21, #1]
0xfffffff009ef47b8: 39008052  mov	w25, #1
0xfffffff009ef47bc: e00313aa  mov	x0, x19
0xfffffff009ef47c0: 21008052  mov	w1, #1
0xfffffff009ef47c4: e20315aa  mov	x2, x21
0xfffffff009ef47c8: e30316aa  mov	x3, x22
0xfffffff009ef47cc: 1cd4ff97  bl	#0xfffffff009ee983c
0xfffffff009ef47d0: fb0300aa  mov	x27, x0
0xfffffff009ef47d4: e00313aa  mov	x0, x19
0xfffffff009ef47d8: 41008052  mov	w1, #2
0xfffffff009ef47dc: e20319aa  mov	x2, x25
0xfffffff009ef47e0: 030080d2  mov	x3, #0
0xfffffff009ef47e4: e40316aa  mov	x4, x22
0xfffffff009ef47e8: 05008052  mov	w5, #0
0xfffffff009ef47ec: 02f8ff97  bl	#0xfffffff009ef27f4
0xfffffff009ef47f0: e00315aa  mov	x0, x21
0xfffffff009ef47f4: 2ab6ff97  bl	#0xfffffff009ee209c
0xfffffff009ef47f8: 00f2fef0  adrp	x0, #0xfffffff007d37000
0xfffffff009ef47fc: 00603a91  add	x0, x0, #0xe98
0xfffffff009ef4800: e10314aa  mov	x1, x20
0xfffffff009ef4804: c2879197  bl	#0xfffffff00835670c
0xfffffff009ef4808: e8348092  mov	x8, #-0x1a8
0xfffffff009ef480c: 880328f8  ldadd	x8, x8, [x28]
0xfffffff009ef4810: e0031baa  mov	x0, x27
0xfffffff009ef4814: fd7b59a9  ldp	x29, x30, [sp, #0x190]
0xfffffff009ef4818: f44f58a9  ldp	x20, x19, [sp, #0x180]
0xfffffff009ef481c: f65757a9  ldp	x22, x21, [sp, #0x170]
0xfffffff009ef4820: f85f56a9  ldp	x24, x23, [sp, #0x160]
0xfffffff009ef4824: fa6755a9  ldp	x26, x25, [sp, #0x150]
0xfffffff009ef4828: fc6f54a9  ldp	x28, x27, [sp, #0x140]
0xfffffff009ef482c: ff830691  add	sp, sp, #0x1a0
0xfffffff009ef4830: ff0f5fd6  retab	
0xfffffff009ef4834: fb0300aa  mov	x27, x0
0xfffffff009ef4838: eeffff17  b	#0xfffffff009ef47f0
0xfffffff009ef483c: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff009ef4840: e82300f9  str	x8, [sp, #0x40]
0xfffffff009ef4844: 59008052  mov	w25, #2
0xfffffff009ef4848: a7ffff17  b	#0xfffffff009ef46e4
0xfffffff009ef484c: 7f2303d5  pacibsp	
0xfffffff009ef4850: ffc304d1  sub	sp, sp, #0x130
0xfffffff009ef4854: fa670ea9  stp	x26, x25, [sp, #0xe0]
0xfffffff009ef4858: f85f0fa9  stp	x24, x23, [sp, #0xf0]
0xfffffff009ef485c: f65710a9  stp	x22, x21, [sp, #0x100]
0xfffffff009ef4860: f44f11a9  stp	x20, x19, [sp, #0x110]
0xfffffff009ef4864: fd7b12a9  stp	x29, x30, [sp, #0x120]
0xfffffff009ef4868: fd830491  add	x29, sp, #0x120
0xfffffff009ef486c: ffff03a9  stp	xzr, xzr, [sp, #0x38]
0xfffffff009ef4870: ff2700f9  str	xzr, [sp, #0x48]
0xfffffff009ef4874: 282040f9  ldr	x8, [x1, #0x40]
