; Candidate 11318
; ADRP+ADD at VM 0xfffffff008eeb3c0 (fileoff 0x1ee73c0): page=0x1fe51d000 add_imm=0xdf9

0xfffffff008eeb340: 00bc3c91  add	x0, x0, #0xf2f
0xfffffff008eeb344: 5dffff17  b	#0xfffffff008eeb0b8
0xfffffff008eeb348: e00316aa  mov	x0, x22
0xfffffff008eeb34c: 81009052  mov	w1, #0x8004
0xfffffff008eeb350: 66edba97  bl	#0xfffffff007da68e8
0xfffffff008eeb354: f70300aa  mov	x23, x0
0xfffffff008eeb358: e03340f9  ldr	x0, [sp, #0x60]
0xfffffff008eeb35c: e10317aa  mov	x1, x23
0xfffffff008eeb360: e20316aa  mov	x2, x22
0xfffffff008eeb364: 0559bf97  bl	#0xfffffff007ec1778
0xfffffff008eeb368: 40070034  cbz	w0, #0xfffffff008eeb450
0xfffffff008eeb36c: f30300aa  mov	x19, x0
0xfffffff008eeb370: f30300f9  str	x19, [sp]
0xfffffff008eeb374: e228ffb0  adrp	x2, #0xfffffff007408000
0xfffffff008eeb378: 42a83e91  add	x2, x2, #0xfaa
0xfffffff008eeb37c: e00314aa  mov	x0, x20
0xfffffff008eeb380: a1008052  mov	w1, #5
0xfffffff008eeb384: 50e6ff97  bl	#0xfffffff008ee4cc4
0xfffffff008eeb388: 3a000014  b	#0xfffffff008eeb470
0xfffffff008eeb38c: e928ffb0  adrp	x9, #0xfffffff007408000
0xfffffff008eeb390: 29dd2d91  add	x9, x9, #0xb77
0xfffffff008eeb394: e92300a9  stp	x9, x8, [sp]
0xfffffff008eeb398: e028ffb0  adrp	x0, #0xfffffff007408000
0xfffffff008eeb39c: 00582f91  add	x0, x0, #0xbd6
0xfffffff008eeb3a0: 20afd197  bl	#0xfffffff008357020
0xfffffff008eeb3a4: 53048052  mov	w19, #0x22
0xfffffff008eeb3a8: 46ffff17  b	#0xfffffff008eeb0c0
0xfffffff008eeb3ac: 73008052  mov	w19, #3
0xfffffff008eeb3b0: 44ffff17  b	#0xfffffff008eeb0c0
0xfffffff008eeb3b4: e828ffb0  adrp	x8, #0xfffffff007408000
0xfffffff008eeb3b8: 08613691  add	x8, x8, #0xd98
0xfffffff008eeb3bc: e80300f9  str	x8, [sp]
0xfffffff008eeb3c0: e028ffb0  adrp	x0, #0xfffffff007408000
0xfffffff008eeb3c4: 00e43791  add	x0, x0, #0xdf9
0xfffffff008eeb3c8: 3cffff17  b	#0xfffffff008eeb0b8
0xfffffff008eeb3cc: b5090034  cbz	w21, #0xfffffff008eeb500
0xfffffff008eeb3d0: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff008eeb3d4: 080c00b4  cbz	x8, #0xfffffff008eeb554
0xfffffff008eeb3d8: e00315aa  mov	x0, x21
0xfffffff008eeb3dc: 01008052  mov	w1, #0
0xfffffff008eeb3e0: 42edba97  bl	#0xfffffff007da68e8
0xfffffff008eeb3e4: f80300aa  mov	x24, x0
0xfffffff008eeb3e8: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff008eeb3ec: e10318aa  mov	x1, x24
0xfffffff008eeb3f0: e20315aa  mov	x2, x21
0xfffffff008eeb3f4: e158bf97  bl	#0xfffffff007ec1778
0xfffffff008eeb3f8: 60080034  cbz	w0, #0xfffffff008eeb504
0xfffffff008eeb3fc: f30300aa  mov	x19, x0
0xfffffff008eeb400: e828ffb0  adrp	x8, #0xfffffff007408000
0xfffffff008eeb404: 08613691  add	x8, x8, #0xd98
0xfffffff008eeb408: e84f00a9  stp	x8, x19, [sp]
0xfffffff008eeb40c: e028ffb0  adrp	x0, #0xfffffff007408000
0xfffffff008eeb410: 00fc3991  add	x0, x0, #0xe7f
0xfffffff008eeb414: 03afd197  bl	#0xfffffff008357020
0xfffffff008eeb418: 190080d2  mov	x25, #0
0xfffffff008eeb41c: 69ffff17  b	#0xfffffff008eeb1c0
0xfffffff008eeb420: e828ffb0  adrp	x8, #0xfffffff007408000
0xfffffff008eeb424: 08413191  add	x8, x8, #0xc50
0xfffffff008eeb428: e80300f9  str	x8, [sp]
0xfffffff008eeb42c: e028ffb0  adrp	x0, #0xfffffff007408000
0xfffffff008eeb430: 00383291  add	x0, x0, #0xc8e
0xfffffff008eeb434: 3dffff17  b	#0xfffffff008eeb128
0xfffffff008eeb438: e828ffb0  adrp	x8, #0xfffffff007408000
0xfffffff008eeb43c: 08993491  add	x8, x8, #0xd26
