; Candidate 3439
; ADRP+ADD at VM 0xfffffff00873e514 (fileoff 0x173a514): page=0x1fe9f3000 add_imm=0xd90

0xfffffff00873e494: f00240f9  ldr	x16, [x23]
0xfffffff00873e498: f10317aa  mov	x17, x23
0xfffffff00873e49c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00873e4a0: 301ac1da  autda	x16, x17
0xfffffff00873e4a4: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff00873e4a8: e90310aa  mov	x9, x16
0xfffffff00873e4ac: e00317aa  mov	x0, x23
0xfffffff00873e4b0: f10309aa  mov	x17, x9
0xfffffff00873e4b4: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff00873e4b8: 11093fd7  blraa	x8, x17
0xfffffff00873e4bc: 170040b9  ldr	w23, [x0]
0xfffffff00873e4c0: fb5f00a9  stp	x27, x23, [sp]
0xfffffff00873e4c4: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e4c8: 00403691  add	x0, x0, #0xd90
0xfffffff00873e4cc: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e4d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e4d4: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e4d8: 63a81c91  add	x3, x3, #0x72a
0xfffffff00873e4dc: 02008052  mov	w2, #0
0xfffffff00873e4e0: 14d3ef97  bl	#0xfffffff008333130
0xfffffff00873e4e4: 08008052  mov	w8, #0
0xfffffff00873e4e8: ffca0371  cmp	w23, #0xf2
0xfffffff00873e4ec: 8c160054  b.gt	#0xfffffff00873e7bc
0xfffffff00873e4f0: ff3e0071  cmp	w23, #0xf
0xfffffff00873e4f4: 801a0054  b.eq	#0xfffffff00873e844
0xfffffff00873e4f8: fffe0071  cmp	w23, #0x3f
0xfffffff00873e4fc: e1010054  b.ne	#0xfffffff00873e538
0xfffffff00873e500: 68008052  mov	w8, #3
0xfffffff00873e504: 0d000014  b	#0xfffffff00873e538
0xfffffff00873e508: ff4300b9  str	wzr, [sp, #0x40]
0xfffffff00873e50c: 0c000014  b	#0xfffffff00873e53c
0xfffffff00873e510: fb0300f9  str	x27, [sp]
0xfffffff00873e514: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e518: 00403691  add	x0, x0, #0xd90
0xfffffff00873e51c: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e520: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e524: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e528: 63741d91  add	x3, x3, #0x75d
0xfffffff00873e52c: 02008052  mov	w2, #0
0xfffffff00873e530: 00d3ef97  bl	#0xfffffff008333130
0xfffffff00873e534: 28008052  mov	w8, #1
0xfffffff00873e538: e84300b9  str	w8, [sp, #0x40]
0xfffffff00873e53c: 100340f9  ldr	x16, [x24]
0xfffffff00873e540: 901bc1da  autda	x16, x28
0xfffffff00873e544: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00873e548: e90310aa  mov	x9, x16
0xfffffff00873e54c: e00318aa  mov	x0, x24
0xfffffff00873e550: f10309aa  mov	x17, x9
0xfffffff00873e554: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00873e558: 11093fd7  blraa	x8, x17
0xfffffff00873e55c: 68b241b9  ldr	w8, [x19, #0x1b0]
0xfffffff00873e560: 1f650071  cmp	w8, #0x19
0xfffffff00873e564: e2979f1a  cset	w2, hi
0xfffffff00873e568: 700240f9  ldr	x16, [x19]
0xfffffff00873e56c: f10313aa  mov	x17, x19
0xfffffff00873e570: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00873e574: 301ac1da  autda	x16, x17
0xfffffff00873e578: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff00873e57c: e90310aa  mov	x9, x16
0xfffffff00873e580: c150ffb0  adrp	x1, #0xfffffff007157000
0xfffffff00873e584: 21342791  add	x1, x1, #0x9cd
0xfffffff00873e588: e00313aa  mov	x0, x19
0xfffffff00873e58c: f10309aa  mov	x17, x9
0xfffffff00873e590: d145e2f2  movk	x17, #0x122e, lsl #48
