; Candidate 13556
; ADRP+ADD at VM 0xfffffff0093895a8 (fileoff 0x23855a8): page=0x1fe174000 add_imm=0xe60

0xfffffff009389528: f80302aa  mov	x24, x2
0xfffffff00938952c: f60301aa  mov	x22, x1
0xfffffff009389530: f30300aa  mov	x19, x0
0xfffffff009389534: 08044639  ldrb	w8, [x0, #0x181]
0xfffffff009389538: e8033836  tbz	w8, #7, #0xfffffff0093895b4
0xfffffff00938953c: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff009389540: ff3700b9  str	wzr, [sp, #0x34]
0xfffffff009389544: e0e30091  add	x0, sp, #0x38
0xfffffff009389548: e1d30091  add	x1, sp, #0x34
0xfffffff00938954c: 6e2bad97  bl	#0xfffffff007ed4304
0xfffffff009389550: f41f40f9  ldr	x20, [sp, #0x38]
0xfffffff009389554: 700240f9  ldr	x16, [x19]
0xfffffff009389558: f10313aa  mov	x17, x19
0xfffffff00938955c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009389560: 301ac1da  autda	x16, x17
0xfffffff009389564: f10310aa  mov	x17, x16
0xfffffff009389568: f147c1da  xpacd	x17
0xfffffff00938956c: 1f0211eb  cmp	x16, x17
0xfffffff009389570: 40000054  b.eq	#0xfffffff009389578
0xfffffff009389574: 408e38d4  brk	#0xc472
0xfffffff009389578: 08a20791  add	x8, x16, #0x1e8
0xfffffff00938957c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009389580: f73740b9  ldr	w23, [sp, #0x34]
0xfffffff009389584: e00313aa  mov	x0, x19
0xfffffff009389588: 010080d2  mov	x1, #0
0xfffffff00938958c: f10308aa  mov	x17, x8
0xfffffff009389590: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009389594: 31093fd7  blraa	x9, x17
0xfffffff009389598: a80bffb0  adrp	x8, #0xfffffff0074fe000
0xfffffff00938959c: 08690f91  add	x8, x8, #0x3da
0xfffffff0093895a0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0093895a4: f45f00a9  stp	x20, x23, [sp]
0xfffffff0093895a8: a00bff90  adrp	x0, #0xfffffff0074fd000
0xfffffff0093895ac: 00803991  add	x0, x0, #0xe60
0xfffffff0093895b0: 9c36bf97  bl	#0xfffffff008357020
0xfffffff0093895b4: c841ffb0  adrp	x8, #0xfffffff007bc2000
0xfffffff0093895b8: 085543f9  ldr	x8, [x8, #0x6a8]
0xfffffff0093895bc: 010140f9  ldr	x1, [x8]
0xfffffff0093895c0: e00316aa  mov	x0, x22
0xfffffff0093895c4: cc69bd97  bl	#0xfffffff0082e3cf4
0xfffffff0093895c8: e00d00b4  cbz	x0, #0xfffffff009389784
0xfffffff0093895cc: f60300aa  mov	x22, x0
0xfffffff0093895d0: c841ffb0  adrp	x8, #0xfffffff007bc2000
0xfffffff0093895d4: 089143f9  ldr	x8, [x8, #0x720]
0xfffffff0093895d8: 080140b9  ldr	w8, [x8]
0xfffffff0093895dc: 1f791c72  tst	w8, #0xfffffff7
0xfffffff0093895e0: 00010054  b.eq	#0xfffffff009389600
0xfffffff0093895e4: 61d641b9  ldr	w1, [x19, #0x1d4]
0xfffffff0093895e8: 037f4093  sxtw	x3, w24
0xfffffff0093895ec: e203152a  mov	w2, w21
0xfffffff0093895f0: 00288052  mov	w0, #0x140
0xfffffff0093895f4: 80c3a072  movk	w0, #0x61c, lsl #16
0xfffffff0093895f8: 040080d2  mov	x4, #0
0xfffffff0093895fc: 8edab797  bl	#0xfffffff008180034
0xfffffff009389600: 68d20591  add	x8, x19, #0x174
0xfffffff009389604: e86302a9  stp	x8, x24, [sp, #0x20]
0xfffffff009389608: 687641b9  ldr	w8, [x19, #0x174]
0xfffffff00938960c: 08050051  sub	w8, w8, #1
0xfffffff009389610: 687601b9  str	w8, [x19, #0x174]
0xfffffff009389614: b8060035  cbnz	w24, #0xfffffff0093896e8
0xfffffff009389618: 95060034  cbz	w21, #0xfffffff0093896e8
0xfffffff00938961c: e00316aa  mov	x0, x22
0xfffffff009389620: 24e70094  bl	#0xfffffff0093c32b0
0xfffffff009389624: 080040b9  ldr	w8, [x0]
