; Candidate 16172
; ADRP+ADD at VM 0xfffffff009e2d330 (fileoff 0x2e29330): page=0x1fdf00000 add_imm=0xe38

0xfffffff009e2d2b0: 69040011  add	w9, w3, #1
0xfffffff009e2d2b4: 09090079  strh	w9, [x8, #4]
0xfffffff009e2d2b8: c0035fd6  ret	
0xfffffff009e2d2bc: 800a8052  mov	w0, #0x54
0xfffffff009e2d2c0: c0035fd6  ret	
0xfffffff009e2d2c4: 7f2303d5  pacibsp	
0xfffffff009e2d2c8: ff8300d1  sub	sp, sp, #0x20
0xfffffff009e2d2cc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009e2d2d0: fd430091  add	x29, sp, #0x10
0xfffffff009e2d2d4: e00700f9  str	x0, [sp, #8]
0xfffffff009e2d2d8: e00000b4  cbz	x0, #0xfffffff009e2d2f4
0xfffffff009e2d2dc: 1fb42ef1  cmp	x0, #0xbad
0xfffffff009e2d2e0: a0000054  b.eq	#0xfffffff009e2d2f4
0xfffffff009e2d2e4: 40000054  b.eq	#0xfffffff009e2d2ec
0xfffffff009e2d2e8: 60000037  tbnz	w0, #0, #0xfffffff009e2d2f4
0xfffffff009e2d2ec: e0230091  add	x0, sp, #8
0xfffffff009e2d2f0: dffeff97  bl	#0xfffffff009e2ce6c
0xfffffff009e2d2f4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009e2d2f8: ff830091  add	sp, sp, #0x20
0xfffffff009e2d2fc: ff0f5fd6  retab	
0xfffffff009e2d300: 7f2303d5  pacibsp	
0xfffffff009e2d304: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009e2d308: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009e2d30c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009e2d310: fd830091  add	x29, sp, #0x20
0xfffffff009e2d314: f30301aa  mov	x19, x1
0xfffffff009e2d318: 08fc4339  ldrb	w8, [x0, #0xff]
0xfffffff009e2d31c: 09050051  sub	w9, w8, #1
0xfffffff009e2d320: 3f090071  cmp	w9, #2
0xfffffff009e2d324: 0429457a  ccmp	w8, #5, #4, hs
0xfffffff009e2d328: 61040054  b.ne	#0xfffffff009e2d3b4
0xfffffff009e2d32c: f50300aa  mov	x21, x0
0xfffffff009e2d330: 00f8fe90  adrp	x0, #0xfffffff007d2d000
0xfffffff009e2d334: 00e03891  add	x0, x0, #0xe38
0xfffffff009e2d338: 6fa49497  bl	#0xfffffff0083564f4
0xfffffff009e2d33c: a00700b4  cbz	x0, #0xfffffff009e2d430
0xfffffff009e2d340: f40300aa  mov	x20, x0
0xfffffff009e2d344: 01008052  mov	w1, #0
0xfffffff009e2d348: 02158052  mov	w2, #0xa8
0xfffffff009e2d34c: 1d7e7c97  bl	#0xfffffff007d4cbc0
0xfffffff009e2d350: e00314aa  mov	x0, x20
0xfffffff009e2d354: 010080d2  mov	x1, #0
0xfffffff009e2d358: 22008052  mov	w2, #1
0xfffffff009e2d35c: 5d249497  bl	#0xfffffff0083364d0
0xfffffff009e2d360: 48008052  mov	w8, #2
0xfffffff009e2d364: 880600b9  str	w8, [x20, #4]
0xfffffff009e2d368: 96220091  add	x22, x20, #8
0xfffffff009e2d36c: e00316aa  mov	x0, x22
0xfffffff009e2d370: 01008052  mov	w1, #0
0xfffffff009e2d374: 02128052  mov	w2, #0x90
0xfffffff009e2d378: 127e7c97  bl	#0xfffffff007d4cbc0
0xfffffff009e2d37c: 882c00d0  adrp	x8, #0xfffffff00a3bf000
0xfffffff009e2d380: 018943f9  ldr	x1, [x8, #0x710]
0xfffffff009e2d384: e00316aa  mov	x0, x22
0xfffffff009e2d388: 020080d2  mov	x2, #0
0xfffffff009e2d38c: 46ff7d97  bl	#0xfffffff007dad0a4
0xfffffff009e2d390: a8fe4339  ldrb	w8, [x21, #0xff]
0xfffffff009e2d394: 88620239  strb	w8, [x20, #0x98]
0xfffffff009e2d398: e00315aa  mov	x0, x21
0xfffffff009e2d39c: 99c07c97  bl	#0xfffffff007d5d600
0xfffffff009e2d3a0: e10300aa  mov	x1, x0
0xfffffff009e2d3a4: e00315aa  mov	x0, x21
0xfffffff009e2d3a8: 8c9fff97  bl	#0xfffffff009e151d8
0xfffffff009e2d3ac: 805200f9  str	x0, [x20, #0xa0]
