; Candidate 14568
; ADRP+ADD at VM 0xfffffff0098583a0 (fileoff 0x28543a0): page=0x1fe404000 add_imm=0xd50

0xfffffff009858320: fd030091  mov	x29, sp
0xfffffff009858324: f1aeac97  bl	#0xfffffff008383ee8
0xfffffff009858328: 08200291  add	x8, x0, #0x88
0xfffffff00985832c: 1020ff90  adrp	x16, #0xfffffff007c58000
0xfffffff009858330: 10e21791  add	x16, x16, #0x5f8
0xfffffff009858334: 10420091  add	x16, x16, #0x10
0xfffffff009858338: f10300aa  mov	x17, x0
0xfffffff00985833c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009858340: 300ac1da  pacda	x16, x17
0xfffffff009858344: 100000f9  str	x16, [x0]
0xfffffff009858348: 1020ff90  adrp	x16, #0xfffffff007c58000
0xfffffff00985834c: 10e21791  add	x16, x16, #0x5f8
0xfffffff009858350: 10a21691  add	x16, x16, #0x5a8
0xfffffff009858354: f10308aa  mov	x17, x8
0xfffffff009858358: b193faf2  movk	x17, #0xd49d, lsl #48
0xfffffff00985835c: 300ac1da  pacda	x16, x17
0xfffffff009858360: 104400f9  str	x16, [x0, #0x88]
0xfffffff009858364: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009858368: ff0f5fd6  retab	
0xfffffff00985836c: 5f2403d5  bti	c
0xfffffff009858370: f4aeac17  b	#0xfffffff008383f40
0xfffffff009858374: 5f2403d5  bti	c
0xfffffff009858378: f2aeac17  b	#0xfffffff008383f40
0xfffffff00985837c: 5f2403d5  bti	c
0xfffffff009858380: 002002d1  sub	x0, x0, #0x88
0xfffffff009858384: efaeac17  b	#0xfffffff008383f40
0xfffffff009858388: 7f2303d5  pacibsp	
0xfffffff00985838c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009858390: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009858394: fd430091  add	x29, sp, #0x10
0xfffffff009858398: f30300aa  mov	x19, x0
0xfffffff00985839c: e9aeac97  bl	#0xfffffff008383f40
0xfffffff0098583a0: 2020ff90  adrp	x0, #0xfffffff007c5c000
0xfffffff0098583a4: 00403591  add	x0, x0, #0xd50
0xfffffff0098583a8: e10313aa  mov	x1, x19
0xfffffff0098583ac: 02188052  mov	w2, #0xc0
0xfffffff0098583b0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0098583b4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0098583b8: ff2303d5  autibsp	
0xfffffff0098583bc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0098583c0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0098583c8
0xfffffff0098583c4: 208e38d4  brk	#0xc471
0xfffffff0098583c8: b53caa17  b	#0xfffffff0082e769c
0xfffffff0098583cc: 5f2403d5  bti	c
0xfffffff0098583d0: e20301aa  mov	x2, x1
0xfffffff0098583d4: e10300aa  mov	x1, x0
0xfffffff0098583d8: 2020ff90  adrp	x0, #0xfffffff007c5c000
0xfffffff0098583dc: 00403591  add	x0, x0, #0xd50
0xfffffff0098583e0: af3caa17  b	#0xfffffff0082e769c
0xfffffff0098583e4: 7f2303d5  pacibsp	
0xfffffff0098583e8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0098583ec: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0098583f0: fd430091  add	x29, sp, #0x10
0xfffffff0098583f4: 132002d1  sub	x19, x0, #0x88
0xfffffff0098583f8: e00313aa  mov	x0, x19
0xfffffff0098583fc: d1aeac97  bl	#0xfffffff008383f40
0xfffffff009858400: 2020ff90  adrp	x0, #0xfffffff007c5c000
0xfffffff009858404: 00403591  add	x0, x0, #0xd50
0xfffffff009858408: e10313aa  mov	x1, x19
0xfffffff00985840c: 02188052  mov	w2, #0xc0
0xfffffff009858410: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009858414: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009858418: ff2303d5  autibsp	
0xfffffff00985841c: d0071eca  eor	x16, x30, x30, lsl #1
