; Candidate 16560
; ADRP+ADD at VM 0xfffffff009ee3d3c (fileoff 0x2edfd3c): page=0x1fd96d000 add_imm=0xe09

0xfffffff009ee3cbc: 0a04a0f2  movk	x10, #0x20, lsl #16
0xfffffff009ee3cc0: 0a0cc0f2  movk	x10, #0x60, lsl #32
0xfffffff009ee3cc4: 0a09e0f2  movk	x10, #0x48, lsl #48
0xfffffff009ee3cc8: 4925c99a  lsr	x9, x10, x9
0xfffffff009ee3ccc: 3a3d0012  and	w26, w9, #0xffff
0xfffffff009ee3cd0: 10000014  b	#0xfffffff009ee3d10
0xfffffff009ee3cd4: 281d0012  and	w8, w9, #0xff
0xfffffff009ee3cd8: c96a40f9  ldr	x9, [x22, #0xd0]
0xfffffff009ee3cdc: c91e00b4  cbz	x9, #0xfffffff009ee40b4
0xfffffff009ee3ce0: 29d54439  ldrb	w9, [x9, #0x135]
0xfffffff009ee3ce4: 3f010071  cmp	w9, #0
0xfffffff009ee3ce8: e0079f1a  cset	w0, ne
0xfffffff009ee3cec: f5000014  b	#0xfffffff009ee40c0
0xfffffff009ee3cf0: e9124079  ldrh	w9, [x23, #8]
0xfffffff009ee3cf4: 0a098052  mov	w10, #0x48
0xfffffff009ee3cf8: 29010a8b  add	x9, x9, x10
0xfffffff009ee3cfc: 3a3d0012  and	w26, w9, #0xffff
0xfffffff009ee3d00: 29fd50d3  lsr	x9, x9, #0x10
0xfffffff009ee3d04: 3f0100f1  cmp	x9, #0
0xfffffff009ee3d08: 440b407a  ccmp	w26, #0, #4, eq
0xfffffff009ee3d0c: c0f0ff54  b.eq	#0xfffffff009ee3b24
0xfffffff009ee3d10: 9f2403d5  bti	j
0xfffffff009ee3d14: 1f3900f1  cmp	x8, #0xe
0xfffffff009ee3d18: a1010054  b.ne	#0xfffffff009ee3d4c
0xfffffff009ee3d1c: e9224039  ldrb	w9, [x23, #8]
0xfffffff009ee3d20: 3f3d0071  cmp	w9, #0xf
0xfffffff009ee3d24: 68010054  b.hi	#0xfffffff009ee3d50
0xfffffff009ee3d28: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009ee3d2c: 68cbfeb0  adrp	x8, #0xfffffff007850000
0xfffffff009ee3d30: 08f53891  add	x8, x8, #0xe3d
0xfffffff009ee3d34: 29428152  mov	w9, #0xa11
0xfffffff009ee3d38: e82700a9  stp	x8, x9, [sp]
0xfffffff009ee3d3c: 60cbfeb0  adrp	x0, #0xfffffff007850000
0xfffffff009ee3d40: 00243891  add	x0, x0, #0xe09
0xfffffff009ee3d44: e06efe97  bl	#0xfffffff009e7f8c4
0xfffffff009ee3d48: 77ffff17  b	#0xfffffff009ee3b24
0xfffffff009ee3d4c: e90308aa  mov	x9, x8
0xfffffff009ee3d50: 30050051  sub	w16, w9, #1
0xfffffff009ee3d54: 1f4a0071  cmp	w16, #0x12
0xfffffff009ee3d58: e8130054  b.hi	#0xfffffff009ee3fd4
0xfffffff009ee3d5c: 1f4a00f1  cmp	x16, #0x12
0xfffffff009ee3d60: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff009ee3d64: 110000b0  adrp	x17, #0xfffffff009ee4000
0xfffffff009ee3d68: 31422091  add	x17, x17, #0x810
0xfffffff009ee3d6c: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff009ee3d70: 11000010  adr	x17, #0xfffffff009ee3d70
0xfffffff009ee3d74: 3002108b  add	x16, x17, x16
0xfffffff009ee3d78: 00021fd6  br	x16
0xfffffff009ee3d7c: 9f2403d5  bti	j
0xfffffff009ee3d80: a0f2feb0  adrp	x0, #0xfffffff007d38000
0xfffffff009ee3d84: 00600291  add	x0, x0, #0x98
0xfffffff009ee3d88: dbc99197  bl	#0xfffffff0083564f4
0xfffffff009ee3d8c: f30300aa  mov	x19, x0
0xfffffff009ee3d90: 401600b4  cbz	x0, #0xfffffff009ee4058
0xfffffff009ee3d94: 882700b0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ee3d98: 08212a91  add	x8, x8, #0xa88
0xfffffff009ee3d9c: 090c8052  mov	w9, #0x60
0xfffffff009ee3da0: f7000014  b	#0xfffffff009ee417c
0xfffffff009ee3da4: 9f2403d5  bti	j
0xfffffff009ee3da8: a0f2fe90  adrp	x0, #0xfffffff007d37000
0xfffffff009ee3dac: 00603e91  add	x0, x0, #0xf98
0xfffffff009ee3db0: d1c99197  bl	#0xfffffff0083564f4
0xfffffff009ee3db4: f30300aa  mov	x19, x0
0xfffffff009ee3db8: a01900b4  cbz	x0, #0xfffffff009ee40ec
