; Candidate 13312
; ADRP+ADD at VM 0xfffffff009288ea4 (fileoff 0x2284ea4): page=0x1fe233000 add_imm=0xe91

0xfffffff009288e24: e1068052  mov	w1, #0x37
0xfffffff009288e28: c72dc897  bl	#0xfffffff008494544
0xfffffff009288e2c: 7f2303d5  pacibsp	
0xfffffff009288e30: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288e34: fd030091  mov	x29, sp
0xfffffff009288e38: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288e3c: 00443a91  add	x0, x0, #0xe91
0xfffffff009288e40: 8211fff0  adrp	x2, #0xfffffff0074bb000
0xfffffff009288e44: 42043c91  add	x2, x2, #0xf01
0xfffffff009288e48: c1078052  mov	w1, #0x3e
0xfffffff009288e4c: be2dc897  bl	#0xfffffff008494544
0xfffffff009288e50: 7f2303d5  pacibsp	
0xfffffff009288e54: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288e58: fd030091  mov	x29, sp
0xfffffff009288e5c: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288e60: 00443a91  add	x0, x0, #0xe91
0xfffffff009288e64: a211ff90  adrp	x2, #0xfffffff0074bc000
0xfffffff009288e68: 42300191  add	x2, x2, #0x4c
0xfffffff009288e6c: 21108052  mov	w1, #0x81
0xfffffff009288e70: b52dc897  bl	#0xfffffff008494544
0xfffffff009288e74: 7f2303d5  pacibsp	
0xfffffff009288e78: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288e7c: fd030091  mov	x29, sp
0xfffffff009288e80: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288e84: 00443a91  add	x0, x0, #0xe91
0xfffffff009288e88: a211ff90  adrp	x2, #0xfffffff0074bc000
0xfffffff009288e8c: 42940191  add	x2, x2, #0x65
0xfffffff009288e90: 81108052  mov	w1, #0x84
0xfffffff009288e94: ac2dc897  bl	#0xfffffff008494544
0xfffffff009288e98: 7f2303d5  pacibsp	
0xfffffff009288e9c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288ea0: fd030091  mov	x29, sp
0xfffffff009288ea4: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288ea8: 00443a91  add	x0, x0, #0xe91
0xfffffff009288eac: a211ff90  adrp	x2, #0xfffffff0074bc000
0xfffffff009288eb0: 42940191  add	x2, x2, #0x65
0xfffffff009288eb4: 21118052  mov	w1, #0x89
0xfffffff009288eb8: a32dc897  bl	#0xfffffff008494544
0xfffffff009288ebc: 7f2303d5  pacibsp	
0xfffffff009288ec0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288ec4: fd030091  mov	x29, sp
0xfffffff009288ec8: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288ecc: 00443a91  add	x0, x0, #0xe91
0xfffffff009288ed0: a211ff90  adrp	x2, #0xfffffff0074bc000
0xfffffff009288ed4: 42940191  add	x2, x2, #0x65
0xfffffff009288ed8: c1128052  mov	w1, #0x96
0xfffffff009288edc: 9a2dc897  bl	#0xfffffff008494544
0xfffffff009288ee0: 7f2303d5  pacibsp	
0xfffffff009288ee4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288ee8: fd030091  mov	x29, sp
0xfffffff009288eec: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288ef0: 00443a91  add	x0, x0, #0xe91
0xfffffff009288ef4: a211ff90  adrp	x2, #0xfffffff0074bc000
0xfffffff009288ef8: 42940191  add	x2, x2, #0x65
0xfffffff009288efc: 41138052  mov	w1, #0x9a
0xfffffff009288f00: 912dc897  bl	#0xfffffff008494544
0xfffffff009288f04: 7f2303d5  pacibsp	
0xfffffff009288f08: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009288f0c: fd030091  mov	x29, sp
0xfffffff009288f10: 8011fff0  adrp	x0, #0xfffffff0074bb000
0xfffffff009288f14: 00443a91  add	x0, x0, #0xe91
0xfffffff009288f18: a211ff90  adrp	x2, #0xfffffff0074bc000
0xfffffff009288f1c: 42dc0391  add	x2, x2, #0xf7
0xfffffff009288f20: 61158052  mov	w1, #0xab
