; Candidate 6071
; ADRP+ADD at VM 0xfffffff008812d30 (fileoff 0x180ed30): page=0x1fe9d7000 add_imm=0xe80

0xfffffff008812cb0: 680340b9  ldr	w8, [x27]
0xfffffff008812cb4: f9a303a9  stp	x25, x8, [sp, #0x38]
0xfffffff008812cb8: e84fffd0  adrp	x8, #0xfffffff007210000
0xfffffff008812cbc: 08b92791  add	x8, x8, #0x9ee
0xfffffff008812cc0: e9728052  mov	w9, #0x397
0xfffffff008812cc4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008812cc8: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff008812ccc: 08992491  add	x8, x8, #0x926
0xfffffff008812cd0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008812cd4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008812cd8: 880e8052  mov	w8, #0x74
0xfffffff008812cdc: 4050fff0  adrp	x0, #0xfffffff00721d000
0xfffffff008812ce0: 00e42491  add	x0, x0, #0x939
0xfffffff008812ce4: f52300a9  stp	x21, x8, [sp]
0xfffffff008812ce8: 60000014  b	#0xfffffff008812e68
0xfffffff008812cec: 30850294  bl	#0xfffffff0088b41ac
0xfffffff008812cf0: f40300aa  mov	x20, x0
0xfffffff008812cf4: 80008052  mov	w0, #4
0xfffffff008812cf8: d6a20194  bl	#0xfffffff00887b850
0xfffffff008812cfc: 088340b9  ldr	w8, [x24, #0x80]
0xfffffff008812d00: 49008052  mov	w9, #2
0xfffffff008812d04: ff2704a9  stp	xzr, x9, [sp, #0x40]
0xfffffff008812d08: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008812d0c: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff008812d10: 08251c91  add	x8, x8, #0x709
0xfffffff008812d14: 69718052  mov	w9, #0x38b
0xfffffff008812d18: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008812d1c: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff008812d20: 08992491  add	x8, x8, #0x926
0xfffffff008812d24: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008812d28: 880e8052  mov	w8, #0x74
0xfffffff008812d2c: f42300a9  stp	x20, x8, [sp]
0xfffffff008812d30: a04efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008812d34: 00003a91  add	x0, x0, #0xe80
0xfffffff008812d38: a18fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008812d3c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008812d40: a351ffb0  adrp	x3, #0xfffffff007247000
0xfffffff008812d44: 63783391  add	x3, x3, #0xcde
0xfffffff008812d48: 02008052  mov	w2, #0
0xfffffff008812d4c: f980ec97  bl	#0xfffffff008333130
0xfffffff008812d50: 1a000014  b	#0xfffffff008812db8
0xfffffff008812d54: 16850294  bl	#0xfffffff0088b41ac
0xfffffff008812d58: f40300aa  mov	x20, x0
0xfffffff008812d5c: 80008052  mov	w0, #4
0xfffffff008812d60: bca20194  bl	#0xfffffff00887b850
0xfffffff008812d64: 087f40b9  ldr	w8, [x24, #0x7c]
0xfffffff008812d68: 49008052  mov	w9, #2
0xfffffff008812d6c: ff2704a9  stp	xzr, x9, [sp, #0x40]
0xfffffff008812d70: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008812d74: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff008812d78: 08ed1e91  add	x8, x8, #0x7bb
0xfffffff008812d7c: 09728052  mov	w9, #0x390
0xfffffff008812d80: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008812d84: 4850fff0  adrp	x8, #0xfffffff00721d000
0xfffffff008812d88: 08992491  add	x8, x8, #0x926
0xfffffff008812d8c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008812d90: 880e8052  mov	w8, #0x74
0xfffffff008812d94: f42300a9  stp	x20, x8, [sp]
0xfffffff008812d98: a04efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008812d9c: 00003a91  add	x0, x0, #0xe80
0xfffffff008812da0: a18fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008812da4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008812da8: a351ffb0  adrp	x3, #0xfffffff007247000
0xfffffff008812dac: 63903491  add	x3, x3, #0xd24
