; Candidate 6388
; ADRP+ADD at VM 0xfffffff008828db8 (fileoff 0x1824db8): page=0x1fe9c1000 add_imm=0xe80

0xfffffff008828d38: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff008828d3c: e8898052  mov	w8, #0x44f
0xfffffff008828d40: c94fffb0  adrp	x9, #0xfffffff007221000
0xfffffff008828d44: 29d92691  add	x9, x9, #0x9b6
0xfffffff008828d48: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008828d4c: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828d50: 08653291  add	x8, x8, #0xc99
0xfffffff008828d54: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008828d58: e80a8052  mov	w8, #0x57
0xfffffff008828d5c: c04fffb0  adrp	x0, #0xfffffff007221000
0xfffffff008828d60: 00e01f91  add	x0, x0, #0x7f8
0xfffffff008828d64: f42300a9  stp	x20, x8, [sp]
0xfffffff008828d68: be39d697  bl	#0xfffffff007db7460
0xfffffff008828d6c: 38000014  b	#0xfffffff008828e4c
0xfffffff008828d70: 0f2d0294  bl	#0xfffffff0088b41ac
0xfffffff008828d74: f40300aa  mov	x20, x0
0xfffffff008828d78: 80008052  mov	w0, #4
0xfffffff008828d7c: b54a0194  bl	#0xfffffff00887b850
0xfffffff008828d80: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008828d84: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008828d88: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828d8c: 0a851091  add	x10, x8, #0x421
0xfffffff008828d90: 48898052  mov	w8, #0x44a
0xfffffff008828d94: c94fffb0  adrp	x9, #0xfffffff007221000
0xfffffff008828d98: 29d92691  add	x9, x9, #0x9b6
0xfffffff008828d9c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008828da0: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828da4: 08653291  add	x8, x8, #0xc99
0xfffffff008828da8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008828dac: e80a8052  mov	w8, #0x57
0xfffffff008828db0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008828db4: f40300f9  str	x20, [sp]
0xfffffff008828db8: 004effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008828dbc: 00003a91  add	x0, x0, #0xe80
0xfffffff008828dc0: 018fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008828dc4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008828dc8: 0351fff0  adrp	x3, #0xfffffff00724b000
0xfffffff008828dcc: 635c2891  add	x3, x3, #0xa17
0xfffffff008828dd0: 02008052  mov	w2, #0
0xfffffff008828dd4: d728ec97  bl	#0xfffffff008333130
0xfffffff008828dd8: 547e8012  mov	w20, #-0x3f3
0xfffffff008828ddc: 1f000014  b	#0xfffffff008828e58
0xfffffff008828de0: f32c0294  bl	#0xfffffff0088b41ac
0xfffffff008828de4: f40300aa  mov	x20, x0
0xfffffff008828de8: 80008052  mov	w0, #4
0xfffffff008828dec: 994a0194  bl	#0xfffffff00887b850
0xfffffff008828df0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008828df4: 693e46b9  ldr	w9, [x19, #0x63c]
0xfffffff008828df8: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008828dfc: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828e00: 08b52091  add	x8, x8, #0x82d
0xfffffff008828e04: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008828e08: e8898052  mov	w8, #0x44f
0xfffffff008828e0c: c94fffb0  adrp	x9, #0xfffffff007221000
0xfffffff008828e10: 29d92691  add	x9, x9, #0x9b6
0xfffffff008828e14: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008828e18: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828e1c: 08653291  add	x8, x8, #0xc99
0xfffffff008828e20: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008828e24: e80a8052  mov	w8, #0x57
0xfffffff008828e28: f42300a9  stp	x20, x8, [sp]
0xfffffff008828e2c: 004effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008828e30: 00003a91  add	x0, x0, #0xe80
0xfffffff008828e34: 018fff90  adrp	x1, #0xfffffff007a08000
