; Candidate 14935
; ADRP+ADD at VM 0xfffffff009a04dd8 (fileoff 0x2a00dd8): page=0x1fdbfc000 add_imm=0xda6

0xfffffff009a04d58: a0040035  cbnz	w0, #0xfffffff009a04dec
0xfffffff009a04d5c: b8035ab8  ldur	w24, [x29, #-0x60]
0xfffffff009a04d60: b38359f8  ldur	x19, [x29, #-0x68]
0xfffffff009a04d64: 730200b4  cbz	x19, #0xfffffff009a04db0
0xfffffff009a04d68: 700240f9  ldr	x16, [x19]
0xfffffff009a04d6c: f10313aa  mov	x17, x19
0xfffffff009a04d70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a04d74: 301ac1da  autda	x16, x17
0xfffffff009a04d78: 113d80d2  mov	x17, #0x1e8
0xfffffff009a04d7c: 1002118b  add	x16, x16, x17
0xfffffff009a04d80: 080240f9  ldr	x8, [x16]
0xfffffff009a04d84: e90310aa  mov	x9, x16
0xfffffff009a04d88: e00313aa  mov	x0, x19
0xfffffff009a04d8c: 010080d2  mov	x1, #0
0xfffffff009a04d90: f10309aa  mov	x17, x9
0xfffffff009a04d94: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009a04d98: 11093fd7  blraa	x8, x17
0xfffffff009a04d9c: fb0300aa  mov	x27, x0
0xfffffff009a04da0: a08359f8  ldur	x0, [x29, #-0x68]
0xfffffff009a04da4: c00000b4  cbz	x0, #0xfffffff009a04dbc
0xfffffff009a04da8: 288fa597  bl	#0xfffffff008368a48
0xfffffff009a04dac: 04000014  b	#0xfffffff009a04dbc
0xfffffff009a04db0: 000080d2  mov	x0, #0
0xfffffff009a04db4: fbdffe90  adrp	x27, #0xfffffff007600000
0xfffffff009a04db8: 7b433791  add	x27, x27, #0xdd0
0xfffffff009a04dbc: 085f1053  ubfx	w8, w24, #0x10, #8
0xfffffff009a04dc0: 093f0b53  ubfx	w9, w24, #0xb, #5
0xfffffff009a04dc4: 0a2b0853  ubfx	w10, w24, #8, #3
0xfffffff009a04dc8: fb8302a9  stp	x27, x0, [sp, #0x28]
0xfffffff009a04dcc: facf01a9  stp	x26, x19, [sp, #0x18]
0xfffffff009a04dd0: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009a04dd4: e80300f9  str	x8, [sp]
0xfffffff009a04dd8: e0dffe90  adrp	x0, #0xfffffff007600000
0xfffffff009a04ddc: 00983691  add	x0, x0, #0xda6
0xfffffff009a04de0: 9048a597  bl	#0xfffffff008357020
0xfffffff009a04de4: 984d00d0  adrp	x24, #0xfffffff00a3b6000
0xfffffff009a04de8: 93008052  mov	w19, #4
0xfffffff009a04dec: 08436e39  ldrb	w8, [x24, #0xb90]
0xfffffff009a04df0: c8040836  tbz	w8, #1, #0xfffffff009a04e88
0xfffffff009a04df4: b8035ab8  ldur	w24, [x29, #-0x60]
0xfffffff009a04df8: b38359f8  ldur	x19, [x29, #-0x68]
0xfffffff009a04dfc: 730200b4  cbz	x19, #0xfffffff009a04e48
0xfffffff009a04e00: 700240f9  ldr	x16, [x19]
0xfffffff009a04e04: f10313aa  mov	x17, x19
0xfffffff009a04e08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a04e0c: 301ac1da  autda	x16, x17
0xfffffff009a04e10: 113d80d2  mov	x17, #0x1e8
0xfffffff009a04e14: 1002118b  add	x16, x16, x17
0xfffffff009a04e18: 080240f9  ldr	x8, [x16]
0xfffffff009a04e1c: e90310aa  mov	x9, x16
0xfffffff009a04e20: e00313aa  mov	x0, x19
0xfffffff009a04e24: 010080d2  mov	x1, #0
0xfffffff009a04e28: f10309aa  mov	x17, x9
0xfffffff009a04e2c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009a04e30: 11093fd7  blraa	x8, x17
0xfffffff009a04e34: fb0300aa  mov	x27, x0
0xfffffff009a04e38: a08359f8  ldur	x0, [x29, #-0x68]
0xfffffff009a04e3c: c00000b4  cbz	x0, #0xfffffff009a04e54
0xfffffff009a04e40: 028fa597  bl	#0xfffffff008368a48
0xfffffff009a04e44: 04000014  b	#0xfffffff009a04e54
0xfffffff009a04e48: 000080d2  mov	x0, #0
0xfffffff009a04e4c: fbdffe90  adrp	x27, #0xfffffff007600000
0xfffffff009a04e50: 7b433791  add	x27, x27, #0xdd0
0xfffffff009a04e54: 085f1053  ubfx	w8, w24, #0x10, #8
