; Candidate 2339
; ADRP+ADD at VM 0xfffffff008618490 (fileoff 0x1614490): page=0x1ff3c5000 add_imm=0xe58

0xfffffff008618410: 10823391  add	x16, x16, #0xce0
0xfffffff008618414: 10420091  add	x16, x16, #0x10
0xfffffff008618418: f10300aa  mov	x17, x0
0xfffffff00861841c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008618420: 300ac1da  pacda	x16, x17
0xfffffff008618424: 100000f9  str	x16, [x0]
0xfffffff008618428: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00861842c: ff0f5fd6  retab	
0xfffffff008618430: 5f2403d5  bti	c
0xfffffff008618434: 984b0014  b	#0xfffffff00862b294
0xfffffff008618438: 5f2403d5  bti	c
0xfffffff00861843c: 964b0014  b	#0xfffffff00862b294
0xfffffff008618440: 7f2303d5  pacibsp	
0xfffffff008618444: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008618448: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00861844c: fd430091  add	x29, sp, #0x10
0xfffffff008618450: f30300aa  mov	x19, x0
0xfffffff008618454: 904b0094  bl	#0xfffffff00862b294
0xfffffff008618458: 209effb0  adrp	x0, #0xfffffff0079dd000
0xfffffff00861845c: 00603991  add	x0, x0, #0xe58
0xfffffff008618460: e10313aa  mov	x1, x19
0xfffffff008618464: 02158052  mov	w2, #0xa8
0xfffffff008618468: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00861846c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008618470: ff2303d5  autibsp	
0xfffffff008618474: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008618478: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008618480
0xfffffff00861847c: 208e38d4  brk	#0xc471
0xfffffff008618480: 873cf317  b	#0xfffffff0082e769c
0xfffffff008618484: 5f2403d5  bti	c
0xfffffff008618488: e20301aa  mov	x2, x1
0xfffffff00861848c: e10300aa  mov	x1, x0
0xfffffff008618490: 209effb0  adrp	x0, #0xfffffff0079dd000
0xfffffff008618494: 00603991  add	x0, x0, #0xe58
0xfffffff008618498: 813cf317  b	#0xfffffff0082e769c
0xfffffff00861849c: 5f2403d5  bti	c
0xfffffff0086184a0: 00e60090  adrp	x0, #0xfffffff00a2d8000
0xfffffff0086184a4: 00c00c91  add	x0, x0, #0x330
0xfffffff0086184a8: c0035fd6  ret	
0xfffffff0086184ac: 7f2303d5  pacibsp	
0xfffffff0086184b0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086184b4: fd030091  mov	x29, sp
0xfffffff0086184b8: 8157ff90  adrp	x1, #0xfffffff007108000
0xfffffff0086184bc: 21640e91  add	x1, x1, #0x399
0xfffffff0086184c0: 02e60090  adrp	x2, #0xfffffff00a2d8000
0xfffffff0086184c4: 42001891  add	x2, x2, #0x600
0xfffffff0086184c8: 03158052  mov	w3, #0xa8
0xfffffff0086184cc: 9b2df397  bl	#0xfffffff0082e3b38
0xfffffff0086184d0: d09dfff0  adrp	x16, #0xfffffff0079d3000
0xfffffff0086184d4: 10820b91  add	x16, x16, #0x2e0
0xfffffff0086184d8: 10420091  add	x16, x16, #0x10
0xfffffff0086184dc: f10300aa  mov	x17, x0
0xfffffff0086184e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086184e4: 300ac1da  pacda	x16, x17
0xfffffff0086184e8: 100000f9  str	x16, [x0]
0xfffffff0086184ec: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086184f0: ff0f5fd6  retab	
0xfffffff0086184f4: 7f2303d5  pacibsp	
0xfffffff0086184f8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086184fc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008618500: fd430091  add	x29, sp, #0x10
0xfffffff008618504: 209effb0  adrp	x0, #0xfffffff0079dd000
0xfffffff008618508: 00603991  add	x0, x0, #0xe58
0xfffffff00861850c: 01158052  mov	w1, #0xa8
