; Candidate 14385
; ADRP+ADD at VM 0xfffffff00976fa10 (fileoff 0x276ba10): page=0xc1c000 add_imm=0xea8

0xfffffff00976f990: c00100b5  cbnz	x0, #0xfffffff00976f9c8
0xfffffff00976f994: 700240f9  ldr	x16, [x19]
0xfffffff00976f998: f10313aa  mov	x17, x19
0xfffffff00976f99c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f9a0: 301ac1da  autda	x16, x17
0xfffffff00976f9a4: 113d80d2  mov	x17, #0x1e8
0xfffffff00976f9a8: 1002118b  add	x16, x16, x17
0xfffffff00976f9ac: 080240f9  ldr	x8, [x16]
0xfffffff00976f9b0: e90310aa  mov	x9, x16
0xfffffff00976f9b4: e00313aa  mov	x0, x19
0xfffffff00976f9b8: 010080d2  mov	x1, #0
0xfffffff00976f9bc: f10309aa  mov	x17, x9
0xfffffff00976f9c0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976f9c4: 11093fd7  blraa	x8, x17
0xfffffff00976f9c8: e00313aa  mov	x0, x19
0xfffffff00976f9cc: 24e4fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f9d0: e00313aa  mov	x0, x19
0xfffffff00976f9d4: 22e4fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f9d8: c00100b5  cbnz	x0, #0xfffffff00976fa10
0xfffffff00976f9dc: 700240f9  ldr	x16, [x19]
0xfffffff00976f9e0: f10313aa  mov	x17, x19
0xfffffff00976f9e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f9e8: 301ac1da  autda	x16, x17
0xfffffff00976f9ec: 114380d2  mov	x17, #0x218
0xfffffff00976f9f0: 1002118b  add	x16, x16, x17
0xfffffff00976f9f4: 080240f9  ldr	x8, [x16]
0xfffffff00976f9f8: e90310aa  mov	x9, x16
0xfffffff00976f9fc: e00313aa  mov	x0, x19
0xfffffff00976fa00: 010080d2  mov	x1, #0
0xfffffff00976fa04: f10309aa  mov	x17, x9
0xfffffff00976fa08: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976fa0c: 11093fd7  blraa	x8, x17
0xfffffff00976fa10: e0600090  adrp	x0, #0xfffffff00a38b000
0xfffffff00976fa14: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976fa18: d0d3ad97  bl	#0xfffffff0082e4958
0xfffffff00976fa1c: f70300aa  mov	x23, x0
0xfffffff00976fa20: e00313aa  mov	x0, x19
0xfffffff00976fa24: 0ee4fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976fa28: f80300aa  mov	x24, x0
0xfffffff00976fa2c: e00100b5  cbnz	x0, #0xfffffff00976fa68
0xfffffff00976fa30: 700240f9  ldr	x16, [x19]
0xfffffff00976fa34: f10313aa  mov	x17, x19
0xfffffff00976fa38: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976fa3c: 301ac1da  autda	x16, x17
0xfffffff00976fa40: 113d80d2  mov	x17, #0x1e8
0xfffffff00976fa44: 1002118b  add	x16, x16, x17
0xfffffff00976fa48: 080240f9  ldr	x8, [x16]
0xfffffff00976fa4c: e90310aa  mov	x9, x16
0xfffffff00976fa50: e00313aa  mov	x0, x19
0xfffffff00976fa54: 010080d2  mov	x1, #0
0xfffffff00976fa58: f10309aa  mov	x17, x9
0xfffffff00976fa5c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976fa60: 11093fd7  blraa	x8, x17
0xfffffff00976fa64: f80300aa  mov	x24, x0
0xfffffff00976fa68: e00313aa  mov	x0, x19
0xfffffff00976fa6c: fce3fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976fa70: 1f0000f1  cmp	x0, #0
0xfffffff00976fa74: 7b03969a  csel	x27, x27, x22, eq
0xfffffff00976fa78: e00313aa  mov	x0, x19
0xfffffff00976fa7c: f8e3fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976fa80: e00100b5  cbnz	x0, #0xfffffff00976fabc
0xfffffff00976fa84: 700240f9  ldr	x16, [x19]
0xfffffff00976fa88: f10313aa  mov	x17, x19
0xfffffff00976fa8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
