; Candidate 15236
; ADRP+ADD at VM 0xfffffff009b42528 (fileoff 0x2b3e528): page=0x1fdae6000 add_imm=0xed0

0xfffffff009b424a8: 40000054  b.eq	#0xfffffff009b424b0
0xfffffff009b424ac: 408e38d4  brk	#0xc472
0xfffffff009b424b0: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b424b4: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b424b8: e00313aa  mov	x0, x19
0xfffffff009b424bc: 010080d2  mov	x1, #0
0xfffffff009b424c0: f10308aa  mov	x17, x8
0xfffffff009b424c4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b424c8: 31093fd7  blraa	x9, x17
0xfffffff009b424cc: f50300aa  mov	x21, x0
0xfffffff009b424d0: 700240f9  ldr	x16, [x19]
0xfffffff009b424d4: f10313aa  mov	x17, x19
0xfffffff009b424d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b424dc: 301ac1da  autda	x16, x17
0xfffffff009b424e0: f10310aa  mov	x17, x16
0xfffffff009b424e4: f147c1da  xpacd	x17
0xfffffff009b424e8: 1f0211eb  cmp	x16, x17
0xfffffff009b424ec: 40000054  b.eq	#0xfffffff009b424f4
0xfffffff009b424f0: 408e38d4  brk	#0xc472
0xfffffff009b424f4: 08620891  add	x8, x16, #0x218
0xfffffff009b424f8: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b424fc: e00313aa  mov	x0, x19
0xfffffff009b42500: 010080d2  mov	x1, #0
0xfffffff009b42504: f10308aa  mov	x17, x8
0xfffffff009b42508: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4250c: 31093fd7  blraa	x9, x17
0xfffffff009b42510: 28d7fef0  adrp	x8, #0xfffffff007629000
0xfffffff009b42514: 08552891  add	x8, x8, #0xa15
0xfffffff009b42518: 29d7fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b4251c: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b42520: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b42524: f50300a9  stp	x21, x0, [sp]
0xfffffff009b42528: 20d7fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b4252c: 00403b91  add	x0, x0, #0xed0
0xfffffff009b42530: 43d7feb0  adrp	x3, #0xfffffff00762b000
0xfffffff009b42534: 638c2591  add	x3, x3, #0x963
0xfffffff009b42538: e10314aa  mov	x1, x20
0xfffffff009b4253c: 02028052  mov	w2, #0x10
0xfffffff009b42540: fcc29f97  bl	#0xfffffff008333130
0xfffffff009b42544: 00008052  mov	w0, #0
0xfffffff009b42548: 55020014  b	#0xfffffff009b42e9c
0xfffffff009b4254c: 68c641b9  ldr	w8, [x19, #0x1c4]
0xfffffff009b42550: 49008052  mov	w9, #2
0xfffffff009b42554: 0900a872  movk	w9, #0x4000, lsl #16
0xfffffff009b42558: 3f01286a  bics	wzr, w9, w8
0xfffffff009b4255c: 01050054  b.ne	#0xfffffff009b425fc
0xfffffff009b42560: 4f2e8e97  bl	#0xfffffff007ecde9c
0xfffffff009b42564: 1f040071  cmp	w0, #1
0xfffffff009b42568: a1040054  b.ne	#0xfffffff009b425fc
0xfffffff009b4256c: 700240f9  ldr	x16, [x19]
0xfffffff009b42570: f10313aa  mov	x17, x19
0xfffffff009b42574: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b42578: 301ac1da  autda	x16, x17
0xfffffff009b4257c: 113d80d2  mov	x17, #0x1e8
0xfffffff009b42580: 1002118b  add	x16, x16, x17
0xfffffff009b42584: 080240f9  ldr	x8, [x16]
0xfffffff009b42588: e90310aa  mov	x9, x16
0xfffffff009b4258c: e00313aa  mov	x0, x19
0xfffffff009b42590: 010080d2  mov	x1, #0
0xfffffff009b42594: f10309aa  mov	x17, x9
0xfffffff009b42598: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4259c: 11093fd7  blraa	x8, x17
0xfffffff009b425a0: f40300aa  mov	x20, x0
0xfffffff009b425a4: 700240f9  ldr	x16, [x19]
