; Candidate 14080
; ADRP+ADD at VM 0xfffffff0096be22c (fileoff 0x26ba22c): page=0x1fded0000 add_imm=0xe09

0xfffffff0096be1ac: 400300b4  cbz	x0, #0xfffffff0096be214
0xfffffff0096be1b0: 700240f9  ldr	x16, [x19]
0xfffffff0096be1b4: f10313aa  mov	x17, x19
0xfffffff0096be1b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096be1bc: 301ac1da  autda	x16, x17
0xfffffff0096be1c0: 116e80d2  mov	x17, #0x370
0xfffffff0096be1c4: 1002118b  add	x16, x16, x17
0xfffffff0096be1c8: 080240f9  ldr	x8, [x16]
0xfffffff0096be1cc: e90310aa  mov	x9, x16
0xfffffff0096be1d0: e00313aa  mov	x0, x19
0xfffffff0096be1d4: f10309aa  mov	x17, x9
0xfffffff0096be1d8: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0096be1dc: 11093fd7  blraa	x8, x17
0xfffffff0096be1e0: 100040f9  ldr	x16, [x0]
0xfffffff0096be1e4: f10300aa  mov	x17, x0
0xfffffff0096be1e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096be1ec: 301ac1da  autda	x16, x17
0xfffffff0096be1f0: 113d80d2  mov	x17, #0x1e8
0xfffffff0096be1f4: 1002118b  add	x16, x16, x17
0xfffffff0096be1f8: 080240f9  ldr	x8, [x16]
0xfffffff0096be1fc: e90310aa  mov	x9, x16
0xfffffff0096be200: 010080d2  mov	x1, #0
0xfffffff0096be204: f10309aa  mov	x17, x9
0xfffffff0096be208: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0096be20c: 11093fd7  blraa	x8, x17
0xfffffff0096be210: 03000014  b	#0xfffffff0096be21c
0xfffffff0096be214: 60f6fef0  adrp	x0, #0xfffffff00758d000
0xfffffff0096be218: 007c1f91  add	x0, x0, #0x7df
0xfffffff0096be21c: 88f6fe90  adrp	x8, #0xfffffff00758e000
0xfffffff0096be220: 08653891  add	x8, x8, #0xe19
0xfffffff0096be224: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0096be228: f50300f9  str	x21, [sp]
0xfffffff0096be22c: 80f6fe90  adrp	x0, #0xfffffff00758e000
0xfffffff0096be230: 00243891  add	x0, x0, #0xe09
0xfffffff0096be234: 7b63b297  bl	#0xfffffff008357020
0xfffffff0096be238: c82aff90  adrp	x8, #0xfffffff007c16000
0xfffffff0096be23c: 083d42f9  ldr	x8, [x8, #0x478]
0xfffffff0096be240: 010140f9  ldr	x1, [x8]
0xfffffff0096be244: e00314aa  mov	x0, x20
0xfffffff0096be248: ab96b097  bl	#0xfffffff0082e3cf4
0xfffffff0096be24c: e00800b4  cbz	x0, #0xfffffff0096be368
0xfffffff0096be250: 100040f9  ldr	x16, [x0]
0xfffffff0096be254: f10300aa  mov	x17, x0
0xfffffff0096be258: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096be25c: 301ac1da  autda	x16, x17
0xfffffff0096be260: 112780d2  mov	x17, #0x138
0xfffffff0096be264: 1002118b  add	x16, x16, x17
0xfffffff0096be268: 080240f9  ldr	x8, [x16]
0xfffffff0096be26c: e90310aa  mov	x9, x16
0xfffffff0096be270: 81f6fe90  adrp	x1, #0xfffffff00758e000
0xfffffff0096be274: 21b81d91  add	x1, x1, #0x76e
0xfffffff0096be278: f10309aa  mov	x17, x9
0xfffffff0096be27c: 71c7e5f2  movk	x17, #0x2e3b, lsl #48
0xfffffff0096be280: 11093fd7  blraa	x8, x17
0xfffffff0096be284: c82aff90  adrp	x8, #0xfffffff007c16000
0xfffffff0096be288: 087542f9  ldr	x8, [x8, #0x4e8]
0xfffffff0096be28c: 010140f9  ldr	x1, [x8]
0xfffffff0096be290: 9996b097  bl	#0xfffffff0082e3cf4
0xfffffff0096be294: a00600b4  cbz	x0, #0xfffffff0096be368
0xfffffff0096be298: f40300aa  mov	x20, x0
0xfffffff0096be29c: 100040f9  ldr	x16, [x0]
0xfffffff0096be2a0: f10300aa  mov	x17, x0
0xfffffff0096be2a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096be2a8: 301ac1da  autda	x16, x17
