; Candidate 1362
; ADRP+ADD at VM 0xfffffff00838612c (fileoff 0x138212c): page=0x1fed17000 add_imm=0xebd

0xfffffff0083860ac: fdc30091  add	x29, sp, #0x30
0xfffffff0083860b0: 080080d2  mov	x8, #0
0xfffffff0083860b4: 15f600b0  adrp	x21, #0xfffffff00a247000
0xfffffff0083860b8: a0c247f9  ldr	x0, [x21, #0xf80]
0xfffffff0083860bc: 94d038d5  mrs	x20, tpidr_el1
0xfffffff0083860c0: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff0083860c4: 0a200091  add	x10, x0, #8
0xfffffff0083860c8: 497de8c8  casa	x8, x9, [x10]
0xfffffff0083860cc: 1f0100f1  cmp	x8, #0
0xfffffff0083860d0: 21060054  b.ne	#0xfffffff008386194
0xfffffff0083860d4: 08f600d0  adrp	x8, #0xfffffff00a248000
0xfffffff0083860d8: 131140f9  ldr	x19, [x8, #0x20]
0xfffffff0083860dc: 1f1100f9  str	xzr, [x8, #0x20]
0xfffffff0083860e0: a0c247f9  ldr	x0, [x21, #0xf80]
0xfffffff0083860e4: 08200091  add	x8, x0, #8
0xfffffff0083860e8: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff0083860ec: e20309aa  mov	x2, x9
0xfffffff0083860f0: 1ffda288  casl	w2, wzr, [x8]
0xfffffff0083860f4: 5f00096b  cmp	w2, w9
0xfffffff0083860f8: 61050054  b.ne	#0xfffffff0083861a4
0xfffffff0083860fc: b30500b4  cbz	x19, #0xfffffff0083861b0
0xfffffff008386100: 700240f9  ldr	x16, [x19]
0xfffffff008386104: f10313aa  mov	x17, x19
0xfffffff008386108: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00838610c: 301ac1da  autda	x16, x17
0xfffffff008386110: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff008386114: e90310aa  mov	x9, x16
0xfffffff008386118: e00313aa  mov	x0, x19
0xfffffff00838611c: f10309aa  mov	x17, x9
0xfffffff008386120: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff008386124: 11093fd7  blraa	x8, x17
0xfffffff008386128: e00300f9  str	x0, [sp]
0xfffffff00838612c: a068fff0  adrp	x0, #0xfffffff00709d000
0xfffffff008386130: 00f43a91  add	x0, x0, #0xebd
0xfffffff008386134: bb43ff97  bl	#0xfffffff008357020
0xfffffff008386138: 41adffd0  adrp	x1, #0xfffffff007930000
0xfffffff00838613c: 21000c91  add	x1, x1, #0x300
0xfffffff008386140: e00313aa  mov	x0, x19
0xfffffff008386144: af93fd97  bl	#0xfffffff0082eb000
0xfffffff008386148: 700240f9  ldr	x16, [x19]
0xfffffff00838614c: f10313aa  mov	x17, x19
0xfffffff008386150: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008386154: 301ac1da  autda	x16, x17
0xfffffff008386158: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00838615c: e10310aa  mov	x1, x16
0xfffffff008386160: f00308aa  mov	x16, x8
0xfffffff008386164: e00313aa  mov	x0, x19
0xfffffff008386168: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00838616c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008386170: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008386174: ff030191  add	sp, sp, #0x40
0xfffffff008386178: ff2303d5  autibsp	
0xfffffff00838617c: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008386180: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008386188
0xfffffff008386184: 208e38d4  brk	#0xc471
0xfffffff008386188: f10301aa  mov	x17, x1
0xfffffff00838618c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008386190: 110a1fd7  braa	x16, x17
0xfffffff008386194: e10314aa  mov	x1, x20
0xfffffff008386198: 02008052  mov	w2, #0
0xfffffff00838619c: 5796e897  bl	#0xfffffff007dabaf8
0xfffffff0083861a0: cdffff17  b	#0xfffffff0083860d4
0xfffffff0083861a4: e10314aa  mov	x1, x20
0xfffffff0083861a8: 6f99e897  bl	#0xfffffff007dac764
