; Candidate 13925
; ADRP+ADD at VM 0xfffffff009621550 (fileoff 0x261d550): page=0xd68000 add_imm=0xd30

0xfffffff0096214d0: 01008052  mov	w1, #0
0xfffffff0096214d4: 3221b397  bl	#0xfffffff0082e999c
0xfffffff0096214d8: 602200f9  str	x0, [x19, #0x40]
0xfffffff0096214dc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0096214e0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0096214e4: ff0f5fd6  retab	
0xfffffff0096214e8: 5f2403d5  bti	c
0xfffffff0096214ec: 820cb317  b	#0xfffffff0082e46f4
0xfffffff0096214f0: 5f2403d5  bti	c
0xfffffff0096214f4: 00008052  mov	w0, #0
0xfffffff0096214f8: c0035fd6  ret	
0xfffffff0096214fc: 7f2303d5  pacibsp	
0xfffffff009621500: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009621504: fd030091  mov	x29, sp
0xfffffff009621508: 406b0090  adrp	x0, #0xfffffff00a389000
0xfffffff00962150c: 00c03491  add	x0, x0, #0xd30
0xfffffff009621510: 41fafeb0  adrp	x1, #0xfffffff00756a000
0xfffffff009621514: 21b00691  add	x1, x1, #0x1ac
0xfffffff009621518: 426b0090  adrp	x2, #0xfffffff00a389000
0xfffffff00962151c: 42203491  add	x2, x2, #0xd08
0xfffffff009621520: 030a8052  mov	w3, #0x50
0xfffffff009621524: 8509b397  bl	#0xfffffff0082e3b38
0xfffffff009621528: 302fff90  adrp	x16, #0xfffffff007c05000
0xfffffff00962152c: 10223c91  add	x16, x16, #0xf08
0xfffffff009621530: 10420091  add	x16, x16, #0x10
0xfffffff009621534: f10300aa  mov	x17, x0
0xfffffff009621538: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00962153c: 300ac1da  pacda	x16, x17
0xfffffff009621540: 100000f9  str	x16, [x0]
0xfffffff009621544: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009621548: ff0f5fd6  retab	
0xfffffff00962154c: 5f2403d5  bti	c
0xfffffff009621550: 406b0090  adrp	x0, #0xfffffff00a389000
0xfffffff009621554: 00c03491  add	x0, x0, #0xd30
0xfffffff009621558: 670cb317  b	#0xfffffff0082e46f4
0xfffffff00962155c: 7f2303d5  pacibsp	
0xfffffff009621560: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009621564: fd030091  mov	x29, sp
0xfffffff009621568: 41fafeb0  adrp	x1, #0xfffffff00756a000
0xfffffff00962156c: 21140991  add	x1, x1, #0x245
0xfffffff009621570: e22effd0  adrp	x2, #0xfffffff007bff000
0xfffffff009621574: 422846f9  ldr	x2, [x2, #0xc50]
0xfffffff009621578: 034a8052  mov	w3, #0x250
0xfffffff00962157c: 6f09b397  bl	#0xfffffff0082e3b38
0xfffffff009621580: 302fffb0  adrp	x16, #0xfffffff007c06000
0xfffffff009621584: 10a21991  add	x16, x16, #0x668
0xfffffff009621588: 10420091  add	x16, x16, #0x10
0xfffffff00962158c: f10300aa  mov	x17, x0
0xfffffff009621590: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009621594: 300ac1da  pacda	x16, x17
0xfffffff009621598: 100000f9  str	x16, [x0]
0xfffffff00962159c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0096215a0: ff0f5fd6  retab	
0xfffffff0096215a4: 5f2403d5  bti	c
0xfffffff0096215a8: 530cb317  b	#0xfffffff0082e46f4
0xfffffff0096215ac: 7f2303d5  pacibsp	
0xfffffff0096215b0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0096215b4: fd030091  mov	x29, sp
0xfffffff0096215b8: 35e70594  bl	#0xfffffff00979b28c
0xfffffff0096215bc: 08a00391  add	x8, x0, #0xe8
0xfffffff0096215c0: 302fff90  adrp	x16, #0xfffffff007c05000
0xfffffff0096215c4: 10823e91  add	x16, x16, #0xfa0
0xfffffff0096215c8: 10420091  add	x16, x16, #0x10
0xfffffff0096215cc: f10300aa  mov	x17, x0
