; Candidate 2813
; ADRP+ADD at VM 0xfffffff0086eb298 (fileoff 0x16e7298): page=0x1fea46000 add_imm=0xd90

0xfffffff0086eb218: 9500a072  movk	w21, #4, lsl #16
0xfffffff0086eb21c: 28008052  mov	w8, #1
0xfffffff0086eb220: 083800b9  str	w8, [x0, #0x38]
0xfffffff0086eb224: 09284529  ldp	w9, w10, [x0, #0x28]
0xfffffff0086eb228: 5f1d0071  cmp	w10, #7
0xfffffff0086eb22c: a8040054  b.hi	#0xfffffff0086eb2c0
0xfffffff0086eb230: 08008052  mov	w8, #0
0xfffffff0086eb234: 16008052  mov	w22, #0
0xfffffff0086eb238: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086eb23c: 8b008052  mov	w11, #4
0xfffffff0086eb240: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086eb244: d65e1853  lsl	w22, w22, #8
0xfffffff0086eb248: bf010ceb  cmp	x13, x12
0xfffffff0086eb24c: 02010054  b.hs	#0xfffffff0086eb26c
0xfffffff0086eb250: 08210011  add	w8, w8, #8
0xfffffff0086eb254: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086eb258: ae050091  add	x14, x13, #1
0xfffffff0086eb25c: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086eb260: ad014039  ldrb	w13, [x13]
0xfffffff0086eb264: d6020d2a  orr	w22, w22, w13
0xfffffff0086eb268: ed030eaa  mov	x13, x14
0xfffffff0086eb26c: 6b050071  subs	w11, w11, #1
0xfffffff0086eb270: a1feff54  b.ne	#0xfffffff0086eb244
0xfffffff0086eb274: 0b018052  mov	w11, #8
0xfffffff0086eb278: 77010a4b  sub	w23, w11, w10
0xfffffff0086eb27c: ea030a4b  neg	w10, w10
0xfffffff0086eb280: 2925ca1a  lsr	w9, w9, w10
0xfffffff0086eb284: 3821d71a  lsl	w24, w9, w23
0xfffffff0086eb288: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086eb28c: 3f01156a  tst	w9, w21
0xfffffff0086eb290: 00020054  b.eq	#0xfffffff0086eb2d0
0xfffffff0086eb294: f62300a9  stp	x22, x8, [sp]
0xfffffff0086eb298: 2052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086eb29c: 00403691  add	x0, x0, #0xd90
0xfffffff0086eb2a0: 8198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb2a4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086eb2a8: 4352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086eb2ac: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086eb2b0: 02008052  mov	w2, #0
0xfffffff0086eb2b4: 9f1ff197  bl	#0xfffffff008333130
0xfffffff0086eb2b8: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086eb2bc: 05000014  b	#0xfffffff0086eb2d0
0xfffffff0086eb2c0: 18008052  mov	w24, #0
0xfffffff0086eb2c4: 17018052  mov	w23, #8
0xfffffff0086eb2c8: e8030aaa  mov	x8, x10
0xfffffff0086eb2cc: f60309aa  mov	x22, x9
0xfffffff0086eb2d0: e903174b  neg	w9, w23
0xfffffff0086eb2d4: c926c91a  lsr	w9, w22, w9
0xfffffff0086eb2d8: 3801182a  orr	w24, w9, w24
0xfffffff0086eb2dc: c922d71a  lsl	w9, w22, w23
0xfffffff0086eb2e0: 0801174b  sub	w8, w8, w23
0xfffffff0086eb2e4: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086eb2e8: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086eb2ec: 3653ffb0  adrp	x22, #0xfffffff007150000
0xfffffff0086eb2f0: d68e2a91  add	x22, x22, #0xaa3
0xfffffff0086eb2f4: 3f01156a  tst	w9, w21
0xfffffff0086eb2f8: 80010054  b.eq	#0xfffffff0086eb328
0xfffffff0086eb2fc: f82301a9  stp	x24, x8, [sp, #0x10]
0xfffffff0086eb300: 08018052  mov	w8, #8
0xfffffff0086eb304: e85b00a9  stp	x8, x22, [sp]
0xfffffff0086eb308: 2052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086eb30c: 00403691  add	x0, x0, #0xd90
0xfffffff0086eb310: 8198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086eb314: 21dc41f9  ldr	x1, [x1, #0x3b8]
