; Candidate 1015
; ADRP+ADD at VM 0xfffffff00817d57c (fileoff 0x117957c): page=0x2033000 add_imm=0xed8

0xfffffff00817d4fc: 732640f9  ldr	x19, [x19, #0x48]
0xfffffff00817d500: 53ffffb5  cbnz	x19, #0xfffffff00817d4e8
0xfffffff00817d504: 81d038d5  mrs	x1, tpidr_el1
0xfffffff00817d508: 28423bd5  mrs	x8, daif
0xfffffff00817d50c: 48003837  tbnz	w8, #7, #0xfffffff00817d514
0xfffffff00817d510: df4703d5  msr	daifset, #7
0xfffffff00817d514: 29008052  mov	w9, #1
0xfffffff00817d518: 331d680a  bic	w19, w9, w8, lsr #7
0xfffffff00817d51c: 284841b9  ldr	w8, [x1, #0x148]
0xfffffff00817d520: 08050011  add	w8, w8, #1
0xfffffff00817d524: 284801b9  str	w8, [x1, #0x148]
0xfffffff00817d528: 880101f0  adrp	x8, #0xfffffff00a1b0000
0xfffffff00817d52c: 08613b91  add	x8, x8, #0xed8
0xfffffff00817d530: 097d5fc8  ldxr	x9, [x8]
0xfffffff00817d534: 891000b5  cbnz	x9, #0xfffffff00817d744
0xfffffff00817d538: 017de9c8  casa	x9, x1, [x8]
0xfffffff00817d53c: 3f0100f1  cmp	x9, #0
0xfffffff00817d540: 41100054  b.ne	#0xfffffff00817d748
0xfffffff00817d544: e80401b0  adrp	x8, #0xfffffff00a21a000
0xfffffff00817d548: 1f810bb9  str	wzr, [x8, #0xb80]
0xfffffff00817d54c: 880101f0  adrp	x8, #0xfffffff00a1b0000
0xfffffff00817d550: 08713a91  add	x8, x8, #0xe9c
0xfffffff00817d554: 1f2100b9  str	wzr, [x8, #0x20]
0xfffffff00817d558: 090140b9  ldr	w9, [x8]
0xfffffff00817d55c: 29791f12  and	w9, w9, #0xfffffffe
0xfffffff00817d560: 090100b9  str	w9, [x8]
0xfffffff00817d564: 08bcfff0  adrp	x8, #0xfffffff007900000
0xfffffff00817d568: 080945f9  ldr	x8, [x8, #0xa10]
0xfffffff00817d56c: 880000b4  cbz	x8, #0xfffffff00817d57c
0xfffffff00817d570: 08bcfff0  adrp	x8, #0xfffffff007900000
0xfffffff00817d574: 080d45f9  ldr	x8, [x8, #0xa18]
0xfffffff00817d578: 1f0101b9  str	wzr, [x8, #0x100]
0xfffffff00817d57c: 800101f0  adrp	x0, #0xfffffff00a1b0000
0xfffffff00817d580: 00603b91  add	x0, x0, #0xed8
0xfffffff00817d584: 80c9f097  bl	#0xfffffff007dafb84
0xfffffff00817d588: e00313aa  mov	x0, x19
0xfffffff00817d58c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00817d590: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00817d594: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00817d598: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff00817d59c: ff2303d5  autibsp	
0xfffffff00817d5a0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00817d5a4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00817d5ac
0xfffffff00817d5a8: 208e38d4  brk	#0xc471
0xfffffff00817d5ac: 2b40f517  b	#0xfffffff007ecd658
0xfffffff00817d5b0: df3f03d5  isb	
0xfffffff00817d5b4: 48e03bd5  mrs	x8, cntvct_el0
0xfffffff00817d5b8: 890101f0  adrp	x9, #0xfffffff00a1b0000
0xfffffff00817d5bc: 286507f9  str	x8, [x9, #0xec8]
0xfffffff00817d5c0: e90401b0  adrp	x9, #0xfffffff00a21a000
0xfffffff00817d5c4: 28814bb9  ldr	w8, [x9, #0xb80]
0xfffffff00817d5c8: 0801142a  orr	w8, w8, w20
0xfffffff00817d5cc: 28810bb9  str	w8, [x9, #0xb80]
0xfffffff00817d5d0: c8030034  cbz	w8, #0xfffffff00817d648
0xfffffff00817d5d4: 890101f0  adrp	x9, #0xfffffff00a1b0000
0xfffffff00817d5d8: 2ab94eb9  ldr	w10, [x9, #0xeb8]
0xfffffff00817d5dc: 4b008052  mov	w11, #2
0xfffffff00817d5e0: 6c008052  mov	w12, #3
0xfffffff00817d5e4: 5f010b72  tst	w10, #0x200000
0xfffffff00817d5e8: 8d008052  mov	w13, #4
0xfffffff00817d5ec: ad159f1a  csinc	w13, w13, wzr, ne
0xfffffff00817d5f0: 5f010c72  tst	w10, #0x100000
0xfffffff00817d5f4: 8c118d1a  csel	w12, w12, w13, ne
0xfffffff00817d5f8: 5f010a72  tst	w10, #0x400000
