; Candidate 14302
; ADRP+ADD at VM 0xfffffff0097605ac (fileoff 0x275c5ac): page=0xc2b000 add_imm=0xea8

0xfffffff00976052c: 09410091  add	x9, x8, #0x10
0xfffffff009760530: 90000090  adrp	x16, #0xfffffff009770000
0xfffffff009760534: 10c23d91  add	x16, x16, #0xf70
0xfffffff009760538: 3001c1da  pacia	x16, x9
0xfffffff00976053c: f01f00f9  str	x16, [sp, #0x38]
0xfffffff009760540: 08610091  add	x8, x8, #0x18
0xfffffff009760544: d026ff90  adrp	x16, #0xfffffff007c38000
0xfffffff009760548: 10420791  add	x16, x16, #0x1d0
0xfffffff00976054c: f10308aa  mov	x17, x8
0xfffffff009760550: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff009760554: 300ac1da  pacda	x16, x17
0xfffffff009760558: f04f04a9  stp	x16, x19, [sp, #0x40]
0xfffffff00976055c: e1a30091  add	x1, sp, #0x28
0xfffffff009760560: e00313aa  mov	x0, x19
0xfffffff009760564: 6225fd97  bl	#0xfffffff0096a9aec
0xfffffff009760568: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00976056c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff009760570: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff009760574: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff009760578: ff430291  add	sp, sp, #0x90
0xfffffff00976057c: ff0f5fd6  retab	
0xfffffff009760580: 7f2303d5  pacibsp	
0xfffffff009760584: ff4302d1  sub	sp, sp, #0x90
0xfffffff009760588: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff00976058c: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff009760590: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff009760594: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff009760598: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00976059c: fd030291  add	x29, sp, #0x80
0xfffffff0097605a0: f30302aa  mov	x19, x2
0xfffffff0097605a4: f40301aa  mov	x20, x1
0xfffffff0097605a8: f50300aa  mov	x21, x0
0xfffffff0097605ac: 406100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff0097605b0: 00a03a91  add	x0, x0, #0xea8
0xfffffff0097605b4: e910ae97  bl	#0xfffffff0082e4958
0xfffffff0097605b8: e00315aa  mov	x0, x21
0xfffffff0097605bc: 2821fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097605c0: c00100b5  cbnz	x0, #0xfffffff0097605f8
0xfffffff0097605c4: b00240f9  ldr	x16, [x21]
0xfffffff0097605c8: f10315aa  mov	x17, x21
0xfffffff0097605cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097605d0: 301ac1da  autda	x16, x17
0xfffffff0097605d4: 113d80d2  mov	x17, #0x1e8
0xfffffff0097605d8: 1002118b  add	x16, x16, x17
0xfffffff0097605dc: 080240f9  ldr	x8, [x16]
0xfffffff0097605e0: e90310aa  mov	x9, x16
0xfffffff0097605e4: e00315aa  mov	x0, x21
0xfffffff0097605e8: 010080d2  mov	x1, #0
0xfffffff0097605ec: f10309aa  mov	x17, x9
0xfffffff0097605f0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097605f4: 11093fd7  blraa	x8, x17
0xfffffff0097605f8: e00315aa  mov	x0, x21
0xfffffff0097605fc: 1821fd97  bl	#0xfffffff0096a8a5c
0xfffffff009760600: e00315aa  mov	x0, x21
0xfffffff009760604: 1621fd97  bl	#0xfffffff0096a8a5c
0xfffffff009760608: c00100b5  cbnz	x0, #0xfffffff009760640
0xfffffff00976060c: b00240f9  ldr	x16, [x21]
0xfffffff009760610: f10315aa  mov	x17, x21
0xfffffff009760614: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009760618: 301ac1da  autda	x16, x17
0xfffffff00976061c: 114380d2  mov	x17, #0x218
0xfffffff009760620: 1002118b  add	x16, x16, x17
0xfffffff009760624: 080240f9  ldr	x8, [x16]
0xfffffff009760628: e90310aa  mov	x9, x16
