; Candidate 522
; ADRP+ADD at VM 0xfffffff007f52988 (fileoff 0xf4e988): page=0x22eb000 add_imm=0xe90

0xfffffff007f52908: 081e8152  mov	w8, #0x8f0
0xfffffff007f5290c: a987ff90  adrp	x9, #0xfffffff007046000
0xfffffff007f52910: 29d92791  add	x9, x9, #0x9f6
0xfffffff007f52914: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007f52918: f80300a9  stp	x24, x0, [sp]
0xfffffff007f5291c: a087ff90  adrp	x0, #0xfffffff007046000
0xfffffff007f52920: 00e42a91  add	x0, x0, #0xab9
0xfffffff007f52924: fa061594  bl	#0xfffffff00849450c
0xfffffff007f52928: 7f2303d5  pacibsp	
0xfffffff007f5292c: ff8301d1  sub	sp, sp, #0x60
0xfffffff007f52930: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff007f52934: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff007f52938: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff007f5293c: fd430191  add	x29, sp, #0x50
0xfffffff007f52940: f40300aa  mov	x20, x0
0xfffffff007f52944: ff7f02a9  stp	xzr, xzr, [sp, #0x20]
0xfffffff007f52948: e2a30091  add	x2, sp, #0x28
0xfffffff007f5294c: e4830091  add	x4, sp, #0x20
0xfffffff007f52950: 03008052  mov	w3, #0
0xfffffff007f52954: d5f7ff97  bl	#0xfffffff007f508a8
0xfffffff007f52958: 80010034  cbz	w0, #0xfffffff007f52988
0xfffffff007f5295c: f31740f9  ldr	x19, [sp, #0x28]
0xfffffff007f52960: 881501b0  adrp	x8, #0xfffffff00a203000
0xfffffff007f52964: 03a945f9  ldr	x3, [x8, #0xb50]
0xfffffff007f52968: 6188ffd0  adrp	x1, #0xfffffff007060000
0xfffffff007f5296c: 21900191  add	x1, x1, #0x64
0xfffffff007f52970: e00314aa  mov	x0, x20
0xfffffff007f52974: 02008052  mov	w2, #0
0xfffffff007f52978: f88dff97  bl	#0xfffffff007f36158
0xfffffff007f5297c: f40300aa  mov	x20, x0
0xfffffff007f52980: 130600b5  cbnz	x19, #0xfffffff007f52a40
0xfffffff007f52984: 34000014  b	#0xfffffff007f52a54
0xfffffff007f52988: 401701f0  adrp	x0, #0xfffffff00a23d000
0xfffffff007f5298c: 00403a91  add	x0, x0, #0xe90
0xfffffff007f52990: 5e6cf997  bl	#0xfffffff007dadb08
0xfffffff007f52994: f31740f9  ldr	x19, [sp, #0x28]
0xfffffff007f52998: 600a40b9  ldr	w0, [x19, #8]
0xfffffff007f5299c: 01048052  mov	w1, #0x20
0xfffffff007f529a0: a2959752  mov	w2, #0xbcad
0xfffffff007f529a4: 93f8ff97  bl	#0xfffffff007f50bf0
0xfffffff007f529a8: 000300b4  cbz	x0, #0xfffffff007f52a08
0xfffffff007f529ac: e80300aa  mov	x8, x0
0xfffffff007f529b0: f00300aa  mov	x16, x0
0xfffffff007f529b4: f033c1da  autiza	x16
0xfffffff007f529b8: f10310aa  mov	x17, x16
0xfffffff007f529bc: f143c1da  xpaci	x17
0xfffffff007f529c0: 1f0211eb  cmp	x16, x17
0xfffffff007f529c4: 40000054  b.eq	#0xfffffff007f529cc
0xfffffff007f529c8: 008e38d4  brk	#0xc470
0xfffffff007f529cc: b19597d2  mov	x17, #0xbcad
0xfffffff007f529d0: 3002c1da  pacia	x16, x17
0xfffffff007f529d4: b00100b4  cbz	x16, #0xfffffff007f52a08
0xfffffff007f529d8: 891501b0  adrp	x9, #0xfffffff00a203000
0xfffffff007f529dc: 21a945f9  ldr	x1, [x9, #0xb50]
0xfffffff007f529e0: e00314aa  mov	x0, x20
0xfffffff007f529e4: e20313aa  mov	x2, x19
0xfffffff007f529e8: 1f093fd6  blraaz	x8
0xfffffff007f529ec: 551701f0  adrp	x21, #0xfffffff00a23d000
0xfffffff007f529f0: b5423a91  add	x21, x21, #0xe90
0xfffffff007f529f4: e00315aa  mov	x0, x21
0xfffffff007f529f8: 0c6ff997  bl	#0xfffffff007dae628
0xfffffff007f529fc: 1f040071  cmp	w0, #1
0xfffffff007f52a00: 00010054  b.eq	#0xfffffff007f52a20
0xfffffff007f52a04: 1a000014  b	#0xfffffff007f52a6c
