; Candidate 6600
; ADRP+ADD at VM 0xfffffff008835048 (fileoff 0x1831048): page=0x1fe9b4000 add_imm=0xe80

0xfffffff008834fc8: 680240f9  ldr	x8, [x19]
0xfffffff008834fcc: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff008834fd0: 6a0a40b9  ldr	w10, [x19, #8]
0xfffffff008834fd4: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008834fd8: f32b03a9  stp	x19, x10, [sp, #0x30]
0xfffffff008834fdc: 684ffff0  adrp	x8, #0xfffffff007223000
0xfffffff008834fe0: 08c50091  add	x8, x8, #0x31
0xfffffff008834fe4: e93f8052  mov	w9, #0x1ff
0xfffffff008834fe8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008834fec: 684ffff0  adrp	x8, #0xfffffff007223000
0xfffffff008834ff0: 08c90491  add	x8, x8, #0x132
0xfffffff008834ff4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008834ff8: 280f8052  mov	w8, #0x79
0xfffffff008834ffc: 604fffd0  adrp	x0, #0xfffffff007222000
0xfffffff008835000: 00f43f91  add	x0, x0, #0xffd
0xfffffff008835004: f72300a9  stp	x23, x8, [sp]
0xfffffff008835008: 1609d697  bl	#0xfffffff007db7460
0xfffffff00883500c: 52000014  b	#0xfffffff008835154
0xfffffff008835010: 67fc0194  bl	#0xfffffff0088b41ac
0xfffffff008835014: f70300aa  mov	x23, x0
0xfffffff008835018: e0008052  mov	w0, #7
0xfffffff00883501c: 0d1a0194  bl	#0xfffffff00887b850
0xfffffff008835020: e80316aa  mov	x8, x22
0xfffffff008835024: e90315aa  mov	x9, x21
0xfffffff008835028: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff00883502c: e80314aa  mov	x8, x20
0xfffffff008835030: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff008835034: 684fffd0  adrp	x8, #0xfffffff007223000
0xfffffff008835038: 08c90491  add	x8, x8, #0x132
0xfffffff00883503c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008835040: 280f8052  mov	w8, #0x79
0xfffffff008835044: f72300a9  stp	x23, x8, [sp]
0xfffffff008835048: a04dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00883504c: 00003a91  add	x0, x0, #0xe80
0xfffffff008835050: 818efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008835054: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008835058: c350ff90  adrp	x3, #0xfffffff00724d000
0xfffffff00883505c: 63283891  add	x3, x3, #0xe0a
0xfffffff008835060: 02008052  mov	w2, #0
0xfffffff008835064: 33f8eb97  bl	#0xfffffff008333130
0xfffffff008835068: 73f5ffb5  cbnz	x19, #0xfffffff008834f14
0xfffffff00883506c: 200f8052  mov	w0, #0x79
0xfffffff008835070: 81008052  mov	w1, #4
0xfffffff008835074: d7190194  bl	#0xfffffff00887b7d0
0xfffffff008835078: 600a0034  cbz	w0, #0xfffffff0088351c4
0xfffffff00883507c: 200f8052  mov	w0, #0x79
0xfffffff008835080: e6190194  bl	#0xfffffff00887b818
0xfffffff008835084: f80300aa  mov	x24, x0
0xfffffff008835088: 49fc0194  bl	#0xfffffff0088b41ac
0xfffffff00883508c: f70300aa  mov	x23, x0
0xfffffff008835090: 80008052  mov	w0, #4
0xfffffff008835094: ef190194  bl	#0xfffffff00887b850
0xfffffff008835098: 38060034  cbz	w24, #0xfffffff00883515c
0xfffffff00883509c: e80316aa  mov	x8, x22
0xfffffff0088350a0: e90315aa  mov	x9, x21
0xfffffff0088350a4: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088350a8: e80314aa  mov	x8, x20
0xfffffff0088350ac: ff2303a9  stp	xzr, x8, [sp, #0x30]
0xfffffff0088350b0: 684fffb0  adrp	x8, #0xfffffff007222000
0xfffffff0088350b4: 08313d91  add	x8, x8, #0xf4c
0xfffffff0088350b8: 693f8052  mov	w9, #0x1fb
0xfffffff0088350bc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088350c0: 684fffd0  adrp	x8, #0xfffffff007223000
0xfffffff0088350c4: 08c90491  add	x8, x8, #0x132
