; Candidate 2748
; ADRP+ADD at VM 0xfffffff0086e65f8 (fileoff 0x16e25f8): page=0x1fea4b000 add_imm=0xd90

0xfffffff0086e6578: 82008052  mov	w2, #4
0xfffffff0086e657c: f9130094  bl	#0xfffffff0086eb560
0xfffffff0086e6580: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e6584: 02000014  b	#0xfffffff0086e658c
0xfffffff0086e6588: 00008052  mov	w0, #0
0xfffffff0086e658c: 080340f9  ldr	x8, [x24]
0xfffffff0086e6590: 00b10039  strb	w0, [x8, #0x2c]
0xfffffff0086e6594: 080240b9  ldr	w8, [x16]
0xfffffff0086e6598: 68000034  cbz	w8, #0xfffffff0086e65a4
0xfffffff0086e659c: 350240b9  ldr	w21, [x17]
0xfffffff0086e65a0: 20000014  b	#0xfffffff0086e6620
0xfffffff0086e65a4: 15008052  mov	w21, #0
0xfffffff0086e65a8: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e65ac: 89008052  mov	w9, #4
0xfffffff0086e65b0: 6b2a41a9  ldp	x11, x10, [x19, #0x10]
0xfffffff0086e65b4: b55e1853  lsl	w21, w21, #8
0xfffffff0086e65b8: 7f010aeb  cmp	x11, x10
0xfffffff0086e65bc: 02010054  b.hs	#0xfffffff0086e65dc
0xfffffff0086e65c0: 08210011  add	w8, w8, #8
0xfffffff0086e65c4: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e65c8: 6c050091  add	x12, x11, #1
0xfffffff0086e65cc: 6c0a00f9  str	x12, [x19, #0x10]
0xfffffff0086e65d0: 6b014039  ldrb	w11, [x11]
0xfffffff0086e65d4: b5020b2a  orr	w21, w21, w11
0xfffffff0086e65d8: eb030caa  mov	x11, x12
0xfffffff0086e65dc: 29050071  subs	w9, w9, #1
0xfffffff0086e65e0: a1feff54  b.ne	#0xfffffff0086e65b4
0xfffffff0086e65e4: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e65e8: 290140b9  ldr	w9, [x9]
0xfffffff0086e65ec: 3f011a6a  tst	w9, w26
0xfffffff0086e65f0: 80010054  b.eq	#0xfffffff0086e6620
0xfffffff0086e65f4: f52300a9  stp	x21, x8, [sp]
0xfffffff0086e65f8: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e65fc: 00403691  add	x0, x0, #0xd90
0xfffffff0086e6600: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e6604: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e6608: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e660c: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e6610: 02008052  mov	w2, #0
0xfffffff0086e6614: c732f197  bl	#0xfffffff008333130
0xfffffff0086e6618: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e661c: 080240b9  ldr	w8, [x16]
0xfffffff0086e6620: b67e1f53  lsr	w22, w21, #0x1f
0xfffffff0086e6624: a97a1f53  lsl	w9, w21, #1
0xfffffff0086e6628: 290200b9  str	w9, [x17]
0xfffffff0086e662c: 08050051  sub	w8, w8, #1
0xfffffff0086e6630: 080200b9  str	w8, [x16]
0xfffffff0086e6634: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e6638: 290140b9  ldr	w9, [x9]
0xfffffff0086e663c: 3f011a6a  tst	w9, w26
0xfffffff0086e6640: a0010054  b.eq	#0xfffffff0086e6674
0xfffffff0086e6644: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086e6648: 28008052  mov	w8, #1
0xfffffff0086e664c: e85300a9  stp	x8, x20, [sp]
0xfffffff0086e6650: 4052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e6654: 00403691  add	x0, x0, #0xd90
0xfffffff0086e6658: a198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e665c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e6660: 6352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e6664: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e6668: 02008052  mov	w2, #0
0xfffffff0086e666c: b132f197  bl	#0xfffffff008333130
0xfffffff0086e6670: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e6674: 36010034  cbz	w22, #0xfffffff0086e6698
