; Candidate 10268
; ADRP+ADD at VM 0xfffffff008ccc364 (fileoff 0x1cc8364): page=0x1fe698000 add_imm=0xe09

0xfffffff008ccc2e4: 098240f9  ldr	x9, [x16, #0x100]
0xfffffff008ccc2e8: c134ff90  adrp	x1, #0xfffffff007364000
0xfffffff008ccc2ec: 21e43791  add	x1, x1, #0xdf9
0xfffffff008ccc2f0: e00314aa  mov	x0, x20
0xfffffff008ccc2f4: f10308aa  mov	x17, x8
0xfffffff008ccc2f8: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff008ccc2fc: 31093fd7  blraa	x9, x17
0xfffffff008ccc300: e00314aa  mov	x0, x20
0xfffffff008ccc304: e10315aa  mov	x1, x21
0xfffffff008ccc308: 7b5ed897  bl	#0xfffffff0082e3cf4
0xfffffff008ccc30c: e20300aa  mov	x2, x0
0xfffffff008ccc310: 700240f9  ldr	x16, [x19]
0xfffffff008ccc314: f10313aa  mov	x17, x19
0xfffffff008ccc318: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ccc31c: 301ac1da  autda	x16, x17
0xfffffff008ccc320: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff008ccc324: e90310aa  mov	x9, x16
0xfffffff008ccc328: c134ff90  adrp	x1, #0xfffffff007364000
0xfffffff008ccc32c: 21f02c91  add	x1, x1, #0xb3c
0xfffffff008ccc330: e00313aa  mov	x0, x19
0xfffffff008ccc334: f10309aa  mov	x17, x9
0xfffffff008ccc338: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff008ccc33c: 11093fd7  blraa	x8, x17
0xfffffff008ccc340: 68a641b9  ldr	w8, [x19, #0x1a4]
0xfffffff008ccc344: 1f090071  cmp	w8, #2
0xfffffff008ccc348: 43010054  b.lo	#0xfffffff008ccc370
0xfffffff008ccc34c: c0b000d0  adrp	x0, #0xfffffff00a2e6000
0xfffffff008ccc350: 00e03291  add	x0, x0, #0xcb8
0xfffffff008ccc354: 8161d897  bl	#0xfffffff0082e4958
0xfffffff008ccc358: c834ff90  adrp	x8, #0xfffffff007364000
0xfffffff008ccc35c: 08013991  add	x8, x8, #0xe40
0xfffffff008ccc360: e02300a9  stp	x0, x8, [sp]
0xfffffff008ccc364: c034ff90  adrp	x0, #0xfffffff007364000
0xfffffff008ccc368: 00243891  add	x0, x0, #0xe09
0xfffffff008ccc36c: 2d2bda97  bl	#0xfffffff008357020
0xfffffff008ccc370: 00008052  mov	w0, #0
0xfffffff008ccc374: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008ccc378: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008ccc37c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008ccc380: ff030191  add	sp, sp, #0x40
0xfffffff008ccc384: ff0f5fd6  retab	
0xfffffff008ccc388: 80578052  mov	w0, #0x2bc
0xfffffff008ccc38c: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008ccc390: f9ffff17  b	#0xfffffff008ccc374
0xfffffff008ccc394: 7f2303d5  pacibsp	
0xfffffff008ccc398: ffc302d1  sub	sp, sp, #0xb0
0xfffffff008ccc39c: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff008ccc3a0: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff008ccc3a4: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff008ccc3a8: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff008ccc3ac: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff008ccc3b0: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff008ccc3b4: fd830291  add	x29, sp, #0xa0
0xfffffff008ccc3b8: f70300aa  mov	x23, x0
0xfffffff008ccc3bc: 686fffd0  adrp	x8, #0xfffffff007aba000
0xfffffff008ccc3c0: 08b140f9  ldr	x8, [x8, #0x160]
0xfffffff008ccc3c4: 080140f9  ldr	x8, [x8]
0xfffffff008ccc3c8: e82700f9  str	x8, [sp, #0x48]
0xfffffff008ccc3cc: ffff03a9  stp	xzr, xzr, [sp, #0x38]
0xfffffff008ccc3d0: c034ff90  adrp	x0, #0xfffffff007364000
0xfffffff008ccc3d4: 003c2e91  add	x0, x0, #0xb8f
0xfffffff008ccc3d8: 026bd997  bl	#0xfffffff008326fe0
0xfffffff008ccc3dc: e01700f9  str	x0, [sp, #0x28]
0xfffffff008ccc3e0: c034ff90  adrp	x0, #0xfffffff007364000
