; Candidate 7233
; ADRP+ADD at VM 0xfffffff008861940 (fileoff 0x185d940): page=0x1fe988000 add_imm=0xe80

0xfffffff0088618c0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088618c4: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff0088618c8: 08811191  add	x8, x8, #0x460
0xfffffff0088618cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088618d0: 680c8052  mov	w8, #0x63
0xfffffff0088618d4: 204efff0  adrp	x0, #0xfffffff007228000
0xfffffff0088618d8: 005c1691  add	x0, x0, #0x597
0xfffffff0088618dc: f42300a9  stp	x20, x8, [sp]
0xfffffff0088618e0: 4cfcff17  b	#0xfffffff008860a10
0xfffffff0088618e4: 324a0194  bl	#0xfffffff0088b41ac
0xfffffff0088618e8: f60300aa  mov	x22, x0
0xfffffff0088618ec: 80008052  mov	w0, #4
0xfffffff0088618f0: d8670094  bl	#0xfffffff00887b850
0xfffffff0088618f4: 683a40f9  ldr	x8, [x19, #0x70]
0xfffffff0088618f8: e9031caa  mov	x9, x28
0xfffffff0088618fc: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff008861900: e9031aaa  mov	x9, x26
0xfffffff008861904: f3a703a9  stp	x19, x9, [sp, #0x38]
0xfffffff008861908: 684dfff0  adrp	x8, #0xfffffff007210000
0xfffffff00886190c: 0ab92791  add	x10, x8, #0x9ee
0xfffffff008861910: 28198052  mov	w8, #0xc9
0xfffffff008861914: 894dff90  adrp	x9, #0xfffffff007211000
0xfffffff008861918: 29892c91  add	x9, x9, #0xb22
0xfffffff00886191c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008861920: 284effd0  adrp	x8, #0xfffffff007227000
0xfffffff008861924: 08811191  add	x8, x8, #0x460
0xfffffff008861928: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886192c: 680c8052  mov	w8, #0x63
0xfffffff008861930: a34fffb0  adrp	x3, #0xfffffff007256000
0xfffffff008861934: 63540091  add	x3, x3, #0x15
0xfffffff008861938: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886193c: f60300f9  str	x22, [sp]
0xfffffff008861940: 404cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008861944: 00003a91  add	x0, x0, #0xe80
0xfffffff008861948: 218dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00886194c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008861950: 02008052  mov	w2, #0
0xfffffff008861954: f745eb97  bl	#0xfffffff008333130
0xfffffff008861958: 50fcff17  b	#0xfffffff008860a98
0xfffffff00886195c: 608dff90  adrp	x0, #0xfffffff007a0d000
0xfffffff008861960: 00602291  add	x0, x0, #0x898
0xfffffff008861964: e4d2eb97  bl	#0xfffffff0083564f4
0xfffffff008861968: 113aff97  bl	#0xfffffff0088301ac
0xfffffff00886196c: 604200f9  str	x0, [x19, #0x80]
0xfffffff008861970: a00800b4  cbz	x0, #0xfffffff008861a84
0xfffffff008861974: 643640f9  ldr	x4, [x19, #0x68]
0xfffffff008861978: a18b78a9  ldp	x1, x2, [x29, #-0x78]
0xfffffff00886197c: e3031aaa  mov	x3, x26
0xfffffff008861980: af3aff97  bl	#0xfffffff00883043c
0xfffffff008861984: 800b0034  cbz	w0, #0xfffffff008861af4
0xfffffff008861988: fc0300aa  mov	x28, x0
0xfffffff00886198c: 600c8052  mov	w0, #0x63
0xfffffff008861990: 81008052  mov	w1, #4
0xfffffff008861994: 8f670094  bl	#0xfffffff00887b7d0
0xfffffff008861998: 80c3ff34  cbz	w0, #0xfffffff008861208
0xfffffff00886199c: 600c8052  mov	w0, #0x63
0xfffffff0088619a0: 9e670094  bl	#0xfffffff00887b818
0xfffffff0088619a4: f60300aa  mov	x22, x0
0xfffffff0088619a8: 014a0194  bl	#0xfffffff0088b41ac
0xfffffff0088619ac: f40300aa  mov	x20, x0
0xfffffff0088619b0: 80008052  mov	w0, #4
0xfffffff0088619b4: a7670094  bl	#0xfffffff00887b850
0xfffffff0088619b8: 560e0034  cbz	w22, #0xfffffff008861b80
0xfffffff0088619bc: 684240f9  ldr	x8, [x19, #0x80]
