; Candidate 5551
; ADRP+ADD at VM 0xfffffff0087f7c3c (fileoff 0x17f3c3c): page=0x1fe9f2000 add_imm=0xe80

0xfffffff0087f7bbc: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f7bc0: 804fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f7bc4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f7bc8: 8190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f7bcc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f7bd0: 02008052  mov	w2, #0
0xfffffff0087f7bd4: 57edec97  bl	#0xfffffff008333130
0xfffffff0087f7bd8: bff6ff17  b	#0xfffffff0087f56d4
0xfffffff0087f7bdc: 74f10294  bl	#0xfffffff0088b41ac
0xfffffff0087f7be0: f40300aa  mov	x20, x0
0xfffffff0087f7be4: 80008052  mov	w0, #4
0xfffffff0087f7be8: 1a0f0294  bl	#0xfffffff00887b850
0xfffffff0087f7bec: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff0087f7bf0: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f7bf4: f65f06a9  stp	x22, x23, [sp, #0x60]
0xfffffff0087f7bf8: e84340f9  ldr	x8, [sp, #0x80]
0xfffffff0087f7bfc: e82f00f9  str	x8, [sp, #0x58]
0xfffffff0087f7c00: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff0087f7c04: eaa304a9  stp	x10, x8, [sp, #0x48]
0xfffffff0087f7c08: e9e303a9  stp	x9, x24, [sp, #0x38]
0xfffffff0087f7c0c: e850fff0  adrp	x8, #0xfffffff007216000
0xfffffff0087f7c10: 08a52f91  add	x8, x8, #0xbe9
0xfffffff0087f7c14: c9a48052  mov	w9, #0x526
0xfffffff0087f7c18: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f7c1c: e850ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f7c20: 08213591  add	x8, x8, #0xd48
0xfffffff0087f7c24: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f7c28: e80e8052  mov	w8, #0x77
0xfffffff0087f7c2c: 4352ffd0  adrp	x3, #0xfffffff007241000
0xfffffff0087f7c30: 63741391  add	x3, x3, #0x4dd
0xfffffff0087f7c34: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f7c38: f40300f9  str	x20, [sp]
0xfffffff0087f7c3c: 804fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f7c40: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f7c44: 8190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f7c48: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f7c4c: 02008052  mov	w2, #0
0xfffffff0087f7c50: 38edec97  bl	#0xfffffff008333130
0xfffffff0087f7c54: a0f6ff17  b	#0xfffffff0087f56d4
0xfffffff0087f7c58: 7f2303d5  pacibsp	
0xfffffff0087f7c5c: ffc302d1  sub	sp, sp, #0xb0
0xfffffff0087f7c60: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff0087f7c64: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff0087f7c68: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff0087f7c6c: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff0087f7c70: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff0087f7c74: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff0087f7c78: fd830291  add	x29, sp, #0xa0
0xfffffff0087f7c7c: f50303aa  mov	x21, x3
0xfffffff0087f7c80: f60302aa  mov	x22, x2
0xfffffff0087f7c84: f70301aa  mov	x23, x1
0xfffffff0087f7c88: f30300aa  mov	x19, x0
0xfffffff0087f7c8c: 18a00091  add	x24, x0, #0x28
0xfffffff0087f7c90: e00318aa  mov	x0, x24
0xfffffff0087f7c94: e5e00094  bl	#0xfffffff008830028
0xfffffff0087f7c98: f40300aa  mov	x20, x0
0xfffffff0087f7c9c: e00318aa  mov	x0, x24
0xfffffff0087f7ca0: f7e00094  bl	#0xfffffff00883007c
0xfffffff0087f7ca4: 9f0200eb  cmp	x20, x0
0xfffffff0087f7ca8: c00f0054  b.eq	#0xfffffff0087f7ea0
0xfffffff0087f7cac: 1b0080d2  mov	x27, #0
0xfffffff0087f7cb0: 797d8012  mov	w25, #-0x3ec
0xfffffff0087f7cb4: fccc8c52  mov	w28, #0x6667
0xfffffff0087f7cb8: dcccac72  movk	w28, #0x6666, lsl #16
