; Candidate 14990
; ADRP+ADD at VM 0xfffffff009a1d5dc (fileoff 0x2a195dc): page=0x1fdbe6000 add_imm=0xd64

0xfffffff009a1d55c: 1fc90071  cmp	w8, #0x32
0xfffffff009a1d560: a0050054  b.eq	#0xfffffff009a1d614
0xfffffff009a1d564: f40300aa  mov	x20, x0
0xfffffff009a1d568: 08404239  ldrb	w8, [x0, #0x90]
0xfffffff009a1d56c: 08020036  tbz	w8, #0, #0xfffffff009a1d5ac
0xfffffff009a1d570: 19c19297  bl	#0xfffffff007ecd9d4
0xfffffff009a1d574: c0010035  cbnz	w0, #0xfffffff009a1d5ac
0xfffffff009a1d578: 683240b9  ldr	w8, [x19, #0x30]
0xfffffff009a1d57c: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff009a1d580: 0a3d0b53  ubfx	w10, w8, #0xb, #5
0xfffffff009a1d584: 08290853  ubfx	w8, w8, #8, #3
0xfffffff009a1d588: 6b5a4539  ldrb	w11, [x19, #0x156]
0xfffffff009a1d58c: 6c5e4539  ldrb	w12, [x19, #0x157]
0xfffffff009a1d590: 6d2a40b9  ldr	w13, [x19, #0x28]
0xfffffff009a1d594: eb3302a9  stp	x11, x12, [sp, #0x20]
0xfffffff009a1d598: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff009a1d59c: ed2700a9  stp	x13, x9, [sp]
0xfffffff009a1d5a0: 20dffed0  adrp	x0, #0xfffffff007603000
0xfffffff009a1d5a4: 00903591  add	x0, x0, #0xd64
0xfffffff009a1d5a8: 9ee6a497  bl	#0xfffffff008357020
0xfffffff009a1d5ac: 88424239  ldrb	w8, [x20, #0x90]
0xfffffff009a1d5b0: c8010836  tbz	w8, #1, #0xfffffff009a1d5e8
0xfffffff009a1d5b4: 683240b9  ldr	w8, [x19, #0x30]
0xfffffff009a1d5b8: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff009a1d5bc: 0a3d0b53  ubfx	w10, w8, #0xb, #5
0xfffffff009a1d5c0: 08290853  ubfx	w8, w8, #8, #3
0xfffffff009a1d5c4: 6b5a4539  ldrb	w11, [x19, #0x156]
0xfffffff009a1d5c8: 6c5e4539  ldrb	w12, [x19, #0x157]
0xfffffff009a1d5cc: 6d2a40b9  ldr	w13, [x19, #0x28]
0xfffffff009a1d5d0: eb3302a9  stp	x11, x12, [sp, #0x20]
0xfffffff009a1d5d4: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff009a1d5d8: ed2700a9  stp	x13, x9, [sp]
0xfffffff009a1d5dc: 20dffed0  adrp	x0, #0xfffffff007603000
0xfffffff009a1d5e0: 00903591  add	x0, x0, #0xd64
0xfffffff009a1d5e4: db47a997  bl	#0xfffffff00846f550
0xfffffff009a1d5e8: e00314aa  mov	x0, x20
0xfffffff009a1d5ec: e10313aa  mov	x1, x19
0xfffffff009a1d5f0: 02038052  mov	w2, #0x18
0xfffffff009a1d5f4: 030080d2  mov	x3, #0
0xfffffff009a1d5f8: e6e2ff97  bl	#0xfffffff009a16190
0xfffffff009a1d5fc: 031c0812  and	w3, w0, #0xff000000
0xfffffff009a1d600: e00314aa  mov	x0, x20
0xfffffff009a1d604: e10313aa  mov	x1, x19
0xfffffff009a1d608: 02038052  mov	w2, #0x18
0xfffffff009a1d60c: 040080d2  mov	x4, #0
0xfffffff009a1d610: 5aedff97  bl	#0xfffffff009a18b78
0xfffffff009a1d614: 20008052  mov	w0, #1
0xfffffff009a1d618: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009a1d61c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009a1d620: ff430191  add	sp, sp, #0x50
0xfffffff009a1d624: ff0f5fd6  retab	
0xfffffff009a1d628: 7f2303d5  pacibsp	
0xfffffff009a1d62c: ff4302d1  sub	sp, sp, #0x90
0xfffffff009a1d630: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff009a1d634: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff009a1d638: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff009a1d63c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff009a1d640: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff009a1d644: fd030291  add	x29, sp, #0x80
0xfffffff009a1d648: f40302aa  mov	x20, x2
0xfffffff009a1d64c: f30300aa  mov	x19, x0
0xfffffff009a1d650: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff009a1d654: 08051b12  and	w8, w8, #0x60
0xfffffff009a1d658: 1f810071  cmp	w8, #0x20
