; Candidate 12250
; ADRP+ADD at VM 0xfffffff00907d400 (fileoff 0x2079400): page=0x1fe3dc000 add_imm=0xd6a

0xfffffff00907d380: 290b0054  b.ls	#0xfffffff00907d4e4
0xfffffff00907d384: 68124039  ldrb	w8, [x19, #4]
0xfffffff00907d388: 1fb10071  cmp	w8, #0x2c
0xfffffff00907d38c: 81080054  b.ne	#0xfffffff00907d49c
0xfffffff00907d390: 882200d1  sub	x8, x20, #8
0xfffffff00907d394: 1fad00f1  cmp	x8, #0x2b
0xfffffff00907d398: 090c0054  b.ls	#0xfffffff00907d518
0xfffffff00907d39c: 690a40b9  ldr	w9, [x19, #8]
0xfffffff00907d3a0: 3fa50071  cmp	w9, #0x29
0xfffffff00907d3a4: c1070054  b.ne	#0xfffffff00907d49c
0xfffffff00907d3a8: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff00907d3ac: 2ab10091  add	x10, x9, #0x2c
0xfffffff00907d3b0: 1f010aeb  cmp	x8, x10
0xfffffff00907d3b4: 030d0054  b.lo	#0xfffffff00907d554
0xfffffff00907d3b8: a9020034  cbz	w9, #0xfffffff00907d40c
0xfffffff00907d3bc: 68d24039  ldrb	w8, [x19, #0x34]
0xfffffff00907d3c0: 68020034  cbz	w8, #0xfffffff00907d40c
0xfffffff00907d3c4: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff00907d3c8: 7056ff90  adrp	x16, #0xfffffff007b49000
0xfffffff00907d3cc: 10ae41f9  ldr	x16, [x16, #0x358]
0xfffffff00907d3d0: f1a09ad2  mov	x17, #0xd507
0xfffffff00907d3d4: 3002c1da  pacia	x16, x17
0xfffffff00907d3d8: e00310aa  mov	x0, x16
0xfffffff00907d3dc: e2a30091  add	x2, sp, #0x28
0xfffffff00907d3e0: 010080d2  mov	x1, #0
0xfffffff00907d3e4: f9b2b597  bl	#0xfffffff007de9fc8
0xfffffff00907d3e8: 80040034  cbz	w0, #0xfffffff00907d478
0xfffffff00907d3ec: e8024039  ldrb	w8, [x23]
0xfffffff00907d3f0: 1f190171  cmp	w8, #0x46
0xfffffff00907d3f4: 48050054  b.hi	#0xfffffff00907d49c
0xfffffff00907d3f8: f58300a9  stp	x21, x0, [sp, #8]
0xfffffff00907d3fc: f60300f9  str	x22, [sp]
0xfffffff00907d400: e01eff90  adrp	x0, #0xfffffff007459000
0xfffffff00907d404: 00a83591  add	x0, x0, #0xd6a
0xfffffff00907d408: 24000014  b	#0xfffffff00907d498
0xfffffff00907d40c: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff00907d410: 7056ff90  adrp	x16, #0xfffffff007b49000
0xfffffff00907d414: 10aa41f9  ldr	x16, [x16, #0x350]
0xfffffff00907d418: f1a09ad2  mov	x17, #0xd507
0xfffffff00907d41c: 3002c1da  pacia	x16, x17
0xfffffff00907d420: e00310aa  mov	x0, x16
0xfffffff00907d424: e2a30091  add	x2, sp, #0x28
0xfffffff00907d428: 010080d2  mov	x1, #0
0xfffffff00907d42c: e7b2b597  bl	#0xfffffff007de9fc8
0xfffffff00907d430: 20010034  cbz	w0, #0xfffffff00907d454
0xfffffff00907d434: e8024039  ldrb	w8, [x23]
0xfffffff00907d438: 1f190171  cmp	w8, #0x46
0xfffffff00907d43c: 08030054  b.hi	#0xfffffff00907d49c
0xfffffff00907d440: f58300a9  stp	x21, x0, [sp, #8]
0xfffffff00907d444: f60300f9  str	x22, [sp]
0xfffffff00907d448: e01eff90  adrp	x0, #0xfffffff007459000
0xfffffff00907d44c: 006c3791  add	x0, x0, #0xddb
0xfffffff00907d450: 12000014  b	#0xfffffff00907d498
0xfffffff00907d454: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff00907d458: 49a7b597  bl	#0xfffffff007de717c
0xfffffff00907d45c: e8024039  ldrb	w8, [x23]
0xfffffff00907d460: 1fa10071  cmp	w8, #0x28
0xfffffff00907d464: c8010054  b.hi	#0xfffffff00907d49c
0xfffffff00907d468: f65700a9  stp	x22, x21, [sp]
0xfffffff00907d46c: e01eff90  adrp	x0, #0xfffffff007459000
0xfffffff00907d470: 00c83691  add	x0, x0, #0xdb2
0xfffffff00907d474: 09000014  b	#0xfffffff00907d498
0xfffffff00907d478: e01740f9  ldr	x0, [sp, #0x28]
0xfffffff00907d47c: 40a7b597  bl	#0xfffffff007de717c
