; Candidate 8135
; ADRP+ADD at VM 0xfffffff008896e4c (fileoff 0x1892e4c): page=0x1ff177000 add_imm=0xe98

0xfffffff008896dcc: f8740094  bl	#0xfffffff0088b41ac
0xfffffff008896dd0: f90300aa  mov	x25, x0
0xfffffff008896dd4: e00314aa  mov	x0, x20
0xfffffff008896dd8: 9e92ff97  bl	#0xfffffff00887b850
0xfffffff008896ddc: f36303a9  stp	x19, x24, [sp, #0x30]
0xfffffff008896de0: 685b8052  mov	w8, #0x2db
0xfffffff008896de4: e85702a9  stp	x8, x21, [sp, #0x20]
0xfffffff008896de8: e05f01a9  stp	x0, x23, [sp, #0x10]
0xfffffff008896dec: f95b00a9  stp	x25, x22, [sp]
0xfffffff008896df0: 804afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008896df4: 00003a91  add	x0, x0, #0xe80
0xfffffff008896df8: 818bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008896dfc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008896e00: 02008052  mov	w2, #0
0xfffffff008896e04: 434effb0  adrp	x3, #0xfffffff00725f000
0xfffffff008896e08: 63043d91  add	x3, x3, #0xf41
0xfffffff008896e0c: c970ea97  bl	#0xfffffff008333130
0xfffffff008896e10: 0d000014  b	#0xfffffff008896e44
0xfffffff008896e14: f3e301a9  stp	x19, x24, [sp, #0x18]
0xfffffff008896e18: 685b8052  mov	w8, #0x2db
0xfffffff008896e1c: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff008896e20: f70300f9  str	x23, [sp]
0xfffffff008896e24: 804afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008896e28: 00003a91  add	x0, x0, #0xe80
0xfffffff008896e2c: 818bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008896e30: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008896e34: 02008052  mov	w2, #0
0xfffffff008896e38: 434effb0  adrp	x3, #0xfffffff00725f000
0xfffffff008896e3c: 63683c91  add	x3, x3, #0xf1a
0xfffffff008896e40: bc70ea97  bl	#0xfffffff008333130
0xfffffff008896e44: e00318aa  mov	x0, x24
0xfffffff008896e48: 9fc4ff97  bl	#0xfffffff0088880c4
0xfffffff008896e4c: a08bfff0  adrp	x0, #0xfffffff007a0d000
0xfffffff008896e50: 00603a91  add	x0, x0, #0xe98
0xfffffff008896e54: e10318aa  mov	x1, x24
0xfffffff008896e58: 2dfeea97  bl	#0xfffffff00835670c
0xfffffff008896e5c: 19008052  mov	w25, #0
0xfffffff008896e60: 5bffff17  b	#0xfffffff008896bcc
0xfffffff008896e64: 19008052  mov	w25, #0
0xfffffff008896e68: e0430191  add	x0, sp, #0x50
0xfffffff008896e6c: e10313aa  mov	x1, x19
0xfffffff008896e70: c463fe97  bl	#0xfffffff00882fd80
0xfffffff008896e74: e00319aa  mov	x0, x25
0xfffffff008896e78: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff008896e7c: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff008896e80: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff008896e84: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff008896e88: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff008896e8c: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff008896e90: ff030391  add	sp, sp, #0xc0
0xfffffff008896e94: ff0f5fd6  retab	
0xfffffff008896e98: 7f2303d5  pacibsp	
0xfffffff008896e9c: ff4302d1  sub	sp, sp, #0x90
0xfffffff008896ea0: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008896ea4: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008896ea8: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008896eac: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008896eb0: fd030291  add	x29, sp, #0x80
0xfffffff008896eb4: f40302aa  mov	x20, x2
0xfffffff008896eb8: f50301aa  mov	x21, x1
0xfffffff008896ebc: f30300aa  mov	x19, x0
0xfffffff008896ec0: 3f200071  cmp	w1, #8
0xfffffff008896ec4: 82010054  b.hs	#0xfffffff008896ef4
0xfffffff008896ec8: 600240f9  ldr	x0, [x19]
