; Candidate 778
; ADRP+ADD at VM 0xfffffff0080919e8 (fileoff 0x108d9e8): page=0x1fefeb000 add_imm=0xd6a

0xfffffff008091968: 5f00086b  cmp	w2, w8
0xfffffff00809196c: e0f4ff54  b.eq	#0xfffffff008091808
0xfffffff008091970: e00b01f0  adrp	x0, #0xfffffff00a210000
0xfffffff008091974: 00202791  add	x0, x0, #0x9c8
0xfffffff008091978: e10314aa  mov	x1, x20
0xfffffff00809197c: 7a6bf497  bl	#0xfffffff007dac764
0xfffffff008091980: a2ffff17  b	#0xfffffff008091808
0xfffffff008091984: c83a4079  ldrh	w8, [x22, #0x1c]
0xfffffff008091988: a9258252  mov	w9, #0x112d
0xfffffff00809198c: ca7fff90  adrp	x10, #0xfffffff007089000
0xfffffff008091990: 4af13b91  add	x10, x10, #0xefc
0xfffffff008091994: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff008091998: e85b00a9  stp	x8, x22, [sp]
0xfffffff00809199c: c07fff90  adrp	x0, #0xfffffff007089000
0xfffffff0080919a0: 00ac3f91  add	x0, x0, #0xfeb
0xfffffff0080919a4: da0a1094  bl	#0xfffffff00849450c
0xfffffff0080919a8: 48a58152  mov	w8, #0xd2a
0xfffffff0080919ac: 097fffb0  adrp	x9, #0xfffffff007072000
0xfffffff0080919b0: 299d1491  add	x9, x9, #0x527
0xfffffff0080919b4: 0a7fffb0  adrp	x10, #0xfffffff007072000
0xfffffff0080919b8: 4a0d1891  add	x10, x10, #0x603
0xfffffff0080919bc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080919c0: ea6f00a9  stp	x10, x27, [sp]
0xfffffff0080919c4: 09000014  b	#0xfffffff0080919e8
0xfffffff0080919c8: 88a78152  mov	w8, #0xd3c
0xfffffff0080919cc: 097fffb0  adrp	x9, #0xfffffff007072000
0xfffffff0080919d0: 299d1491  add	x9, x9, #0x527
0xfffffff0080919d4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080919d8: 087fffb0  adrp	x8, #0xfffffff007072000
0xfffffff0080919dc: 08611891  add	x8, x8, #0x618
0xfffffff0080919e0: a94302d1  sub	x9, x29, #0x90
0xfffffff0080919e4: e82700a9  stp	x8, x9, [sp]
0xfffffff0080919e8: 407ffff0  adrp	x0, #0xfffffff00707c000
0xfffffff0080919ec: 00a83591  add	x0, x0, #0xd6a
0xfffffff0080919f0: c70a1094  bl	#0xfffffff00849450c
0xfffffff0080919f4: 7f2303d5  pacibsp	
0xfffffff0080919f8: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0080919fc: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff008091a00: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff008091a04: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008091a08: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008091a0c: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008091a10: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008091a14: fd430291  add	x29, sp, #0x90
0xfffffff008091a18: f50300aa  mov	x21, x0
0xfffffff008091a1c: e8c30091  add	x8, sp, #0x30
0xfffffff008091a20: ff2303a9  stp	xzr, x8, [sp, #0x30]
0xfffffff008091a24: 730d01f0  adrp	x19, #0xfffffff00a240000
0xfffffff008091a28: 681e47b9  ldr	w8, [x19, #0x71c]
0xfffffff008091a2c: 690d01f0  adrp	x9, #0xfffffff00a240000
0xfffffff008091a30: 292547b9  ldr	w9, [x9, #0x724]
0xfffffff008091a34: 1f010071  cmp	w8, #0
0xfffffff008091a38: 2419407a  ccmp	w9, #0, #4, ne
0xfffffff008091a3c: 740d01f0  adrp	x20, #0xfffffff00a240000
0xfffffff008091a40: 41060054  b.ne	#0xfffffff008091b08
0xfffffff008091a44: a80b01f0  adrp	x8, #0xfffffff00a208000
0xfffffff008091a48: 08913791  add	x8, x8, #0xde4
0xfffffff008091a4c: 000140fd  ldr	d0, [x8]
0xfffffff008091a50: 2104000f  movi	v1.2s, #1
0xfffffff008091a54: 0084a10e  add	v0.2s, v0.2s, v1.2s
0xfffffff008091a58: 000100fd  str	d0, [x8]
0xfffffff008091a5c: b50000b4  cbz	x21, #0xfffffff008091a70
0xfffffff008091a60: e00315aa  mov	x0, x21
0xfffffff008091a64: 94240694  bl	#0xfffffff00821acb4
