; Candidate 4796
; ADRP+ADD at VM 0xfffffff0087c6b84 (fileoff 0x17c2b84): page=0x1fea47000 add_imm=0xd59

0xfffffff0087c6b04: 00703491  add	x0, x0, #0xd1c
0xfffffff0087c6b08: 56c2d797  bl	#0xfffffff007db7460
0xfffffff0087c6b0c: 0e000014  b	#0xfffffff0087c6b44
0xfffffff0087c6b10: a7b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6b14: f50300aa  mov	x21, x0
0xfffffff0087c6b18: e0008052  mov	w0, #7
0xfffffff0087c6b1c: 4dd30294  bl	#0xfffffff00887b850
0xfffffff0087c6b20: 68064139  ldrb	w8, [x19, #0x41]
0xfffffff0087c6b24: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6b28: f56f00a9  stp	x21, x27, [sp]
0xfffffff0087c6b2c: e00316aa  mov	x0, x22
0xfffffff0087c6b30: e10317aa  mov	x1, x23
0xfffffff0087c6b34: 02008052  mov	w2, #0
0xfffffff0087c6b38: 8353ffb0  adrp	x3, #0xfffffff007237000
0xfffffff0087c6b3c: 63d41991  add	x3, x3, #0x675
0xfffffff0087c6b40: 7cb1ed97  bl	#0xfffffff008333130
0xfffffff0087c6b44: a00f8052  mov	w0, #0x7d
0xfffffff0087c6b48: e1008052  mov	w1, #7
0xfffffff0087c6b4c: 21d30294  bl	#0xfffffff00887b7d0
0xfffffff0087c6b50: c0030034  cbz	w0, #0xfffffff0087c6bc8
0xfffffff0087c6b54: a00f8052  mov	w0, #0x7d
0xfffffff0087c6b58: 30d30294  bl	#0xfffffff00887b818
0xfffffff0087c6b5c: f80300aa  mov	x24, x0
0xfffffff0087c6b60: 93b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6b64: f50300aa  mov	x21, x0
0xfffffff0087c6b68: e0008052  mov	w0, #7
0xfffffff0087c6b6c: 39d30294  bl	#0xfffffff00887b850
0xfffffff0087c6b70: 93021a8b  add	x19, x20, x26
0xfffffff0087c6b74: 18010034  cbz	w24, #0xfffffff0087c6b94
0xfffffff0087c6b78: 680e4139  ldrb	w8, [x19, #0x43]
0xfffffff0087c6b7c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6b80: f56f00a9  stp	x21, x27, [sp]
0xfffffff0087c6b84: 2052fff0  adrp	x0, #0xfffffff00720d000
0xfffffff0087c6b88: 00643591  add	x0, x0, #0xd59
0xfffffff0087c6b8c: 35c2d797  bl	#0xfffffff007db7460
0xfffffff0087c6b90: 0e000014  b	#0xfffffff0087c6bc8
0xfffffff0087c6b94: 86b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6b98: f50300aa  mov	x21, x0
0xfffffff0087c6b9c: e0008052  mov	w0, #7
0xfffffff0087c6ba0: 2cd30294  bl	#0xfffffff00887b850
0xfffffff0087c6ba4: 680e4139  ldrb	w8, [x19, #0x43]
0xfffffff0087c6ba8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087c6bac: f56f00a9  stp	x21, x27, [sp]
0xfffffff0087c6bb0: e00316aa  mov	x0, x22
0xfffffff0087c6bb4: e10317aa  mov	x1, x23
0xfffffff0087c6bb8: 02008052  mov	w2, #0
0xfffffff0087c6bbc: 8353ffb0  adrp	x3, #0xfffffff007237000
0xfffffff0087c6bc0: 63c41a91  add	x3, x3, #0x6b1
0xfffffff0087c6bc4: 5bb1ed97  bl	#0xfffffff008333130
0xfffffff0087c6bc8: a00f8052  mov	w0, #0x7d
0xfffffff0087c6bcc: e1008052  mov	w1, #7
0xfffffff0087c6bd0: 00d30294  bl	#0xfffffff00887b7d0
0xfffffff0087c6bd4: c0030034  cbz	w0, #0xfffffff0087c6c4c
0xfffffff0087c6bd8: a00f8052  mov	w0, #0x7d
0xfffffff0087c6bdc: 0fd30294  bl	#0xfffffff00887b818
0xfffffff0087c6be0: f80300aa  mov	x24, x0
0xfffffff0087c6be4: 72b50394  bl	#0xfffffff0088b41ac
0xfffffff0087c6be8: f50300aa  mov	x21, x0
0xfffffff0087c6bec: e0008052  mov	w0, #7
0xfffffff0087c6bf0: 18d30294  bl	#0xfffffff00887b850
0xfffffff0087c6bf4: 93021a8b  add	x19, x20, x26
0xfffffff0087c6bf8: 18010034  cbz	w24, #0xfffffff0087c6c18
0xfffffff0087c6bfc: 680a8139  ldrsb	x8, [x19, #0x42]
0xfffffff0087c6c00: e02301a9  stp	x0, x8, [sp, #0x10]
