; Candidate 8136
; ADRP+ADD at VM 0xfffffff008896ffc (fileoff 0x1892ffc): page=0x1fe953000 add_imm=0xe80

0xfffffff008896f7c: 233efe97  bl	#0xfffffff008826808
0xfffffff008896f80: e10300aa  mov	x1, x0
0xfffffff008896f84: e00315aa  mov	x0, x21
0xfffffff008896f88: 62f24894  bl	#0xfffffff009ad3910
0xfffffff008896f8c: 2800a052  mov	w8, #0x10000
0xfffffff008896f90: 0821d69a  lsl	x8, x8, x22
0xfffffff008896f94: 690640f9  ldr	x9, [x19, #8]
0xfffffff008896f98: 2801288a  bic	x8, x9, x8
0xfffffff008896f9c: 680600f9  str	x8, [x19, #8]
0xfffffff008896fa0: 680e168b  add	x8, x19, x22, lsl #3
0xfffffff008896fa4: 141100f9  str	x20, [x8, #0x20]
0xfffffff008896fa8: 600240f9  ldr	x0, [x19]
0xfffffff008896fac: e455d497  bl	#0xfffffff007dac73c
0xfffffff008896fb0: 00008052  mov	w0, #0
0xfffffff008896fb4: 1b000014  b	#0xfffffff008897020
0xfffffff008896fb8: 7d740094  bl	#0xfffffff0088b41ac
0xfffffff008896fbc: f60300aa  mov	x22, x0
0xfffffff008896fc0: 80008052  mov	w0, #4
0xfffffff008896fc4: 2392ff97  bl	#0xfffffff00887b850
0xfffffff008896fc8: f55304a9  stp	x21, x20, [sp, #0x40]
0xfffffff008896fcc: 684cffd0  adrp	x8, #0xfffffff007224000
0xfffffff008896fd0: 088d0491  add	x8, x8, #0x123
0xfffffff008896fd4: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008896fd8: a80f8052  mov	w8, #0x7d
0xfffffff008896fdc: c94cffb0  adrp	x9, #0xfffffff00722f000
0xfffffff008896fe0: 29ed2291  add	x9, x9, #0x8bb
0xfffffff008896fe4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008896fe8: c84cffb0  adrp	x8, #0xfffffff00722f000
0xfffffff008896fec: 08493991  add	x8, x8, #0xe52
0xfffffff008896ff0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008896ff4: 280e8052  mov	w8, #0x71
0xfffffff008896ff8: f62300a9  stp	x22, x8, [sp]
0xfffffff008896ffc: 804afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008897000: 00003a91  add	x0, x0, #0xe80
0xfffffff008897004: 818bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008897008: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889700c: 434eff90  adrp	x3, #0xfffffff00725f000
0xfffffff008897010: 63901f91  add	x3, x3, #0x7e4
0xfffffff008897014: 02008052  mov	w2, #0
0xfffffff008897018: 4670ea97  bl	#0xfffffff008333130
0xfffffff00889701c: 007d8012  mov	w0, #-0x3e9
0xfffffff008897020: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008897024: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008897028: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00889702c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008897030: ff430291  add	sp, sp, #0x90
0xfffffff008897034: ff0f5fd6  retab	
0xfffffff008897038: 7f2303d5  pacibsp	
0xfffffff00889703c: ff8303d1  sub	sp, sp, #0xe0
0xfffffff008897040: fc6f08a9  stp	x28, x27, [sp, #0x80]
0xfffffff008897044: fa6709a9  stp	x26, x25, [sp, #0x90]
0xfffffff008897048: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff00889704c: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff008897050: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff008897054: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff008897058: fd430391  add	x29, sp, #0xd0
0xfffffff00889705c: f80306aa  mov	x24, x6
0xfffffff008897060: f70305aa  mov	x23, x5
0xfffffff008897064: f60304aa  mov	x22, x4
0xfffffff008897068: fb0303aa  mov	x27, x3
0xfffffff00889706c: fa0302aa  mov	x26, x2
0xfffffff008897070: f90301aa  mov	x25, x1
0xfffffff008897074: f50300aa  mov	x21, x0
0xfffffff008897078: 410700b4  cbz	x1, #0xfffffff008897160
