; Candidate 6490
; ADRP+ADD at VM 0xfffffff00882eda0 (fileoff 0x182ada0): page=0x1fe9bb000 add_imm=0xe80

0xfffffff00882ed20: 400f8052  mov	w0, #0x7a
0xfffffff00882ed24: bd320194  bl	#0xfffffff00887b818
0xfffffff00882ed28: f60300aa  mov	x22, x0
0xfffffff00882ed2c: 20150294  bl	#0xfffffff0088b41ac
0xfffffff00882ed30: f50300aa  mov	x21, x0
0xfffffff00882ed34: 00018052  mov	w0, #8
0xfffffff00882ed38: c6320194  bl	#0xfffffff00887b850
0xfffffff00882ed3c: b6010034  cbz	w22, #0xfffffff00882ed70
0xfffffff00882ed40: f4ff02a9  stp	x20, xzr, [sp, #0x28]
0xfffffff00882ed44: e93340f9  ldr	x9, [sp, #0x60]
0xfffffff00882ed48: a84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882ed4c: 08e11791  add	x8, x8, #0x5f8
0xfffffff00882ed50: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00882ed54: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00882ed58: 480f8052  mov	w8, #0x7a
0xfffffff00882ed5c: 204fffb0  adrp	x0, #0xfffffff007213000
0xfffffff00882ed60: 00b43791  add	x0, x0, #0xded
0xfffffff00882ed64: f52300a9  stp	x21, x8, [sp]
0xfffffff00882ed68: be21d697  bl	#0xfffffff007db7460
0xfffffff00882ed6c: 15000014  b	#0xfffffff00882edc0
0xfffffff00882ed70: 0f150294  bl	#0xfffffff0088b41ac
0xfffffff00882ed74: f50300aa  mov	x21, x0
0xfffffff00882ed78: 00018052  mov	w0, #8
0xfffffff00882ed7c: b5320194  bl	#0xfffffff00887b850
0xfffffff00882ed80: f4ff02a9  stp	x20, xzr, [sp, #0x28]
0xfffffff00882ed84: e93340f9  ldr	x9, [sp, #0x60]
0xfffffff00882ed88: a84fff90  adrp	x8, #0xfffffff007222000
0xfffffff00882ed8c: 08e11791  add	x8, x8, #0x5f8
0xfffffff00882ed90: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00882ed94: 480f8052  mov	w8, #0x7a
0xfffffff00882ed98: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00882ed9c: f50300f9  str	x21, [sp]
0xfffffff00882eda0: c04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882eda4: 00003a91  add	x0, x0, #0xe80
0xfffffff00882eda8: c18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882edac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882edb0: e350ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882edb4: 63ec2c91  add	x3, x3, #0xb3b
0xfffffff00882edb8: 02008052  mov	w2, #0
0xfffffff00882edbc: dd10ec97  bl	#0xfffffff008333130
0xfffffff00882edc0: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff00882edc4: c98effd0  adrp	x9, #0xfffffff007a08000
0xfffffff00882edc8: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff00882edcc: 290140f9  ldr	x9, [x9]
0xfffffff00882edd0: 3f0108eb  cmp	x9, x8
0xfffffff00882edd4: 41010054  b.ne	#0xfffffff00882edfc
0xfffffff00882edd8: 00008052  mov	w0, #0
0xfffffff00882eddc: fd7b5ba9  ldp	x29, x30, [sp, #0x1b0]
0xfffffff00882ede0: f44f5aa9  ldp	x20, x19, [sp, #0x1a0]
0xfffffff00882ede4: f65759a9  ldp	x22, x21, [sp, #0x190]
0xfffffff00882ede8: f85f58a9  ldp	x24, x23, [sp, #0x180]
0xfffffff00882edec: fa6757a9  ldp	x26, x25, [sp, #0x170]
0xfffffff00882edf0: fc6f56a9  ldp	x28, x27, [sp, #0x160]
0xfffffff00882edf4: ff030791  add	sp, sp, #0x1c0
0xfffffff00882edf8: ff0f5fd6  retab	
0xfffffff00882edfc: 14bcd497  bl	#0xfffffff007d5de4c
0xfffffff00882ee00: 7f2303d5  pacibsp	
0xfffffff00882ee04: ffc301d1  sub	sp, sp, #0x70
0xfffffff00882ee08: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00882ee0c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00882ee10: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00882ee14: fd830191  add	x29, sp, #0x60
0xfffffff00882ee18: f40301aa  mov	x20, x1
0xfffffff00882ee1c: f30300aa  mov	x19, x0
