; Candidate 10681
; ADRP+ADD at VM 0xfffffff008de2eb8 (fileoff 0x1ddeeb8): page=0x1fe5e2000 add_imm=0xe15

0xfffffff008de2e38: f85f00a9  stp	x24, x23, [sp]
0xfffffff008de2e3c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de2e40: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de2e44: 00503591  add	x0, x0, #0xd54
0xfffffff008de2e48: 76d0d597  bl	#0xfffffff008357020
0xfffffff008de2e4c: e00313aa  mov	x0, x19
0xfffffff008de2e50: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008de2e54: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008de2e58: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008de2e5c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008de2e60: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff008de2e64: ff030291  add	sp, sp, #0x80
0xfffffff008de2e68: ff0f5fd6  retab	
0xfffffff008de2e6c: e8a58052  mov	w8, #0x52f
0xfffffff008de2e70: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de2e74: 29490d91  add	x9, x9, #0x352
0xfffffff008de2e78: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de2e7c: 082fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de2e80: 08493991  add	x8, x8, #0xe52
0xfffffff008de2e84: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de2e88: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de2e8c: 09000014  b	#0xfffffff008de2eb0
0xfffffff008de2e90: 08a68052  mov	w8, #0x530
0xfffffff008de2e94: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de2e98: 29490d91  add	x9, x9, #0x352
0xfffffff008de2e9c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de2ea0: 082fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de2ea4: 08493991  add	x8, x8, #0xe52
0xfffffff008de2ea8: 0a2fff90  adrp	x10, #0xfffffff0073c2000
0xfffffff008de2eac: 4a350391  add	x10, x10, #0xcd
0xfffffff008de2eb0: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de2eb4: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de2eb8: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de2ebc: 00543891  add	x0, x0, #0xe15
0xfffffff008de2ec0: 58d0d597  bl	#0xfffffff008357020
0xfffffff008de2ec4: c8088052  mov	w8, #0x46
0xfffffff008de2ec8: 53008012  mov	w19, #-3
0xfffffff008de2ecc: d6ffff17  b	#0xfffffff008de2e24
0xfffffff008de2ed0: 687e4093  sxtw	x8, w19
0xfffffff008de2ed4: 69a68052  mov	w9, #0x533
0xfffffff008de2ed8: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de2edc: 4a490d91  add	x10, x10, #0x352
0xfffffff008de2ee0: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de2ee4: 092fffd0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de2ee8: 29493991  add	x9, x9, #0xe52
0xfffffff008de2eec: 0b2fffd0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de2ef0: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de2ef4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de2ef8: eb0300f9  str	x11, [sp]
0xfffffff008de2efc: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de2f00: 00543891  add	x0, x0, #0xe15
0xfffffff008de2f04: 47d0d597  bl	#0xfffffff008357020
0xfffffff008de2f08: c8088052  mov	w8, #0x46
0xfffffff008de2f0c: c6ffff17  b	#0xfffffff008de2e24
0xfffffff008de2f10: 7f2303d5  pacibsp	
0xfffffff008de2f14: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff008de2f18: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008de2f1c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008de2f20: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008de2f24: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008de2f28: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008de2f2c: fd430191  add	x29, sp, #0x50
0xfffffff008de2f30: ff0301d1  sub	sp, sp, #0x40
0xfffffff008de2f34: f50307aa  mov	x21, x7
