; Candidate 4603
; ADRP+ADD at VM 0xfffffff0087bd6f4 (fileoff 0x17b96f4): page=0x1fe974000 add_imm=0xd90

0xfffffff0087bd674: 8b020054  b.lt	#0xfffffff0087bd6c4
0xfffffff0087bd678: e00313aa  mov	x0, x19
0xfffffff0087bd67c: e10316aa  mov	x1, x22
0xfffffff0087bd680: 82008052  mov	w2, #4
0xfffffff0087bd684: 0ff7ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bd688: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bd68c: 0809188b  add	x8, x8, x24, lsl #2
0xfffffff0087bd690: 00f105b9  str	w0, [x8, #0x5f0]
0xfffffff0087bd694: 1f400071  cmp	w0, #0x10
0xfffffff0087bd698: 82050054  b.hs	#0xfffffff0087bd748
0xfffffff0087bd69c: e00313aa  mov	x0, x19
0xfffffff0087bd6a0: e10317aa  mov	x1, x23
0xfffffff0087bd6a4: 42008052  mov	w2, #2
0xfffffff0087bd6a8: 06f7ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bd6ac: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bd6b0: 0909188b  add	x9, x8, x24, lsl #2
0xfffffff0087bd6b4: 203106b9  str	w0, [x9, #0x630]
0xfffffff0087bd6b8: 1f100071  cmp	w0, #4
0xfffffff0087bd6bc: a3000054  b.lo	#0xfffffff0087bd6d0
0xfffffff0087bd6c0: 2e000014  b	#0xfffffff0087bd778
0xfffffff0087bd6c4: 0909188b  add	x9, x8, x24, lsl #2
0xfffffff0087bd6c8: 3ff105b9  str	wzr, [x9, #0x5f0]
0xfffffff0087bd6cc: 3f3106b9  str	wzr, [x9, #0x630]
0xfffffff0087bd6d0: 18070091  add	x24, x24, #1
0xfffffff0087bd6d4: 086945b9  ldr	w8, [x8, #0x568]
0xfffffff0087bd6d8: 2823c81a  lsl	w8, w25, w8
0xfffffff0087bd6dc: 1fc328eb  cmp	x24, w8, sxtw
0xfffffff0087bd6e0: 2bfaff54  b.lt	#0xfffffff0087bd624
0xfffffff0087bd6e4: 30000014  b	#0xfffffff0087bd7a4
0xfffffff0087bd6e8: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd6ec: 08353791  add	x8, x8, #0xdcd
0xfffffff0087bd6f0: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd6f4: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd6f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd6fc: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd700: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd704: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd708: 63902891  add	x3, x3, #0xa24
0xfffffff0087bd70c: 02008052  mov	w2, #0
0xfffffff0087bd710: 88d6ed97  bl	#0xfffffff008333130
0xfffffff0087bd714: 24000014  b	#0xfffffff0087bd7a4
0xfffffff0087bd718: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd71c: 08353791  add	x8, x8, #0xdcd
0xfffffff0087bd720: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd724: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd728: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd72c: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd730: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd734: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd738: 63282991  add	x3, x3, #0xa4a
0xfffffff0087bd73c: 02008052  mov	w2, #0
0xfffffff0087bd740: 7cd6ed97  bl	#0xfffffff008333130
0xfffffff0087bd744: 18000014  b	#0xfffffff0087bd7a4
0xfffffff0087bd748: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd74c: 08353791  add	x8, x8, #0xdcd
0xfffffff0087bd750: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd754: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd758: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd75c: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd760: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd764: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd768: 63c02991  add	x3, x3, #0xa70
0xfffffff0087bd76c: 02008052  mov	w2, #0
0xfffffff0087bd770: 70d6ed97  bl	#0xfffffff008333130
