; Candidate 13423
; ADRP+ADD at VM 0xfffffff0092cfc94 (fileoff 0x22cbc94): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cfc14: 400300b4  cbz	x0, #0xfffffff0092cfc7c
0xfffffff0092cfc18: 700240f9  ldr	x16, [x19]
0xfffffff0092cfc1c: f10313aa  mov	x17, x19
0xfffffff0092cfc20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfc24: 301ac1da  autda	x16, x17
0xfffffff0092cfc28: 116e80d2  mov	x17, #0x370
0xfffffff0092cfc2c: 1002118b  add	x16, x16, x17
0xfffffff0092cfc30: 080240f9  ldr	x8, [x16]
0xfffffff0092cfc34: e90310aa  mov	x9, x16
0xfffffff0092cfc38: e00313aa  mov	x0, x19
0xfffffff0092cfc3c: f10309aa  mov	x17, x9
0xfffffff0092cfc40: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cfc44: 11093fd7  blraa	x8, x17
0xfffffff0092cfc48: 100040f9  ldr	x16, [x0]
0xfffffff0092cfc4c: f10300aa  mov	x17, x0
0xfffffff0092cfc50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfc54: 301ac1da  autda	x16, x17
0xfffffff0092cfc58: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cfc5c: 1002118b  add	x16, x16, x17
0xfffffff0092cfc60: 080240f9  ldr	x8, [x16]
0xfffffff0092cfc64: e90310aa  mov	x9, x16
0xfffffff0092cfc68: 010080d2  mov	x1, #0
0xfffffff0092cfc6c: f10309aa  mov	x17, x9
0xfffffff0092cfc70: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cfc74: 11093fd7  blraa	x8, x17
0xfffffff0092cfc78: 03000014  b	#0xfffffff0092cfc84
0xfffffff0092cfc7c: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cfc80: 00102191  add	x0, x0, #0x844
0xfffffff0092cfc84: a8024079  ldrh	w8, [x21]
0xfffffff0092cfc88: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cfc8c: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cfc90: f60300f9  str	x22, [sp]
0xfffffff0092cfc94: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cfc98: 00983891  add	x0, x0, #0xe26
0xfffffff0092cfc9c: e11cc297  bl	#0xfffffff008357020
0xfffffff0092cfca0: 759a3a91  add	x21, x19, #0xea6
0xfffffff0092cfca4: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cfca8: 94163291  add	x20, x20, #0xc85
0xfffffff0092cfcac: e00314aa  mov	x0, x20
0xfffffff0092cfcb0: e10315aa  mov	x1, x21
0xfffffff0092cfcb4: 42008052  mov	w2, #2
0xfffffff0092cfcb8: c074c697  bl	#0xfffffff00846cfb8
0xfffffff0092cfcbc: c0070034  cbz	w0, #0xfffffff0092cfdb4
0xfffffff0092cfcc0: 700240f9  ldr	x16, [x19]
0xfffffff0092cfcc4: f10313aa  mov	x17, x19
0xfffffff0092cfcc8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfccc: 301ac1da  autda	x16, x17
0xfffffff0092cfcd0: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cfcd4: 1002118b  add	x16, x16, x17
0xfffffff0092cfcd8: 080240f9  ldr	x8, [x16]
0xfffffff0092cfcdc: e90310aa  mov	x9, x16
0xfffffff0092cfce0: e00313aa  mov	x0, x19
0xfffffff0092cfce4: 010080d2  mov	x1, #0
0xfffffff0092cfce8: f10309aa  mov	x17, x9
0xfffffff0092cfcec: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cfcf0: 11093fd7  blraa	x8, x17
0xfffffff0092cfcf4: f60300aa  mov	x22, x0
0xfffffff0092cfcf8: 700240f9  ldr	x16, [x19]
0xfffffff0092cfcfc: f10313aa  mov	x17, x19
0xfffffff0092cfd00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfd04: 301ac1da  autda	x16, x17
0xfffffff0092cfd08: 116e80d2  mov	x17, #0x370
0xfffffff0092cfd0c: 1002118b  add	x16, x16, x17
0xfffffff0092cfd10: 080240f9  ldr	x8, [x16]
