; Candidate 9292
; ADRP+ADD at VM 0xfffffff008a2317c (fileoff 0x1a1f17c): page=0x1fe876000 add_imm=0xe40

0xfffffff008a230fc: 1c00bc72  movk	w28, #0xe000, lsl #16
0xfffffff008a23100: 700240f9  ldr	x16, [x19]
0xfffffff008a23104: f10313aa  mov	x17, x19
0xfffffff008a23108: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2310c: 301ac1da  autda	x16, x17
0xfffffff008a23110: 113d80d2  mov	x17, #0x1e8
0xfffffff008a23114: 1002118b  add	x16, x16, x17
0xfffffff008a23118: 080240f9  ldr	x8, [x16]
0xfffffff008a2311c: e90310aa  mov	x9, x16
0xfffffff008a23120: e00313aa  mov	x0, x19
0xfffffff008a23124: 010080d2  mov	x1, #0
0xfffffff008a23128: f10309aa  mov	x17, x9
0xfffffff008a2312c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a23130: 11093fd7  blraa	x8, x17
0xfffffff008a23134: 700240f9  ldr	x16, [x19]
0xfffffff008a23138: f10313aa  mov	x17, x19
0xfffffff008a2313c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a23140: 301ac1da  autda	x16, x17
0xfffffff008a23144: 113d80d2  mov	x17, #0x1e8
0xfffffff008a23148: 1002118b  add	x16, x16, x17
0xfffffff008a2314c: 080240f9  ldr	x8, [x16]
0xfffffff008a23150: e90310aa  mov	x9, x16
0xfffffff008a23154: e00313aa  mov	x0, x19
0xfffffff008a23158: 010080d2  mov	x1, #0
0xfffffff008a2315c: f10309aa  mov	x17, x9
0xfffffff008a23160: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a23164: 11093fd7  blraa	x8, x17
0xfffffff008a23168: 35748052  mov	w21, #0x3a1
0xfffffff008a2316c: f55301a9  stp	x21, x20, [sp, #0x10]
0xfffffff008a23170: d643ffb0  adrp	x22, #0xfffffff00729c000
0xfffffff008a23174: d6ca3e91  add	x22, x22, #0xfb2
0xfffffff008a23178: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a2317c: a043ffd0  adrp	x0, #0xfffffff007299000
0xfffffff008a23180: 00003991  add	x0, x0, #0xe40
0xfffffff008a23184: 4181ff90  adrp	x1, #0xfffffff007a4b000
0xfffffff008a23188: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a2318c: e343ffb0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a23190: 63b02491  add	x3, x3, #0x92c
0xfffffff008a23194: 02028052  mov	w2, #0x10
0xfffffff008a23198: e63fe497  bl	#0xfffffff008333130
0xfffffff008a2319c: 700240f9  ldr	x16, [x19]
0xfffffff008a231a0: f10313aa  mov	x17, x19
0xfffffff008a231a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a231a8: 301ac1da  autda	x16, x17
0xfffffff008a231ac: f10310aa  mov	x17, x16
0xfffffff008a231b0: f147c1da  xpacd	x17
0xfffffff008a231b4: 1f0211eb  cmp	x16, x17
0xfffffff008a231b8: 40000054  b.eq	#0xfffffff008a231c0
0xfffffff008a231bc: 408e38d4  brk	#0xc472
0xfffffff008a231c0: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a231c4: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a231c8: e00313aa  mov	x0, x19
0xfffffff008a231cc: 010080d2  mov	x1, #0
0xfffffff008a231d0: f10308aa  mov	x17, x8
0xfffffff008a231d4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a231d8: 31093fd7  blraa	x9, x17
0xfffffff008a231dc: f55301a9  stp	x21, x20, [sp, #0x10]
0xfffffff008a231e0: e05b00a9  stp	x0, x22, [sp]
0xfffffff008a231e4: c043ffd0  adrp	x0, #0xfffffff00729d000
0xfffffff008a231e8: 00c00391  add	x0, x0, #0xf0
0xfffffff008a231ec: 8dcfe497  bl	#0xfffffff008357020
0xfffffff008a231f0: 68024639  ldrb	w8, [x19, #0x180]
0xfffffff008a231f4: c8010036  tbz	w8, #0, #0xfffffff008a2322c
0xfffffff008a231f8: 4881ff90  adrp	x8, #0xfffffff007a4b000
