; Candidate 13193
; ADRP+ADD at VM 0xfffffff00921b414 (fileoff 0x2217414): page=0x1fe293000 add_imm=0xe05

0xfffffff00921b394: 21fc3691  add	x1, x1, #0xdbf
0xfffffff00921b398: 00008052  mov	w0, #0
0xfffffff00921b39c: d91b0094  bl	#0xfffffff009222300
0xfffffff00921b3a0: f4588052  mov	w20, #0x2c7
0xfffffff00921b3a4: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00921b3a8: 08880090  adrp	x8, #0xfffffff00a31b000
0xfffffff00921b3ac: 08353891  add	x8, x8, #0xe0d
0xfffffff00921b3b0: 08014039  ldrb	w8, [x8]
0xfffffff00921b3b4: 08210035  cbnz	w8, #0xfffffff00921b7d4
0xfffffff00921b3b8: 688e40b9  ldr	w8, [x19, #0x8c]
0xfffffff00921b3bc: 09050011  add	w9, w8, #1
0xfffffff00921b3c0: 698e00b9  str	w9, [x19, #0x8c]
0xfffffff00921b3c4: 1f250071  cmp	w8, #9
0xfffffff00921b3c8: 68200054  b.hi	#0xfffffff00921b7d4
0xfffffff00921b3cc: 700240f9  ldr	x16, [x19]
0xfffffff00921b3d0: f10313aa  mov	x17, x19
0xfffffff00921b3d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00921b3d8: 301ac1da  autda	x16, x17
0xfffffff00921b3dc: 113d80d2  mov	x17, #0x1e8
0xfffffff00921b3e0: 1002118b  add	x16, x16, x17
0xfffffff00921b3e4: 080240f9  ldr	x8, [x16]
0xfffffff00921b3e8: e90310aa  mov	x9, x16
0xfffffff00921b3ec: e00313aa  mov	x0, x19
0xfffffff00921b3f0: 010080d2  mov	x1, #0
0xfffffff00921b3f4: f10309aa  mov	x17, x9
0xfffffff00921b3f8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00921b3fc: 11093fd7  blraa	x8, x17
0xfffffff00921b400: 28ba8052  mov	w8, #0x5d1
0xfffffff00921b404: 8914fff0  adrp	x9, #0xfffffff0074ae000
0xfffffff00921b408: 29893491  add	x9, x9, #0xd22
0xfffffff00921b40c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00921b410: e00300f9  str	x0, [sp]
0xfffffff00921b414: 8014fff0  adrp	x0, #0xfffffff0074ae000
0xfffffff00921b418: 00143891  add	x0, x0, #0xe05
0xfffffff00921b41c: ed000014  b	#0xfffffff00921b7d0
0xfffffff00921b420: 28040034  cbz	w8, #0xfffffff00921b4a4
0xfffffff00921b424: 68224239  ldrb	w8, [x19, #0x88]
0xfffffff00921b428: e8030034  cbz	w8, #0xfffffff00921b4a4
0xfffffff00921b42c: bf831df8  stur	xzr, [x29, #-0x28]
0xfffffff00921b430: a8e3b297  bl	#0xfffffff007ed42d0
0xfffffff00921b434: a1a300d1  sub	x1, x29, #0x28
0xfffffff00921b438: 02e5b297  bl	#0xfffffff007ed4840
0xfffffff00921b43c: b4835df8  ldur	x20, [x29, #-0x28]
0xfffffff00921b440: 700240f9  ldr	x16, [x19]
0xfffffff00921b444: f10313aa  mov	x17, x19
0xfffffff00921b448: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00921b44c: 301ac1da  autda	x16, x17
0xfffffff00921b450: f10310aa  mov	x17, x16
0xfffffff00921b454: f147c1da  xpacd	x17
0xfffffff00921b458: 1f0211eb  cmp	x16, x17
0xfffffff00921b45c: 40000054  b.eq	#0xfffffff00921b464
0xfffffff00921b460: 408e38d4  brk	#0xc472
0xfffffff00921b464: 08a20791  add	x8, x16, #0x1e8
0xfffffff00921b468: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff00921b46c: e00313aa  mov	x0, x19
0xfffffff00921b470: 010080d2  mov	x1, #0
0xfffffff00921b474: f10308aa  mov	x17, x8
0xfffffff00921b478: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00921b47c: 31093fd7  blraa	x9, x17
0xfffffff00921b480: a8ba8052  mov	w8, #0x5d5
0xfffffff00921b484: 8914fff0  adrp	x9, #0xfffffff0074ae000
0xfffffff00921b488: 29893491  add	x9, x9, #0xd22
0xfffffff00921b48c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00921b490: f40300a9  stp	x20, x0, [sp]
