; Candidate 14319
; ADRP+ADD at VM 0xfffffff00976483c (fileoff 0x276083c): page=0xc27000 add_imm=0xea8

0xfffffff0097647bc: c00100b5  cbnz	x0, #0xfffffff0097647f4
0xfffffff0097647c0: 700240f9  ldr	x16, [x19]
0xfffffff0097647c4: f10313aa  mov	x17, x19
0xfffffff0097647c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097647cc: 301ac1da  autda	x16, x17
0xfffffff0097647d0: 113d80d2  mov	x17, #0x1e8
0xfffffff0097647d4: 1002118b  add	x16, x16, x17
0xfffffff0097647d8: 080240f9  ldr	x8, [x16]
0xfffffff0097647dc: e90310aa  mov	x9, x16
0xfffffff0097647e0: e00313aa  mov	x0, x19
0xfffffff0097647e4: 010080d2  mov	x1, #0
0xfffffff0097647e8: f10309aa  mov	x17, x9
0xfffffff0097647ec: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097647f0: 11093fd7  blraa	x8, x17
0xfffffff0097647f4: e00313aa  mov	x0, x19
0xfffffff0097647f8: 9910fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097647fc: e00313aa  mov	x0, x19
0xfffffff009764800: 9710fd97  bl	#0xfffffff0096a8a5c
0xfffffff009764804: c00100b5  cbnz	x0, #0xfffffff00976483c
0xfffffff009764808: 700240f9  ldr	x16, [x19]
0xfffffff00976480c: f10313aa  mov	x17, x19
0xfffffff009764810: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009764814: 301ac1da  autda	x16, x17
0xfffffff009764818: 114380d2  mov	x17, #0x218
0xfffffff00976481c: 1002118b  add	x16, x16, x17
0xfffffff009764820: 080240f9  ldr	x8, [x16]
0xfffffff009764824: e90310aa  mov	x9, x16
0xfffffff009764828: e00313aa  mov	x0, x19
0xfffffff00976482c: 010080d2  mov	x1, #0
0xfffffff009764830: f10309aa  mov	x17, x9
0xfffffff009764834: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009764838: 11093fd7  blraa	x8, x17
0xfffffff00976483c: 206100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff009764840: 00a03a91  add	x0, x0, #0xea8
0xfffffff009764844: 4500ae97  bl	#0xfffffff0082e4958
0xfffffff009764848: f40300aa  mov	x20, x0
0xfffffff00976484c: e00313aa  mov	x0, x19
0xfffffff009764850: 8310fd97  bl	#0xfffffff0096a8a5c
0xfffffff009764854: f50300aa  mov	x21, x0
0xfffffff009764858: e00100b5  cbnz	x0, #0xfffffff009764894
0xfffffff00976485c: 700240f9  ldr	x16, [x19]
0xfffffff009764860: f10313aa  mov	x17, x19
0xfffffff009764864: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009764868: 301ac1da  autda	x16, x17
0xfffffff00976486c: 113d80d2  mov	x17, #0x1e8
0xfffffff009764870: 1002118b  add	x16, x16, x17
0xfffffff009764874: 080240f9  ldr	x8, [x16]
0xfffffff009764878: e90310aa  mov	x9, x16
0xfffffff00976487c: e00313aa  mov	x0, x19
0xfffffff009764880: 010080d2  mov	x1, #0
0xfffffff009764884: f10309aa  mov	x17, x9
0xfffffff009764888: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976488c: 11093fd7  blraa	x8, x17
0xfffffff009764890: f50300aa  mov	x21, x0
0xfffffff009764894: e00313aa  mov	x0, x19
0xfffffff009764898: 7110fd97  bl	#0xfffffff0096a8a5c
0xfffffff00976489c: f60300aa  mov	x22, x0
0xfffffff0097648a0: e00313aa  mov	x0, x19
0xfffffff0097648a4: 6e10fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097648a8: e80300aa  mov	x8, x0
0xfffffff0097648ac: 57f1feb0  adrp	x23, #0xfffffff00758d000
0xfffffff0097648b0: f7c63491  add	x23, x23, #0xd31
0xfffffff0097648b4: e00317aa  mov	x0, x23
0xfffffff0097648b8: c80100b5  cbnz	x8, #0xfffffff0097648f0
