; Candidate 9081
; ADRP+ADD at VM 0xfffffff0089efe7c (fileoff 0x19ebe7c): page=0x1fe8a4000 add_imm=0xeb1

0xfffffff0089efdfc: b9faff34  cbz	w25, #0xfffffff0089efd50
0xfffffff0089efe00: c07240f9  ldr	x0, [x22, #0xe0]
0xfffffff0089efe04: 4ef2ce97  bl	#0xfffffff007dac73c
0xfffffff0089efe08: 17040034  cbz	w23, #0xfffffff0089efe88
0xfffffff0089efe0c: 2845ff90  adrp	x8, #0xfffffff007293000
0xfffffff0089efe10: 08cd3a91  add	x8, x8, #0xeb3
0xfffffff0089efe14: e85fbea9  stp	x8, x23, [sp, #-0x20]!
0xfffffff0089efe18: f603142a  mov	w22, w20
0xfffffff0089efe1c: e803152a  mov	w8, w21
0xfffffff0089efe20: e85b01a9  stp	x8, x22, [sp, #0x10]
0xfffffff0089efe24: 2045ff90  adrp	x0, #0xfffffff007293000
0xfffffff0089efe28: 00783991  add	x0, x0, #0xe5e
0xfffffff0089efe2c: 7d9ce597  bl	#0xfffffff008357020
0xfffffff0089efe30: ff830091  add	sp, sp, #0x20
0xfffffff0089efe34: 54020034  cbz	w20, #0xfffffff0089efe7c
0xfffffff0089efe38: 150080d2  mov	x21, #0
0xfffffff0089efe3c: 88060051  sub	w8, w20, #1
0xfffffff0089efe40: 187d4093  sxtw	x24, w8
0xfffffff0089efe44: b90f8052  mov	w25, #0x7d
0xfffffff0089efe48: 9a058052  mov	w26, #0x2c
0xfffffff0089efe4c: 3445ff90  adrp	x20, #0xfffffff007293000
0xfffffff0089efe50: 94a23a91  add	x20, x20, #0xea8
0xfffffff0089efe54: 686a7538  ldrb	w8, [x19, x21]
0xfffffff0089efe58: bf0218eb  cmp	x21, x24
0xfffffff0089efe5c: 4933999a  csel	x9, x26, x25, lo
0xfffffff0089efe60: e827bfa9  stp	x8, x9, [sp, #-0x10]!
0xfffffff0089efe64: e00314aa  mov	x0, x20
0xfffffff0089efe68: 6e9ce597  bl	#0xfffffff008357020
0xfffffff0089efe6c: ff430091  add	sp, sp, #0x10
0xfffffff0089efe70: b5060091  add	x21, x21, #1
0xfffffff0089efe74: df0215eb  cmp	x22, x21
0xfffffff0089efe78: e1feff54  b.ne	#0xfffffff0089efe54
0xfffffff0089efe7c: 2045ff90  adrp	x0, #0xfffffff007293000
0xfffffff0089efe80: 00c43a91  add	x0, x0, #0xeb1
0xfffffff0089efe84: 679ce597  bl	#0xfffffff008357020
0xfffffff0089efe88: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff0089efe8c: a982fff0  adrp	x9, #0xfffffff007a46000
0xfffffff0089efe90: 296146f9  ldr	x9, [x9, #0xcc0]
0xfffffff0089efe94: 290140f9  ldr	x9, [x9]
0xfffffff0089efe98: 3f0108eb  cmp	x9, x8
0xfffffff0089efe9c: 21010054  b.ne	#0xfffffff0089efec0
0xfffffff0089efea0: e00317aa  mov	x0, x23
0xfffffff0089efea4: bf0301d1  sub	sp, x29, #0x40
0xfffffff0089efea8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0089efeac: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0089efeb0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0089efeb4: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0089efeb8: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff0089efebc: ff0f5fd6  retab	
0xfffffff0089efec0: e3b7cd97  bl	#0xfffffff007d5de4c
0xfffffff0089efec4: 7f2303d5  pacibsp	
0xfffffff0089efec8: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff0089efecc: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff0089efed0: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff0089efed4: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0089efed8: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0089efedc: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0089efee0: fd430191  add	x29, sp, #0x50
0xfffffff0089efee4: ff4300d1  sub	sp, sp, #0x10
0xfffffff0089efee8: f50303aa  mov	x21, x3
0xfffffff0089efeec: f40302aa  mov	x20, x2
0xfffffff0089efef0: f30301aa  mov	x19, x1
0xfffffff0089efef4: f60300aa  mov	x22, x0
0xfffffff0089efef8: a882fff0  adrp	x8, #0xfffffff007a46000
